data_type,domain_category,domain_name,report_year,date,variable,median,lower,upper,project_code,depth,reef_zone,shelf,mean,count_group,series,color
"manta","reef","Low Isles",1986,"1985.9041095890410958","HC",26.95832321316064,21.41168212398329,33.02195963209197,"LTMP",9,"_"," ",27.157921258303023,"null","9.0m",""
"manta","reef","Low Isles",1987,"1987.16712328767123288","HC",19.595289012610316,15.556868687980336,24.89626436519061,"LTMP",9,"_"," ",19.620117455178328,"null","9.0m",""
"manta","reef","Low Isles",1988,"1988.1095890410958904","HC",33.28803660018376,27.600663706877672,39.69413133629738,"LTMP",9,"_"," ",33.304127626073864,"null","9.0m",""
"manta","reef","Low Isles",1989,"1988.7698630136986301","HC",29.03857298342548,23.268787102517248,35.91442455040214,"LTMP",9,"_"," ",29.18800465535472,"null","9.0m",""
"manta","reef","Low Isles",1990,"1990.049315068493150684","HC",40.179577859364514,33.56345991846944,46.82509802352396,"LTMP",9,"_"," ",40.272455941633304,"null","9.0m","#17becf"
"manta","reef","Low Isles",1993,"1993.4410958904109589","HC",27.05175919432764,22.218659200085213,33.25154241015916,"LTMP",9,"_"," ",27.043696549411905,"null","9.0m",""
"manta","reef","Low Isles",1996,"1996.038356164383561646","HC",29.917462247041637,23.982633903097103,35.80057900266834,"LTMP",9,"_"," ",29.937293978929695,"null","9.0m",""
"manta","reef","Low Isles",1997,"1997.07671232876712329","HC",29.244315811854882,23.639746901142157,35.939856686269046,"LTMP",9,"_"," ",29.40959065932638,"null","9.0m",""
"manta","reef","Low Isles",1998,"1998.08493150684931507","HC",34.95268059968688,29.58878754483748,42.2307684712946,"LTMP",9,"_"," ",35.118060803347646,"null","9.0m",""
"manta","reef","Low Isles",1999,"1999.06575342465753424","HC",24.63813242561753,19.375586751861718,30.481499010815828,"LTMP",9,"_"," ",24.832409849404797,"null","9.0m",""
"manta","reef","Low Isles",2000,"2000.07397260273972603","HC",15.79601535112575,11.979166089082664,20.665561214825765,"LTMP",9,"_"," ",15.93411150723899,"null","9.0m",""
"manta","reef","Low Isles",2002,"2001.7178082191780822","HC",14.535252335529483,10.943633192150513,19.15295448073596,"LTMP",9,"_"," ",14.556628596927562,"null","9.0m",""
"manta","reef","Low Isles",2004,"2004.03287671232876712","HC",20.794477029098115,15.642146189736284,26.347106764577553,"LTMP",9,"_"," ",20.855125298679173,"null","9.0m",""
"manta","reef","Low Isles",2006,"2005.8958904109589041","HC",23.466500368077885,18.862000723837756,29.125609124263175,"LTMP",9,"_"," ",23.550121673663856,"null","9.0m",""
"manta","reef","Low Isles",2007,"2007.03287671232876712","HC",26.60445203292675,19.720521917861266,32.775233498435085,"LTMP",9,"_"," ",26.690635519944482,"null","9.0m",""
"manta","reef","Low Isles",2008,"2007.6547945205479452","HC",27.177072847816774,21.411783573817964,33.164676448747194,"LTMP",9,"_"," ",27.288919278342195,"null","9.0m",""
"manta","reef","Low Isles",2010,"2009.8821917808219178","HC",37.76058184237214,31.51264401434139,43.87209410242869,"LTMP",9,"_"," ",37.73555608948413,"null","9.0m",""
"manta","reef","Low Isles",2017,"2016.9616438356164384","HC",46.53479352551044,38.604773075857885,52.882768298882034,"LTMP",9,"_"," ",46.329092154361646,"null","9.0m",""
"manta","reef","Low Isles",2019,"2018.9095890410958904","HC",27.10953989565831,21.762623116110984,33.15984699735235,"LTMP",9,"_"," ",27.289103835726614,"null","9.0m",""
"manta","reef","Low Isles",2020,"2020.11232876712328767","HC",18.868487061459042,13.613127136467165,24.020466964382116,"LTMP",9,"_"," ",18.976008260113517,"null","9.0m",""
"manta","reef","Low Isles",2021,"2021.03287671232876712","HC",24.85035105861442,20.0010120193134,30.123091108758064,"LTMP",9,"_"," ",24.88026834997145,"null","9.0m",""
"manta","reef","Low Isles",2022,"2022.2958904109589041","HC",38.400347553412274,32.55342611735692,45.48779298264222,"LTMP",9,"_"," ",38.63501021274056,"null","9.0m",""
"manta","reef","Low Isles",2023,"2023.16164383561643836","HC",39.64465296515579,32.58638868573542,45.793394798081735,"LTMP",9,"_"," ",39.58790961169379,"null","9.0m",""
"manta","reef","Low Isles",2024,"2023.6794520547945205","HC",51.00636331829098,43.70462781547367,58.79860393633106,"LTMP",9,"_"," ",51.09601717621385,"null","9.0m",""
"manta","reef","Low Isles",2025,"2024.9780821917808219","HC",29.59672801119968,24.037043702853698,35.98660813305467,"LTMP",9,"_"," ",29.598361545585984,"null","9.0m",""
"manta","reef","Low Isles",2026,"2025.7123287671232876","HC",29.204438903740893,23.393865169886176,35.602069475586006,"LTMP",9,"_"," ",29.42468727854687,"null","9.0m",""
