"data_type","domain_category","domain_name","report_year","date","variable","median","lower","upper","project_code","depth","reef_zone","shelf","mean","count_group","series"
"photo-transect","reef","Low Isles","1993","1993.4438356164383562","ALGAE","35.06519681203402","28.201709623397647","41.226077196665024","LTMP","9","_"," ","35.014608715435905","null","9.0m"
"photo-transect","reef","Low Isles","1995","1995.28493150684931506","ALGAE","31.846899834178956","26.151679991475618","38.88836525031908","LTMP","9","_"," ","31.918131382781294","null","9.0m"
"photo-transect","reef","Low Isles","1996","1996.01643835616438356","ALGAE","36.14281018691413","30.4203668083686","43.508140263130144","LTMP","9","_"," ","36.2908080105535","null","9.0m"
"photo-transect","reef","Low Isles","1997","1997.07671232876712329","ALGAE","38.497520530830634","31.882756211018975","45.18482205535619","LTMP","9","_"," ","38.56894471888738","null","9.0m"
"photo-transect","reef","Low Isles","1998","1998.08493150684931507","ALGAE","42.41454403883043","35.287113173013175","49.66153893696437","LTMP","9","_"," ","42.598093381426764","null","9.0m"
"photo-transect","reef","Low Isles","1999","1999.06575342465753424","ALGAE","49.351642737081285","41.69604544867637","56.68921515115281","LTMP","9","_"," ","49.41284654712244","null","9.0m"
"photo-transect","reef","Low Isles","2000","2000.07397260273972603","ALGAE","76.72061337642128","68.62284266744764","86.39505897513834","LTMP","9","_"," ","76.86150671623535","null","9.0m"
"photo-transect","reef","Low Isles","2001","2001.09863013698630137","ALGAE","72.15740082192217","65.28305208343662","78.1705444438258","LTMP","9","_"," ","72.15433626761498","null","9.0m"
"photo-transect","reef","Low Isles","2002","2001.7178082191780822","ALGAE","71.73035829329717","64.10264513605954","78.20705272532325","LTMP","9","_"," ","71.7479043161105","null","9.0m"
"photo-transect","reef","Low Isles","2003","2002.8465753424657534","ALGAE","75.73467280983547","68.1412620494866","81.90851639355171","LTMP","9","_"," ","75.78634226775023","null","9.0m"
"photo-transect","reef","Low Isles","2004","2004.03287671232876712","ALGAE","69.54785020016033","62.527085839362364","76.14131769714983","LTMP","9","_"," ","69.49794186300156","null","9.0m"
"photo-transect","reef","Low Isles","2005","2005.049315068493150684","ALGAE","68.1204119511574","60.57608963989913","74.14042405862294","LTMP","9","_"," ","67.95541519026901","null","9.0m"
"photo-transect","reef","Low Isles","2007","2007.03287671232876712","ALGAE","62.50903295082747","55.825360463411485","69.72404343466818","LTMP","9","_"," ","62.54178918463494","null","9.0m"
"photo-transect","reef","Low Isles","2009","2009.11232876712328767","ALGAE","44.10097947592076","36.79612099252029","50.874610565594324","LTMP","9","_"," ","44.282903905375925","null","9.0m"
"photo-transect","reef","Low Isles","2011","2011.057534246575342465","ALGAE","57.05044015993843","49.924058715168904","66.11560367180381","LTMP","9","_"," ","57.14992517718039","null","9.0m"
"photo-transect","reef","Low Isles","2013","2013.005479452054794521","ALGAE","42.69643938657875","35.63574664304509","49.953370490619804","LTMP","9","_"," ","42.68994470447572","null","9.0m"
"photo-transect","reef","Low Isles","2015","2015.1643835616438356","ALGAE","57.85822563706078","49.11489198168352","64.86744127782318","LTMP","9","_"," ","57.800105616918074","null","9.0m"
"photo-transect","reef","Low Isles","2017","2016.6794520547945205","ALGAE","47.445856338866676","40.22929983976061","53.95635365343187","LTMP","9","_"," ","47.51344133316725","null","9.0m"
"photo-transect","reef","Low Isles","2019","2018.9095890410958904","ALGAE","59.99660465610521","52.24770034827139","66.59370505627507","LTMP","9","_"," ","59.92021258395109","null","9.0m"
"photo-transect","reef","Low Isles","2021","2021.03287671232876712","ALGAE","56.289899826039715","48.869047628441756","63.33552904220701","LTMP","9","_"," ","56.3709660484611","null","9.0m"
"photo-transect","reef","Low Isles","2022","2022.2958904109589041","ALGAE","38.59185092959125","31.83809349542322","44.86842775708331","LTMP","9","_"," ","38.62179726662112","null","9.0m"
"photo-transect","reef","Low Isles","2023","2023.16164383561643836","ALGAE","44.486342156844785","37.663646952825566","52.355890181126256","LTMP","9","_"," ","44.51505662567432","null","9.0m"
"photo-transect","reef","Low Isles","2024","2023.6794520547945205","ALGAE","47.26961990146192","40.204825940402266","54.786936984562814","LTMP","9","_"," ","47.2128868609902","null","9.0m"
"photo-transect","reef","Low Isles","2025","2024.7671232876712328","ALGAE","48.08665836197659","41.10093116767739","56.11618770217418","LTMP","9","_"," ","48.2741254101357","null","9.0m"
