"data_type","domain_category","domain_name","report_year","date","variable","median","lower","upper","project_code","depth","reef_zone","shelf","mean","count_group","series"
"photo-transect","reef","Low Isles","1993","1993.4438356164383562","HARD CORAL","30.110194721518823","26.97599024628916","33.85672720861284","LTMP","9","_"," ","30.154044188442008","null","9.0m"
"photo-transect","reef","Low Isles","1995","1995.28493150684931506","HARD CORAL","34.866889533142036","31.07765723969479","38.78223042536495","LTMP","9","_"," ","34.874640915898404","null","9.0m"
"photo-transect","reef","Low Isles","1996","1996.01643835616438356","HARD CORAL","39.340693781044784","34.662039331376654","43.94272332092608","LTMP","9","_"," ","39.44784135716167","null","9.0m"
"photo-transect","reef","Low Isles","1997","1997.07671232876712329","HARD CORAL","35.162456391977805","31.345016668092484","39.44875508219303","LTMP","9","_"," ","35.32848186049755","null","9.0m"
"photo-transect","reef","Low Isles","1998","1998.08493150684931507","HARD CORAL","29.8971373322538","26.56256735035269","33.20100015611636","LTMP","9","_"," ","29.974164221624267","null","9.0m"
"photo-transect","reef","Low Isles","1999","1999.06575342465753424","HARD CORAL","21.213849898750993","18.5907169300526","23.603711229022416","LTMP","9","_"," ","21.248301813044705","null","9.0m"
"photo-transect","reef","Low Isles","2000","2000.07397260273972603","HARD CORAL","8.700577097582707","7.467172935944615","10.028372539271333","LTMP","9","_"," ","8.740091408106741","null","9.0m"
"photo-transect","reef","Low Isles","2001","2001.09863013698630137","HARD CORAL","9.369544249752801","8.130862155953986","10.76494045406431","LTMP","9","_"," ","9.387957088843288","null","9.0m"
"photo-transect","reef","Low Isles","2002","2001.7178082191780822","HARD CORAL","11.052504673178914","9.51375693671973","12.513709676694381","LTMP","9","_"," ","11.045867279719902","null","9.0m"
"photo-transect","reef","Low Isles","2003","2002.8465753424657534","HARD CORAL","10.885263902396728","9.484812683927913","12.347447387119791","LTMP","9","_"," ","10.907337017646539","null","9.0m"
"photo-transect","reef","Low Isles","2004","2004.03287671232876712","HARD CORAL","11.540440239503019","10.173095833378092","13.113322922915627","LTMP","9","_"," ","11.540443482832659","null","9.0m"
"photo-transect","reef","Low Isles","2005","2005.049315068493150684","HARD CORAL","15.848286052460914","13.919540934847744","17.822611762921248","LTMP","9","_"," ","15.837376043198597","null","9.0m"
"photo-transect","reef","Low Isles","2007","2007.03287671232876712","HARD CORAL","18.014346541934092","16.1699194467616","20.498167328411633","LTMP","9","_"," ","18.052723189348","null","9.0m"
"photo-transect","reef","Low Isles","2009","2009.11232876712328767","HARD CORAL","26.975843665625142","24.28188713751521","30.014752502360686","LTMP","9","_"," ","27.016280275409223","null","9.0m"
"photo-transect","reef","Low Isles","2011","2011.057534246575342465","HARD CORAL","23.919032464995027","21.10423363958562","27.097254269657867","LTMP","9","_"," ","23.96250024534665","null","9.0m"
"photo-transect","reef","Low Isles","2013","2013.005479452054794521","HARD CORAL","33.05218481610851","29.81917133802033","36.638979197781154","LTMP","9","_"," ","33.021744935820095","null","9.0m"
"photo-transect","reef","Low Isles","2015","2015.1643835616438356","HARD CORAL","21.441630966288727","19.073220473804383","23.77917411386871","LTMP","9","_"," ","21.466059812165618","null","9.0m"
"photo-transect","reef","Low Isles","2017","2016.6794520547945205","HARD CORAL","29.996935810409052","27.205428151665267","32.9128119324595","LTMP","9","_"," ","29.984276203198974","null","9.0m"
"photo-transect","reef","Low Isles","2019","2018.9095890410958904","HARD CORAL","23.833331296747602","21.179835593805528","26.31779721822754","LTMP","9","_"," ","23.8397818964681","null","9.0m"
"photo-transect","reef","Low Isles","2021","2021.03287671232876712","HARD CORAL","24.459278225267493","21.824011700425466","27.277302384636187","LTMP","9","_"," ","24.505253711199394","null","9.0m"
"photo-transect","reef","Low Isles","2022","2022.2958904109589041","HARD CORAL","35.06970174661686","31.671634608576937","38.57432234926148","LTMP","9","_"," ","35.04016990648314","null","9.0m"
"photo-transect","reef","Low Isles","2023","2023.16164383561643836","HARD CORAL","34.746043651442","31.324298391940257","38.085042336052446","LTMP","9","_"," ","34.76479588652773","null","9.0m"
"photo-transect","reef","Low Isles","2024","2023.6794520547945205","HARD CORAL","37.564033598690635","33.805222459270226","41.221520846920555","LTMP","9","_"," ","37.548853464081546","null","9.0m"
"photo-transect","reef","Low Isles","2025","2024.7671232876712328","HARD CORAL","30.78839316100067","28.00828810416201","34.186871082698076","LTMP","9","_"," ","30.851879150871547","null","9.0m"
