data_type,domain_category,domain_name,report_year,date,variable,median,lower,upper,project_code,depth,reef_zone,shelf,mean,count_group,series
"fish","reef","Macgillivray Reef",1995,"1994.7917808219178082","Large fishes",25.652926017858775,22.539512006350648,28.949574166735964,"LTMP",9,"_"," ",25.775645551326942,"restricted","9.0m"
"fish","reef","Macgillivray Reef",1996,"1995.7041095890410959","Large fishes",31.48301470386337,27.894142311890256,35.42442539164411,"LTMP",9,"_"," ",31.610235829704077,"restricted","9.0m"
"fish","reef","Macgillivray Reef",1997,"1996.7863013698630137","Large fishes",34.76801456133933,31.440058866104184,39.308162901802355,"LTMP",9,"_"," ",34.96522076550717,"restricted","9.0m"
"fish","reef","Macgillivray Reef",1998,"1997.7917808219178082","Large fishes",28.13066286947304,24.74312687465391,32.10898665025922,"LTMP",9,"_"," ",28.178832701604286,"restricted","9.0m"
"fish","reef","Macgillivray Reef",1999,"1998.7917808219178082","Large fishes",27.13178158830432,23.667072096401416,30.342977363792883,"LTMP",9,"_"," ",27.24431009708678,"restricted","9.0m"
"fish","reef","Macgillivray Reef",2000,"1999.8054794520547945","Large fishes",25.71752389337074,22.586887670785217,29.15132472573642,"LTMP",9,"_"," ",25.828184551815845,"restricted","9.0m"
"fish","reef","Macgillivray Reef",2001,"2000.5452054794520548","Large fishes",25.44626444052912,22.486073824186935,29.026506184194727,"LTMP",9,"_"," ",25.460875959906215,"restricted","9.0m"
"fish","reef","Macgillivray Reef",2002,"2001.4958904109589041","Large fishes",27.213385519224918,24.101302773804427,30.773457091226376,"LTMP",9,"_"," ",27.31469712423426,"restricted","9.0m"
"fish","reef","Macgillivray Reef",2003,"2002.5589041095890411","Large fishes",34.71279951011786,31.000236690247153,38.83457872641515,"LTMP",9,"_"," ",34.766226665334564,"restricted","9.0m"
"fish","reef","Macgillivray Reef",2004,"2003.6493150684931507","Large fishes",32.78779557799366,29.031086577427153,36.78442254982097,"LTMP",9,"_"," ",32.84661662405803,"restricted","9.0m"
"fish","reef","Macgillivray Reef",2005,"2004.6465753424657534","Large fishes",40.468069417704264,36.379749861007745,45.19531221026643,"LTMP",9,"_"," ",40.56555668004494,"restricted","9.0m"
"fish","reef","Macgillivray Reef",2007,"2006.7671232876712328","Large fishes",38.053743933941895,34.00703502102088,42.194615688449076,"LTMP",9,"_"," ",38.14718544833184,"restricted","9.0m"
"fish","reef","Macgillivray Reef",2009,"2008.8493150684931506","Large fishes",33.144427373156496,29.25074486546385,36.955837772813155,"LTMP",9,"_"," ",33.172815263503146,"restricted","9.0m"
"fish","reef","Macgillivray Reef",2011,"2010.8082191780821918","Large fishes",40.93892602123114,36.44120046757865,45.37945343147559,"LTMP",9,"_"," ",41.05383967198033,"restricted","9.0m"
"fish","reef","Macgillivray Reef",2013,"2012.8027397260273973","Large fishes",36.78532099997315,32.935105006577054,40.85490423306363,"LTMP",9,"_"," ",36.73620156278374,"restricted","9.0m"
"fish","reef","Macgillivray Reef",2015,"2014.915068493150685","Large fishes",43.19992676964071,38.60820329183429,48.28855350196713,"LTMP",9,"_"," ",43.26931512154977,"restricted","9.0m"
"fish","reef","Macgillivray Reef",2017,"2016.673972602739726","Large fishes",43.174920206620655,38.651833229885284,47.34687472349249,"LTMP",9,"_"," ",43.161329053950546,"restricted","9.0m"
"fish","reef","Macgillivray Reef",2019,"2018.947945205479452","Large fishes",46.662230922670396,42.256394265406755,52.38193947082531,"LTMP",9,"_"," ",46.95916966965094,"restricted","9.0m"
"fish","reef","Macgillivray Reef",2021,"2020.8164383561643835","Large fishes",52.26764902409528,47.20863025073317,57.15313183902224,"LTMP",9,"_"," ",52.31397357886782,"restricted","9.0m"
"fish","reef","Macgillivray Reef",2022,"2021.673972602739726","Large fishes",43.8361049264675,38.93062721420695,48.399115780935695,"LTMP",9,"_"," ",43.995136892851754,"restricted","9.0m"
"fish","reef","Macgillivray Reef",2022,"2021.673972602739726","Large fishes",80.95417274345297,69.88203759444475,91.24680626776413,"LTMP",9,"_"," ",81.17836669388919,"expanded","9.0m"
"fish","reef","Macgillivray Reef",2023,"2022.821917808219178","Large fishes",33.080133251088974,29.472249422753286,37.506898702281795,"LTMP",9,"_"," ",33.198871362386626,"restricted","9.0m"
"fish","reef","Macgillivray Reef",2023,"2022.821917808219178","Large fishes",44.57541820789664,39.25263447590986,50.76507436349125,"LTMP",9,"_"," ",44.72503052251293,"expanded","9.0m"
"fish","reef","Macgillivray Reef",2024,"2023.8821917808219178","Large fishes",48.09798091385536,43.24442378165526,52.79393878822847,"LTMP",9,"_"," ",48.26301237019296,"restricted","9.0m"
"fish","reef","Macgillivray Reef",2024,"2023.8821917808219178","Large fishes",135.02214677968507,120.06108049365788,150.85009668671051,"LTMP",9,"_"," ",135.40849055555603,"expanded","9.0m"
"fish","reef","Macgillivray Reef",2025,"2024.7342465753424657","Large fishes",31.787006224583962,28.47913520436583,35.883133024572516,"LTMP",9,"_"," ",31.890722725532598,"restricted","9.0m"
"fish","reef","Macgillivray Reef",2025,"2024.7342465753424657","Large fishes",64.61319202130784,56.81972828000187,72.65268110509238,"LTMP",9,"_"," ",64.6785373001929,"expanded","9.0m"
"fish","reef","Macgillivray Reef",2026,"2025.6876712328767123","Large fishes",38.362391210211086,34.57282428432616,42.88810178274194,"LTMP",9,"_"," ",38.394737341109575,"restricted","9.0m"
"fish","reef","Macgillivray Reef",2026,"2025.6876712328767123","Large fishes",92.15576741246801,81.01727110637978,102.87665596843648,"LTMP",9,"_"," ",92.2165756053391,"expanded","9.0m"
