data_type,domain_category,domain_name,report_year,date,variable,median,lower,upper,project_code,depth,reef_zone,shelf,mean,count_group,series
"manta","reef","Macgillivray Reef",1986,"1985.7068493150684931","HC",30.11323842244581,24.146592500001336,35.94727519906223,"LTMP",9,"_"," ",30.06863728354413,"null","9.0m"
"manta","reef","Macgillivray Reef",1987,"1986.7945205479452054","HC",29.68585420054466,24.897792839735935,35.39440520450694,"LTMP",9,"_"," ",29.844786025755553,"null","9.0m"
"manta","reef","Macgillivray Reef",1989,"1988.7589041095890411","HC",31.159564269646,25.79926110787514,38.07658362157205,"LTMP",9,"_"," ",31.26641220066925,"null","9.0m"
"manta","reef","Macgillivray Reef",1992,"1991.8657534246575342","HC",36.33248755473714,29.581148583974993,43.4751598622006,"LTMP",9,"_"," ",36.26100501291006,"null","9.0m"
"manta","reef","Macgillivray Reef",1993,"1993.3506849315068493","HC",34.35752552468572,28.062658371795596,41.33279539947334,"LTMP",9,"_"," ",34.47124702817665,"null","9.0m"
"manta","reef","Macgillivray Reef",1994,"1993.810958904109589","HC",35.064286016132726,29.331568216131377,41.825722646579486,"LTMP",9,"_"," ",35.15662049861697,"null","9.0m"
"manta","reef","Macgillivray Reef",1995,"1994.7917808219178082","HC",33.08635869479662,27.44369370735708,39.63165116025401,"LTMP",9,"_"," ",33.05694831535174,"null","9.0m"
"manta","reef","Macgillivray Reef",1996,"1995.7013698630136986","HC",30.362160416131267,24.169032983448613,37.02810284814896,"LTMP",9,"_"," ",30.461275551127866,"null","9.0m"
"manta","reef","Macgillivray Reef",1997,"1996.7863013698630137","HC",30.46127489246103,24.923704274388527,36.27501447129098,"LTMP",9,"_"," ",30.70642622447585,"null","9.0m"
"manta","reef","Macgillivray Reef",1998,"1997.7863013698630137","HC",16.81060456624479,12.488576112555322,21.964437507589697,"LTMP",9,"_"," ",16.88983250398241,"null","9.0m"
"manta","reef","Macgillivray Reef",1999,"1998.7917808219178082","HC",31.232953590260625,24.821466602767448,37.14870823373313,"LTMP",9,"_"," ",31.26757871987444,"null","9.0m"
"manta","reef","Macgillivray Reef",2000,"1999.7726027397260274","HC",24.744580624591485,19.241496564331765,30.36858412355438,"LTMP",9,"_"," ",24.841168470592866,"null","9.0m"
"manta","reef","Macgillivray Reef",2002,"2001.4931506849315068","HC",17.618015889004052,13.437838629568102,22.328591464146676,"LTMP",9,"_"," ",17.73510693449974,"null","9.0m"
"manta","reef","Macgillivray Reef",2003,"2002.5589041095890411","HC",24.38973041109835,18.880946378144657,30.292086365171787,"LTMP",9,"_"," ",24.619068709000498,"null","9.0m"
"manta","reef","Macgillivray Reef",2004,"2003.6493150684931507","HC",17.072218954680206,12.587984962252285,22.05040349123289,"LTMP",9,"_"," ",17.118418739748144,"null","9.0m"
"manta","reef","Macgillivray Reef",2005,"2004.6465753424657534","HC",22.473148503360253,17.52841385833805,28.669650750801367,"LTMP",9,"_"," ",22.58629900227735,"null","9.0m"
"manta","reef","Macgillivray Reef",2006,"2005.7808219178082192","HC",26.588703672566044,21.35636744793811,32.63634518801562,"LTMP",9,"_"," ",26.799164937733767,"null","9.0m"
"manta","reef","Macgillivray Reef",2007,"2006.7671232876712328","HC",34.273817011404425,27.96733669844093,40.917983630028196,"LTMP",9,"_"," ",34.379611375247585,"null","9.0m"
"manta","reef","Macgillivray Reef",2008,"2007.6438356164383562","HC",23.780435892961957,18.175019228578385,30.01870890294812,"LTMP",9,"_"," ",23.911799485389317,"null","9.0m"
"manta","reef","Macgillivray Reef",2009,"2008.8493150684931506","HC",36.00203806177543,29.761222843325147,42.63005497675594,"LTMP",9,"_"," ",35.91117187791391,"null","9.0m"
"manta","reef","Macgillivray Reef",2010,"2009.8712328767123287","HC",27.69551228954069,22.310581873817668,33.41574866124182,"LTMP",9,"_"," ",27.772360274705633,"null","9.0m"
"manta","reef","Macgillivray Reef",2011,"2010.8082191780821918","HC",25.65707519624106,19.785406003839082,31.44974366630971,"LTMP",9,"_"," ",25.763367520504787,"null","9.0m"
"manta","reef","Macgillivray Reef",2013,"2012.8164383561643835","HC",33.911437074878556,29.05310373772611,39.9907675275968,"LTMP",9,"_"," ",33.980296837764705,"null","9.0m"
"manta","reef","Macgillivray Reef",2015,"2014.915068493150685","HC",8.164375377394492,5.5657100107897035,11.198675861505857,"LTMP",9,"_"," ",8.340827460446192,"null","9.0m"
"manta","reef","Macgillivray Reef",2017,"2016.6767123287671233","HC",6.908490492451556,4.266822933144818,9.925221705558688,"LTMP",9,"_"," ",7.072685022457248,"null","9.0m"
"manta","reef","Macgillivray Reef",2019,"2018.9424657534246575","HC",7.084014709660849,4.614679117437325,10.200634823827448,"LTMP",9,"_"," ",7.225779845669857,"null","9.0m"
"manta","reef","Macgillivray Reef",2020,"2019.9452054794520548","HC",9.896103877562073,7.000323090674598,13.755445074077846,"LTMP",9,"_"," ",10.017025483633374,"null","9.0m"
"manta","reef","Macgillivray Reef",2021,"2020.8164383561643835","HC",19.030287183474424,14.48404672129161,24.058805759580782,"LTMP",9,"_"," ",19.137657029663284,"null","9.0m"
"manta","reef","Macgillivray Reef",2022,"2021.673972602739726","HC",30.193292831459072,24.793035904057383,35.67488945750482,"LTMP",9,"_"," ",30.27277168636739,"null","9.0m"
"manta","reef","Macgillivray Reef",2023,"2022.821917808219178","HC",36.03734232843399,30.029253050314374,42.41768343615012,"LTMP",9,"_"," ",36.17072764465936,"null","9.0m"
"manta","reef","Macgillivray Reef",2024,"2023.8821917808219178","HC",46.244521931820294,38.36127911366824,52.80104543965284,"LTMP",9,"_"," ",46.3489277327135,"null","9.0m"
"manta","reef","Macgillivray Reef",2025,"2024.7342465753424657","HC",28.273440894227264,22.574842081265782,34.25657209570911,"LTMP",9,"_"," ",28.30771078597239,"null","9.0m"
"manta","reef","Macgillivray Reef",2026,"2025.6876712328767123","HC",34.00534972969172,28.43680674215682,40.48429530791154,"LTMP",9,"_"," ",33.978874822015385,"null","9.0m"
