"data_type","domain_category","domain_name","report_year","date","variable","median","lower","upper","project_code","depth","reef_zone","shelf","mean","count_group","series"
"photo-transect","reef","Macgillivray Reef","1993","1993.3561643835616438","ALGAE","42.63089533750677","38.42630859726083","47.7845258183982","LTMP","9","_"," ","42.82728298298077","null","9.0m"
"photo-transect","reef","Macgillivray Reef","1994","1993.810958904109589","ALGAE","42.793111274673336","38.500396210481604","48.536471903203704","LTMP","9","_"," ","42.98030478704853","null","9.0m"
"photo-transect","reef","Macgillivray Reef","1995","1994.7917808219178082","ALGAE","50.54969626056452","46.451827181650465","55.530107918673885","LTMP","9","_"," ","50.79403445791017","null","9.0m"
"photo-transect","reef","Macgillivray Reef","1996","1995.7041095890410959","ALGAE","42.41292341248133","38.259301710566284","47.90496743779023","LTMP","9","_"," ","42.63005688814147","null","9.0m"
"photo-transect","reef","Macgillivray Reef","1997","1996.7863013698630137","ALGAE","51.50044269150502","46.79943857488805","57.4831930439872","LTMP","9","_"," ","51.827565111518226","null","9.0m"
"photo-transect","reef","Macgillivray Reef","1998","1997.7917808219178082","ALGAE","53.24756701588029","48.29689112053967","60.532944591823735","LTMP","9","_"," ","53.60621806725615","null","9.0m"
"photo-transect","reef","Macgillivray Reef","1999","1998.7917808219178082","ALGAE","51.74917882500847","46.18129594471029","57.17148287645967","LTMP","9","_"," ","51.98368817766115","null","9.0m"
"photo-transect","reef","Macgillivray Reef","2000","1999.8054794520547945","ALGAE","51.887186787664874","47.589366253492955","58.098871694983366","LTMP","9","_"," ","52.16825894242039","null","9.0m"
"photo-transect","reef","Macgillivray Reef","2001","2000.5452054794520548","ALGAE","51.37369059087853","46.46480008271815","56.99179842147034","LTMP","9","_"," ","51.536978936672625","null","9.0m"
"photo-transect","reef","Macgillivray Reef","2002","2001.4986301369863014","ALGAE","52.496599156958325","47.692310746814606","58.01668899411313","LTMP","9","_"," ","52.65312904223096","null","9.0m"
"photo-transect","reef","Macgillivray Reef","2003","2002.5589041095890411","ALGAE","52.647401616178115","48.795175994456514","57.93087393530703","LTMP","9","_"," ","52.887530540536446","null","9.0m"
"photo-transect","reef","Macgillivray Reef","2004","2003.6493150684931507","ALGAE","51.75829676227699","47.76796029889994","56.94824349958822","LTMP","9","_"," ","51.99362831878588","null","9.0m"
"photo-transect","reef","Macgillivray Reef","2005","2004.6465753424657534","ALGAE","50.5941051522827","46.44469244478767","56.02934461707173","LTMP","9","_"," ","50.84132370116657","null","9.0m"
"photo-transect","reef","Macgillivray Reef","2007","2006.7671232876712328","ALGAE","45.9488479365441","41.67599399060198","51.393749703942845","LTMP","9","_"," ","46.19828024612389","null","9.0m"
"photo-transect","reef","Macgillivray Reef","2009","2008.8493150684931506","ALGAE","50.248510295262825","46.022106497076074","55.90376722701941","LTMP","9","_"," ","50.50846306321236","null","9.0m"
"photo-transect","reef","Macgillivray Reef","2011","2010.8082191780821918","ALGAE","46.35409609381499","42.7067553407546","51.9475865162085","LTMP","9","_"," ","46.55466981566264","null","9.0m"
"photo-transect","reef","Macgillivray Reef","2013","2012.8027397260273973","ALGAE","48.82353633342723","44.304956595538165","54.394067505082454","LTMP","9","_"," ","49.094920752020506","null","9.0m"
"photo-transect","reef","Macgillivray Reef","2015","2014.915068493150685","ALGAE","68.2903573113699","64.2232859802198","74.07472205194838","LTMP","9","_"," ","68.55161216909104","null","9.0m"
"photo-transect","reef","Macgillivray Reef","2017","2016.673972602739726","ALGAE","71.82974149246517","67.51091234042744","77.45083304787241","LTMP","9","_"," ","72.07243537264468","null","9.0m"
"photo-transect","reef","Macgillivray Reef","2019","2018.947945205479452","ALGAE","74.94559807455741","71.05708905835958","81.0676694144791","LTMP","9","_"," ","75.27759568651544","null","9.0m"
"photo-transect","reef","Macgillivray Reef","2021","2020.8164383561643835","ALGAE","63.99308505024731","59.57426800699799","69.93486824243516","LTMP","9","_"," ","64.17341807749877","null","9.0m"
"photo-transect","reef","Macgillivray Reef","2022","2021.673972602739726","ALGAE","62.541586089702776","58.28311278648793","68.51582463310626","LTMP","9","_"," ","62.81189997656632","null","9.0m"
"photo-transect","reef","Macgillivray Reef","2023","2022.821917808219178","ALGAE","61.45537384746804","57.04298181268054","67.93239518041774","LTMP","9","_"," ","61.77678921152086","null","9.0m"
"photo-transect","reef","Macgillivray Reef","2024","2023.8821917808219178","ALGAE","56.45520406939657","51.325618773390616","62.94013592792839","LTMP","9","_"," ","56.835648964901175","null","9.0m"
"photo-transect","reef","Macgillivray Reef","2025","2024.7342465753424657","ALGAE","54.225091839975484","49.92662466270389","59.488779914957526","LTMP","9","_"," ","54.44897239775638","null","9.0m"
