"data_type","domain_category","domain_name","report_year","date","variable","median","lower","upper","project_code","depth","reef_zone","shelf","mean","count_group","series"
"photo-transect","reef","Macgillivray Reef","1993","1993.3561643835616438","SOFT CORAL","4.585782064470088","3.499940954503338","5.9971525881684835","LTMP","9","_"," ","4.629906632004312","null","9.0m"
"photo-transect","reef","Macgillivray Reef","1994","1993.810958904109589","SOFT CORAL","4.539632938544911","3.366554986398581","5.747873773235752","LTMP","9","_"," ","4.556594700260717","null","9.0m"
"photo-transect","reef","Macgillivray Reef","1995","1994.7917808219178082","SOFT CORAL","4.906685082240916","3.7526657988815493","6.27122561182851","LTMP","9","_"," ","4.956562036360894","null","9.0m"
"photo-transect","reef","Macgillivray Reef","1996","1995.7041095890410959","SOFT CORAL","4.924324984296718","3.888147487394041","6.400779819533077","LTMP","9","_"," ","4.955433417831142","null","9.0m"
"photo-transect","reef","Macgillivray Reef","1997","1996.7863013698630137","SOFT CORAL","4.260341207955341","3.247107734320262","5.475259963359355","LTMP","9","_"," ","4.298033682993731","null","9.0m"
"photo-transect","reef","Macgillivray Reef","1998","1997.7917808219178082","SOFT CORAL","4.585977929079678","3.5212240894638036","5.867963445763468","LTMP","9","_"," ","4.639804625664386","null","9.0m"
"photo-transect","reef","Macgillivray Reef","1999","1998.7917808219178082","SOFT CORAL","4.39179658814774","3.296988175823632","5.630794252044606","LTMP","9","_"," ","4.443556692518721","null","9.0m"
"photo-transect","reef","Macgillivray Reef","2000","1999.8054794520547945","SOFT CORAL","4.720175308995456","3.53485500952453","5.9555396413678965","LTMP","9","_"," ","4.762387493888827","null","9.0m"
"photo-transect","reef","Macgillivray Reef","2001","2000.5452054794520548","SOFT CORAL","4.017021569408139","3.0815059457644587","5.178086829971329","LTMP","9","_"," ","4.04751783777911","null","9.0m"
"photo-transect","reef","Macgillivray Reef","2002","2001.4986301369863014","SOFT CORAL","5.106390632215102","3.973862161099488","6.521532091742997","LTMP","9","_"," ","5.141959056497524","null","9.0m"
"photo-transect","reef","Macgillivray Reef","2003","2002.5589041095890411","SOFT CORAL","5.4953922325821765","4.226312574709407","6.929568582505211","LTMP","9","_"," ","5.530923764267268","null","9.0m"
"photo-transect","reef","Macgillivray Reef","2004","2003.6493150684931507","SOFT CORAL","4.17677236178062","3.2541433670112037","5.356312775289859","LTMP","9","_"," ","4.230166105660282","null","9.0m"
"photo-transect","reef","Macgillivray Reef","2005","2004.6465753424657534","SOFT CORAL","5.311328952654279","4.183340214903081","6.6812559875069315","LTMP","9","_"," ","5.369017362322203","null","9.0m"
"photo-transect","reef","Macgillivray Reef","2007","2006.7671232876712328","SOFT CORAL","5.400508183815282","4.167060868653658","6.729741539518439","LTMP","9","_"," ","5.444371937493395","null","9.0m"
"photo-transect","reef","Macgillivray Reef","2009","2008.8493150684931506","SOFT CORAL","3.4484907583448687","2.5857933055897684","4.508596377535292","LTMP","9","_"," ","3.4910992252512374","null","9.0m"
"photo-transect","reef","Macgillivray Reef","2011","2010.8082191780821918","SOFT CORAL","6.43302569164603","5.141647013042797","8.10333080516372","LTMP","9","_"," ","6.494132945275048","null","9.0m"
"photo-transect","reef","Macgillivray Reef","2013","2012.8027397260273973","SOFT CORAL","6.039012399029469","4.733023372060665","7.6609106909399625","LTMP","9","_"," ","6.112030181808521","null","9.0m"
"photo-transect","reef","Macgillivray Reef","2015","2014.915068493150685","SOFT CORAL","2.54376819052972","1.892680677758428","3.32305222278242","LTMP","9","_"," ","2.567728717625273","null","9.0m"
"photo-transect","reef","Macgillivray Reef","2017","2016.673972602739726","SOFT CORAL","2.880967761188564","2.0445311236211308","3.693941101301061","LTMP","9","_"," ","2.9023353112422576","null","9.0m"
"photo-transect","reef","Macgillivray Reef","2019","2018.947945205479452","SOFT CORAL","1.581541985185464","1.0859279996754236","2.2081472058863176","LTMP","9","_"," ","1.6154088052523534","null","9.0m"
"photo-transect","reef","Macgillivray Reef","2021","2020.8164383561643835","SOFT CORAL","1.2703031066075903","0.791028493212071","1.8203346088481236","LTMP","9","_"," ","1.2978973006503274","null","9.0m"
"photo-transect","reef","Macgillivray Reef","2022","2021.673972602739726","SOFT CORAL","3.900868812187387","2.936199179187332","4.994477084027376","LTMP","9","_"," ","3.936360432469303","null","9.0m"
"photo-transect","reef","Macgillivray Reef","2023","2022.821917808219178","SOFT CORAL","2.3036390985451476","1.6606506311383058","3.1486029062355514","LTMP","9","_"," ","2.3367812509295693","null","9.0m"
"photo-transect","reef","Macgillivray Reef","2024","2023.8821917808219178","SOFT CORAL","1.5479429917077592","1.000529307577629","2.1543030868339397","LTMP","9","_"," ","1.5714143997054217","null","9.0m"
"photo-transect","reef","Macgillivray Reef","2025","2024.7342465753424657","SOFT CORAL","1.772123504956831","1.2199767269536363","2.3958470844043886","LTMP","9","_"," ","1.8062430492834611","null","9.0m"
