data_type,domain_category,domain_name,report_year,date,variable,median,lower,upper,project_code,depth,reef_zone,shelf,mean,count_group,series
"fish","reef","Mackay Reef",1995,"1995.2821917808219178","Large fishes",24.46634429153167,21.399060013282877,28.542153620120175,"LTMP",9,"_"," ",24.53933214371836,"restricted","9.0m"
"fish","reef","Mackay Reef",1996,"1996.019178082191780823","Large fishes",24.933585421869584,21.323478703074198,28.745835258953203,"LTMP",9,"_"," ",25.00302112668414,"restricted","9.0m"
"fish","reef","Mackay Reef",1998,"1998.07671232876712329","Large fishes",21.88263566516254,18.53783832015425,25.167092221291,"LTMP",9,"_"," ",21.928699085452678,"restricted","9.0m"
"fish","reef","Mackay Reef",1999,"1999.0684931506849315","Large fishes",22.659784636466554,19.42494170308914,26.278043871134347,"LTMP",9,"_"," ",22.774364014747633,"restricted","9.0m"
"fish","reef","Mackay Reef",2000,"2000.0684931506849315","Large fishes",26.265114175610027,22.91531001721855,30.6299483683104,"LTMP",9,"_"," ",26.381739781579952,"restricted","9.0m"
"fish","reef","Mackay Reef",2001,"2001.09315068493150686","Large fishes",20.33966065431906,17.484891723888943,23.79641421176109,"LTMP",9,"_"," ",20.355001546001784,"restricted","9.0m"
"fish","reef","Mackay Reef",2002,"2001.7123287671232876","Large fishes",27.22659317441987,23.894878717665875,31.084609575990026,"LTMP",9,"_"," ",27.323763578504046,"restricted","9.0m"
"fish","reef","Mackay Reef",2003,"2002.8136986301369863","Large fishes",19.605773795700497,16.574802493271758,22.995900993925382,"LTMP",9,"_"," ",19.697719567171543,"restricted","9.0m"
"fish","reef","Mackay Reef",2004,"2004.019178082191780823","Large fishes",26.010059612251517,22.62877544873405,29.823564510304834,"LTMP",9,"_"," ",26.07558839997644,"restricted","9.0m"
"fish","reef","Mackay Reef",2005,"2005.07945205479452055","Large fishes",19.4155198228919,16.048261375950926,22.874584531768782,"LTMP",9,"_"," ",19.45788456820742,"restricted","9.0m"
"fish","reef","Mackay Reef",2007,"2007.0273972602739726","Large fishes",23.43716707379391,20.33958935052614,26.90971631704418,"LTMP",9,"_"," ",23.485916406398523,"restricted","9.0m"
"fish","reef","Mackay Reef",2009,"2009.10684931506849316","Large fishes",15.212532551649097,12.47950451392356,18.19206958783631,"LTMP",9,"_"," ",15.307898806432652,"restricted","9.0m"
"fish","reef","Mackay Reef",2011,"2011.07671232876712329","Large fishes",32.7847924555672,28.769629956402216,37.404967214072926,"LTMP",9,"_"," ",32.884698926931414,"restricted","9.0m"
"fish","reef","Mackay Reef",2013,"2013.01643835616438356","Large fishes",23.686449721423127,20.487146558701067,27.410819763139813,"LTMP",9,"_"," ",23.789114214244087,"restricted","9.0m"
"fish","reef","Mackay Reef",2015,"2015.16712328767123288","Large fishes",32.02062890565466,27.843088997804113,36.35635343020993,"LTMP",9,"_"," ",32.12947097036733,"restricted","9.0m"
"fish","reef","Mackay Reef",2017,"2016.9260273972602739","Large fishes",23.95665964902011,20.56211474945006,28.076498532114524,"LTMP",9,"_"," ",24.042555342895795,"restricted","9.0m"
"fish","reef","Mackay Reef",2019,"2019.13424657534246576","Large fishes",17.611656590064754,14.845830537924485,21.100172255001137,"LTMP",9,"_"," ",17.756044009618055,"restricted","9.0m"
"fish","reef","Mackay Reef",2021,"2021.021917808219178082","Large fishes",45.35366901110053,39.968882831022995,50.978326031862174,"LTMP",9,"_"," ",45.42729459534634,"restricted","9.0m"
"fish","reef","Mackay Reef",2022,"2021.7095890410958904","Large fishes",37.59851957958949,32.69726237802566,42.377328943703276,"LTMP",9,"_"," ",37.7469340566519,"restricted","9.0m"
"fish","reef","Mackay Reef",2022,"2021.7095890410958904","Large fishes",64.72172715602603,51.97557176906994,76.8464368850319,"LTMP",9,"_"," ",64.92892230963254,"expanded","9.0m"
"fish","reef","Mackay Reef",2023,"2022.8383561643835616","Large fishes",29.629989278207542,26.182976318184267,33.88104476564815,"LTMP",9,"_"," ",29.764484899063184,"restricted","9.0m"
"fish","reef","Mackay Reef",2023,"2022.8383561643835616","Large fishes",49.64113217925699,39.56393149769551,60.33331730390382,"LTMP",9,"_"," ",49.914319301589,"expanded","9.0m"
"fish","reef","Mackay Reef",2024,"2023.6575342465753424","Large fishes",61.870266701877696,55.398121549467284,69.53286990431577,"LTMP",9,"_"," ",62.05792765429413,"restricted","9.0m"
"fish","reef","Mackay Reef",2024,"2023.6575342465753424","Large fishes",132.71531143836148,106.23015761760333,156.43710157988002,"LTMP",9,"_"," ",133.34231062571249,"expanded","9.0m"
"fish","reef","Mackay Reef",2025,"2024.7589041095890411","Large fishes",36.426046317204936,31.975287642001792,41.254318578073374,"LTMP",9,"_"," ",36.53690623235202,"restricted","9.0m"
"fish","reef","Mackay Reef",2025,"2024.7589041095890411","Large fishes",59.354125456145226,48.12681543808776,70.56182806477288,"LTMP",9,"_"," ",59.63700999231741,"expanded","9.0m"
"fish","reef","Mackay Reef",2026,"2025.673972602739726","Large fishes",39.42365399129851,35.261877188082394,44.754136921486264,"LTMP",9,"_"," ",39.52376406862967,"restricted","9.0m"
"fish","reef","Mackay Reef",2026,"2025.673972602739726","Large fishes",92.14216369129227,76.91885681618912,111.23629152373584,"LTMP",9,"_"," ",92.23782601273157,"expanded","9.0m"
