data_type,domain_category,domain_name,report_year,date,variable,median,lower,upper,project_code,depth,reef_zone,shelf,mean,count_group,series
"fish","reef","Michaelmas Cay",1995,"1995.26575342465753427","Harvested",4.559244260645942,2.295680898877987,7.8871981664075825,"LTMP",9,"_"," ",4.750815930242517,"restricted","9.0m"
"fish","reef","Michaelmas Cay",1996,"1996.057534246575342465","Harvested",7.414068528144148,4.4040671383220555,12.288044450908238,"LTMP",9,"_"," ",7.784175824543847,"restricted","9.0m"
"fish","reef","Michaelmas Cay",1997,"1997.0410958904109589","Harvested",3.6016498996889883,1.802443729011581,6.764045239431499,"LTMP",9,"_"," ",3.8561178631117903,"restricted","9.0m"
"fish","reef","Michaelmas Cay",1998,"1998.057534246575342465","Harvested",8.814958211064104,5.503896285634364,12.969796667799075,"LTMP",9,"_"," ",8.996906676489521,"restricted","9.0m"
"fish","reef","Michaelmas Cay",1999,"1999.09863013698630137","Harvested",5.572751585022491,3.0088133718858416,8.970577517060908,"LTMP",9,"_"," ",5.735610006153819,"restricted","9.0m"
"fish","reef","Michaelmas Cay",2000,"2000.07945205479452055","Harvested",7.997083736724463,4.751654642748132,13.600514139703785,"LTMP",9,"_"," ",8.353070634104132,"restricted","9.0m"
"fish","reef","Michaelmas Cay",2001,"2001.11232876712328767","Harvested",4.520936409203848,2.466050173474412,7.882051007246534,"LTMP",9,"_"," ",4.755519198458444,"restricted","9.0m"
"fish","reef","Michaelmas Cay",2002,"2001.7397260273972602","Harvested",6.8712097321131065,3.7893337193320846,12.701482985744883,"LTMP",9,"_"," ",7.400518769226038,"restricted","9.0m"
"fish","reef","Michaelmas Cay",2003,"2002.8356164383561644","Harvested",17.390618536934696,11.242320015252014,25.566935881889634,"LTMP",9,"_"," ",17.59018786728647,"restricted","9.0m"
"fish","reef","Michaelmas Cay",2004,"2004.0273972602739726","Harvested",5.157461343340772,2.5879044124983808,9.466709540035103,"LTMP",9,"_"," ",5.549151213147555,"restricted","9.0m"
"fish","reef","Michaelmas Cay",2005,"2005.06575342465753424","Harvested",5.468726842112435,2.8302239996253555,8.969913865618985,"LTMP",9,"_"," ",5.68819128041005,"restricted","9.0m"
"fish","reef","Michaelmas Cay",2007,"2007.043835616438356165","Harvested",7.6666300624708335,4.311881560127866,11.916484051641648,"LTMP",9,"_"," ",8.004660676712913,"restricted","9.0m"
"fish","reef","Michaelmas Cay",2009,"2009.0136986301369863","Harvested",5.625575921826611,2.843506726061648,9.562889621894499,"LTMP",9,"_"," ",5.901110866671032,"restricted","9.0m"
"fish","reef","Michaelmas Cay",2011,"2011.09863013698630137","Harvested",8.185126928579034,5.1996874896252425,12.214977935459022,"LTMP",9,"_"," ",8.333664614470896,"restricted","9.0m"
"fish","reef","Michaelmas Cay",2013,"2013.03287671232876712","Harvested",6.838475185900306,4.126123312294663,10.255227120462322,"LTMP",9,"_"," ",6.997836680078241,"restricted","9.0m"
"fish","reef","Michaelmas Cay",2015,"2015.15616438356164383","Harvested",5.504023859858876,3.1131150606476954,9.154053713855953,"LTMP",9,"_"," ",5.765761268679582,"restricted","9.0m"
"fish","reef","Michaelmas Cay",2017,"2016.9616438356164384","Harvested",4.813602285690919,2.6073724997561705,7.995996770083339,"LTMP",9,"_"," ",5.014147662160679,"restricted","9.0m"
"fish","reef","Michaelmas Cay",2019,"2019.39452054794520547","Harvested",8.67124229294475,5.314326357611248,13.542070283817448,"LTMP",9,"_"," ",8.97340236639072,"restricted","9.0m"
"fish","reef","Michaelmas Cay",2021,"2021.0547945205479452","Harvested",16.423607496693933,10.21314641878112,24.493196533968256,"LTMP",9,"_"," ",16.73881955958513,"restricted","9.0m"
