data_type,domain_category,domain_name,report_year,date,variable,median,lower,upper,project_code,depth,reef_zone,shelf,mean,count_group,series
"fish","reef","Michaelmas Cay",1995,"1995.26575342465753427","Herbivores",33.905254404173036,26.753887212827376,40.37907362971418,"LTMP",9,"_"," ",34.126178715502554,"restricted","9.0m"
"fish","reef","Michaelmas Cay",1996,"1996.057534246575342465","Herbivores",38.4825668316049,31.88922978662917,46.00998314264079,"LTMP",9,"_"," ",38.78348328150929,"restricted","9.0m"
"fish","reef","Michaelmas Cay",1997,"1997.0410958904109589","Herbivores",33.92102516276901,27.71683203841152,40.26912631296441,"LTMP",9,"_"," ",33.92599246889849,"restricted","9.0m"
"fish","reef","Michaelmas Cay",1998,"1998.057534246575342465","Herbivores",30.470658931376388,24.5673199325105,36.37871954201262,"LTMP",9,"_"," ",30.549462157904436,"restricted","9.0m"
"fish","reef","Michaelmas Cay",1999,"1999.09863013698630137","Herbivores",36.04846179363329,29.134884242833945,42.32127964768619,"LTMP",9,"_"," ",36.12176084304497,"restricted","9.0m"
"fish","reef","Michaelmas Cay",2000,"2000.07945205479452055","Herbivores",25.189092612695813,20.274649326294718,30.59608307325357,"LTMP",9,"_"," ",25.209130005734917,"restricted","9.0m"
"fish","reef","Michaelmas Cay",2001,"2001.11232876712328767","Herbivores",38.02361434434255,31.43513466342812,45.90196790689515,"LTMP",9,"_"," ",38.15692826947687,"restricted","9.0m"
"fish","reef","Michaelmas Cay",2002,"2001.7397260273972602","Herbivores",30.974260507980983,25.246273318094456,37.475620093916895,"LTMP",9,"_"," ",31.23712526417704,"restricted","9.0m"
"fish","reef","Michaelmas Cay",2003,"2002.8356164383561644","Herbivores",39.05723291489232,31.615448610241206,46.21196893677815,"LTMP",9,"_"," ",39.141209599827995,"restricted","9.0m"
"fish","reef","Michaelmas Cay",2004,"2004.0273972602739726","Herbivores",41.19543076911919,32.6281294847721,48.35609334744399,"LTMP",9,"_"," ",41.34424909599826,"restricted","9.0m"
"fish","reef","Michaelmas Cay",2005,"2005.06575342465753424","Herbivores",44.807061974794095,37.12256703284159,53.790311849889754,"LTMP",9,"_"," ",45.18506699319267,"restricted","9.0m"
"fish","reef","Michaelmas Cay",2007,"2007.043835616438356165","Herbivores",49.744548453472305,39.80330526060176,58.48525463686766,"LTMP",9,"_"," ",49.92626956553934,"restricted","9.0m"
"fish","reef","Michaelmas Cay",2009,"2009.0136986301369863","Herbivores",32.51299939353919,26.760599386103184,39.25817310033668,"LTMP",9,"_"," ",32.74950363097544,"restricted","9.0m"
"fish","reef","Michaelmas Cay",2011,"2011.09863013698630137","Herbivores",46.22753995171689,37.6355084934426,54.192268196949335,"LTMP",9,"_"," ",46.44101867850222,"restricted","9.0m"
"fish","reef","Michaelmas Cay",2013,"2013.03287671232876712","Herbivores",60.226366404848875,48.97352671231123,70.37152819419963,"LTMP",9,"_"," ",60.33883170576379,"restricted","9.0m"
"fish","reef","Michaelmas Cay",2015,"2015.15616438356164383","Herbivores",54.57274472139949,44.40647899314592,63.88191016522032,"LTMP",9,"_"," ",54.76159426699988,"restricted","9.0m"
"fish","reef","Michaelmas Cay",2017,"2016.9616438356164384","Herbivores",33.168392191388996,27.320326893704447,39.73606105463383,"LTMP",9,"_"," ",33.38200723578218,"restricted","9.0m"
"fish","reef","Michaelmas Cay",2019,"2019.39452054794520547","Herbivores",77.5027710073592,62.39755880862542,91.05750216492538,"LTMP",9,"_"," ",77.66689378890388,"restricted","9.0m"
"fish","reef","Michaelmas Cay",2021,"2021.0547945205479452","Herbivores",59.70278483265419,48.75368211805544,70.36675822464039,"LTMP",9,"_"," ",60.07943507647087,"restricted","9.0m"
