data_type,domain_category,domain_name,report_year,date,variable,median,lower,upper,project_code,depth,reef_zone,shelf,mean,count_group,series
"manta","reef","Moore Reef",1989,"1989.13150684931506848","HC",12.633474324619343,10.712816356710686,14.826888948020347,"LTMP",9,"_"," ",12.64461314847428,"null","9.0m"
"manta","reef","Moore Reef",1990,"1989.9452054794520548","HC",20.745091842426554,17.545795861623876,24.403680953237668,"LTMP",9,"_"," ",20.83598673623655,"null","9.0m"
"manta","reef","Moore Reef",1994,"1994.12602739726027398","HC",11.62405703441638,9.653054020358669,13.926764453323335,"LTMP",9,"_"," ",11.674692249518188,"null","9.0m"
"manta","reef","Moore Reef",1997,"1997.3315068493150685","HC",16.786966459602183,14.042840178292154,20.007063944449385,"LTMP",9,"_"," ",16.83060579636037,"null","9.0m"
"manta","reef","Moore Reef",2000,"2000.0958904109589041","HC",15.3794465837356,12.634705218771073,18.067897839965777,"LTMP",9,"_"," ",15.419238008369565,"null","9.0m"
"manta","reef","Moore Reef",2006,"2005.9041095890410958","HC",14.267652805498809,11.781787138519412,16.94516153452195,"LTMP",9,"_"," ",14.289534769209888,"null","9.0m"
"manta","reef","Moore Reef",2007,"2007.052054794520547946","HC",15.047532523132023,12.382690889203898,17.985179825038625,"LTMP",9,"_"," ",15.067772006695826,"null","9.0m"
"manta","reef","Moore Reef",2010,"2009.9041095890410958","HC",14.778886203389574,11.924084279910137,17.318791807436675,"LTMP",9,"_"," ",14.815052412000828,"null","9.0m"
"manta","reef","Moore Reef",2012,"2012.14520547945205478","HC",13.92461413914049,11.469349527848156,16.452846223013648,"LTMP",9,"_"," ",13.941959484805528,"null","9.0m"
"manta","reef","Moore Reef",2014,"2014.19452054794520549","HC",16.14505420194961,13.539651394866375,18.838499812828477,"LTMP",9,"_"," ",16.168400135862097,"null","9.0m"
"manta","reef","Moore Reef",2016,"2015.9397260273972603","HC",17.68980709977848,15.184668879348271,20.536100862707794,"LTMP",9,"_"," ",17.76887692370203,"null","9.0m"
"manta","reef","Moore Reef",2018,"2017.9671232876712329","HC",11.439491475994497,9.436429164255028,13.779735113988012,"LTMP",9,"_"," ",11.51737758735426,"null","9.0m"
