data_type,domain_category,domain_name,report_year,date,variable,median,lower,upper,project_code,depth,reef_zone,shelf,mean,count_group,series
"fish","reef","North Direction Island",1995,"1994.8164383561643835","Herbivores",25.788476147320214,21.874131427272875,29.272206045395283,"LTMP",9,"_"," ",25.846419913545787,"restricted","9.0m"
"fish","reef","North Direction Island",1996,"1995.7808219178082192","Herbivores",23.557884952056007,20.29533283074119,27.101794244861438,"LTMP",9,"_"," ",23.632802217146033,"restricted","9.0m"
"fish","reef","North Direction Island",1997,"1996.8191780821917808","Herbivores",24.665446542486762,21.417035198866166,28.198293284734557,"LTMP",9,"_"," ",24.736548807537318,"restricted","9.0m"
"fish","reef","North Direction Island",1998,"1997.7917808219178082","Herbivores",23.214836725432964,19.918033364044454,27.234732212336652,"LTMP",9,"_"," ",23.24075261717328,"restricted","9.0m"
"fish","reef","North Direction Island",1999,"1998.7972602739726027","Herbivores",26.761109569381944,22.72469837649973,30.888368560811912,"LTMP",9,"_"," ",26.88037399487517,"restricted","9.0m"
"fish","reef","North Direction Island",2000,"1999.7698630136986301","Herbivores",32.153555390916324,28.249338113301874,36.9317623376503,"LTMP",9,"_"," ",32.212854823200665,"restricted","9.0m"
"fish","reef","North Direction Island",2001,"2000.5397260273972603","Herbivores",26.386030668542148,22.3026416261787,30.358112796799528,"LTMP",9,"_"," ",26.415758197947778,"restricted","9.0m"
"fish","reef","North Direction Island",2002,"2001.5068493150684932","Herbivores",26.352218176515752,22.634241941221603,30.442865461717947,"LTMP",9,"_"," ",26.385573703825084,"restricted","9.0m"
"fish","reef","North Direction Island",2003,"2002.5671232876712329","Herbivores",24.825307696289777,21.52792106201239,28.645022024592553,"LTMP",9,"_"," ",24.941691266582296,"restricted","9.0m"
"fish","reef","North Direction Island",2004,"2003.6520547945205479","Herbivores",32.5317652764338,28.42743730827204,37.24359657391389,"LTMP",9,"_"," ",32.588694706691854,"restricted","9.0m"
"fish","reef","North Direction Island",2005,"2004.6547945205479452","Herbivores",63.324171140119745,55.91038744761076,71.16067312399511,"LTMP",9,"_"," ",63.37341765600048,"restricted","9.0m"
"fish","reef","North Direction Island",2007,"2006.7698630136986301","Herbivores",30.87911690081129,27.053413378597355,35.51585872868042,"LTMP",9,"_"," ",30.96272434794805,"restricted","9.0m"
"fish","reef","North Direction Island",2009,"2008.852054794520548","Herbivores",35.59696533217469,30.757097303112968,40.08027989577045,"LTMP",9,"_"," ",35.6020898873076,"restricted","9.0m"
"fish","reef","North Direction Island",2011,"2010.8164383561643835","Herbivores",33.40697922288117,29.0808100034683,38.51247041893697,"LTMP",9,"_"," ",33.61523698041655,"restricted","9.0m"
"fish","reef","North Direction Island",2013,"2012.7808219178082192","Herbivores",34.63640367939276,29.348812502566226,38.94531881793662,"LTMP",9,"_"," ",34.69525342021117,"restricted","9.0m"
"fish","reef","North Direction Island",2015,"2014.936986301369863","Herbivores",30.046641140767733,25.804749283718998,34.130215855216406,"LTMP",9,"_"," ",30.055487449382543,"restricted","9.0m"
"fish","reef","North Direction Island",2017,"2016.9561643835616438","Herbivores",20.28977289387193,16.73991733757062,23.935337004895,"LTMP",9,"_"," ",20.392133431479913,"restricted","9.0m"
"fish","reef","North Direction Island",2019,"2018.9506849315068493","Herbivores",24.21725317397111,20.00835818789225,27.785091789580356,"LTMP",9,"_"," ",24.27419448801354,"restricted","9.0m"
"fish","reef","North Direction Island",2021,"2020.8191780821917808","Herbivores",22.446998097107144,19.12193902187906,26.163435298310404,"LTMP",9,"_"," ",22.56253111125638,"restricted","9.0m"
"fish","reef","North Direction Island",2022,"2021.7726027397260274","Herbivores",18.25399411015146,15.675227882578147,21.601267916016255,"LTMP",9,"_"," ",18.342692889395614,"restricted","9.0m"
"fish","reef","North Direction Island",2022,"2021.7726027397260274","Herbivores",18.41687333265927,15.56375166721117,22.20046782495053,"LTMP",9,"_"," ",18.453649424398225,"expanded","9.0m"
"fish","reef","North Direction Island",2023,"2022.8","Herbivores",26.720317713767095,22.624827801262477,30.553971512169248,"LTMP",9,"_"," ",26.800266939454737,"restricted","9.0m"
"fish","reef","North Direction Island",2023,"2022.8","Herbivores",27.145091038794696,23.572288635627093,31.52829335293695,"LTMP",9,"_"," ",27.168327874463838,"expanded","9.0m"
"fish","reef","North Direction Island",2024,"2023.8767123287671232","Herbivores",23.722886046748158,19.789796440609955,27.711990671761452,"LTMP",9,"_"," ",23.80200054166537,"restricted","9.0m"
"fish","reef","North Direction Island",2024,"2023.8767123287671232","Herbivores",23.011699108228626,19.239517809024218,26.999280267528206,"LTMP",9,"_"," ",23.03915216136528,"expanded","9.0m"
"fish","reef","North Direction Island",2025,"2024.736986301369863","Herbivores",26.23567996440378,21.8277336484631,29.832674429750003,"LTMP",9,"_"," ",26.245859529276522,"restricted","9.0m"
"fish","reef","North Direction Island",2025,"2024.736986301369863","Herbivores",26.245486276430036,22.60253499096428,30.839020254766872,"LTMP",9,"_"," ",26.383737316336227,"expanded","9.0m"
"fish","reef","North Direction Island",2026,"2025.6986301369863014","Herbivores",26.810459366679147,22.740650543506597,30.658158888383102,"LTMP",9,"_"," ",26.859892616980694,"restricted","9.0m"
"fish","reef","North Direction Island",2026,"2025.6986301369863014","Herbivores",27.14289039638767,22.99691402801362,31.324165483827834,"LTMP",9,"_"," ",27.197512655110422,"expanded","9.0m"
