"data_type","domain_category","domain_name","report_year","date","variable","median","lower","upper","project_code","depth","reef_zone","shelf","mean","count_group","series"
"photo-transect","reef","North Direction Island","1994","1993.7835616438356164","HARD CORAL","20.753049715629288","17.73129374809433","23.591989552571846","LTMP","9","_"," ","20.82281240581655","null","9.0m"
"photo-transect","reef","North Direction Island","1995","1994.8164383561643835","HARD CORAL","18.584335571463317","15.774184308600972","21.20173706255463","LTMP","9","_"," ","18.66714369864631","null","9.0m"
"photo-transect","reef","North Direction Island","1996","1995.7808219178082192","HARD CORAL","17.72342635863845","15.287141261892428","20.37860138932823","LTMP","9","_"," ","17.818906111447454","null","9.0m"
"photo-transect","reef","North Direction Island","1997","1996.8191780821917808","HARD CORAL","13.31733370783647","11.270126488550689","15.291524049570226","LTMP","9","_"," ","13.375867568864502","null","9.0m"
"photo-transect","reef","North Direction Island","1998","1997.7917808219178082","HARD CORAL","16.59983839284499","14.42655943272623","19.289489671679842","LTMP","9","_"," ","16.635442946561263","null","9.0m"
"photo-transect","reef","North Direction Island","1999","1998.7945205479452054","HARD CORAL","15.642595455356195","13.372001360662832","18.18889328643333","LTMP","9","_"," ","15.692354476768983","null","9.0m"
"photo-transect","reef","North Direction Island","2000","1999.7698630136986301","HARD CORAL","15.835830600976541","13.743509857117958","18.39912728233268","LTMP","9","_"," ","15.951392017141542","null","9.0m"
"photo-transect","reef","North Direction Island","2001","2000.5397260273972603","HARD CORAL","20.474960448862547","17.805986753012778","23.05132965720531","LTMP","9","_"," ","20.499444237812302","null","9.0m"
"photo-transect","reef","North Direction Island","2002","2001.5068493150684932","HARD CORAL","19.037664331495176","16.577882493939708","21.647886818901863","LTMP","9","_"," ","19.049148726478712","null","9.0m"
"photo-transect","reef","North Direction Island","2003","2002.5671232876712329","HARD CORAL","23.84318880219574","21.197326728001382","27.4178771133259","LTMP","9","_"," ","23.956865690031545","null","9.0m"
"photo-transect","reef","North Direction Island","2004","2003.6520547945205479","HARD CORAL","23.307562903686495","20.655581744715164","26.819266656760515","LTMP","9","_"," ","23.38513506553525","null","9.0m"
"photo-transect","reef","North Direction Island","2005","2004.6547945205479452","HARD CORAL","24.377727312045348","21.44730840424717","27.972961033211714","LTMP","9","_"," ","24.4477421061225","null","9.0m"
"photo-transect","reef","North Direction Island","2007","2006.7698630136986301","HARD CORAL","27.35417770405452","24.326868502289294","31.38084882346862","LTMP","9","_"," ","27.550022238923134","null","9.0m"
"photo-transect","reef","North Direction Island","2009","2008.852054794520548","HARD CORAL","28.10904548197137","24.787844151769505","31.65984978626494","LTMP","9","_"," ","28.188538378458873","null","9.0m"
"photo-transect","reef","North Direction Island","2011","2010.8164383561643835","HARD CORAL","33.28669069812607","29.702454925697698","37.696019908291284","LTMP","9","_"," ","33.42901656964315","null","9.0m"
"photo-transect","reef","North Direction Island","2013","2012.7808219178082192","HARD CORAL","35.180315318584285","30.910290639500275","39.63374386894451","LTMP","9","_"," ","35.26129004495794","null","9.0m"
"photo-transect","reef","North Direction Island","2015","2014.936986301369863","HARD CORAL","8.63821946345023","7.297494136782359","10.13691022661623","LTMP","9","_"," ","8.701848052216835","null","9.0m"
"photo-transect","reef","North Direction Island","2017","2016.9561643835616438","HARD CORAL","4.603300312522833","3.7863120700771393","5.620006650243034","LTMP","9","_"," ","4.628370176594759","null","9.0m"
"photo-transect","reef","North Direction Island","2019","2018.9506849315068493","HARD CORAL","5.0399858309296315","4.1110334671419775","6.010239958623527","LTMP","9","_"," ","5.061994263501633","null","9.0m"
"photo-transect","reef","North Direction Island","2021","2020.8191780821917808","HARD CORAL","9.886332632094538","8.24184039556281","11.38277523286589","LTMP","9","_"," ","9.94392595282751","null","9.0m"
"photo-transect","reef","North Direction Island","2022","2021.7726027397260274","HARD CORAL","11.884676365574075","10.197722780658298","13.761658758839237","LTMP","9","_"," ","11.929929519718208","null","9.0m"
"photo-transect","reef","North Direction Island","2023","2022.8","HARD CORAL","11.587346599559387","10.079541876260592","13.311161581305669","LTMP","9","_"," ","11.630218289505482","null","9.0m"
"photo-transect","reef","North Direction Island","2024","2023.8767123287671232","HARD CORAL","17.471852612764152","15.118362273558262","19.757724589531144","LTMP","9","_"," ","17.48752013339973","null","9.0m"
"photo-transect","reef","North Direction Island","2025","2024.736986301369863","HARD CORAL","12.544008672066779","10.722171204285944","14.570255386406888","LTMP","9","_"," ","12.594801776024674","null","9.0m"
