data_type,domain_category,domain_name,report_year,date,variable,median,lower,upper,project_code,depth,reef_zone,shelf,mean,count_group,series
"fish","reef","One Tree Island",1995,"1994.9068493150684932","Herbivores",9.362411889157539,6.96990757214975,12.639214294873286,"LTMP",9,"_"," ",9.537907066414029,"restricted","9.0m"
"fish","reef","One Tree Island",1996,"1995.9315068493150684","Herbivores",19.14442765046402,15.532081919539598,23.5497953387768,"LTMP",9,"_"," ",19.306200921140814,"restricted","9.0m"
"fish","reef","One Tree Island",1997,"1996.8767123287671232","Herbivores",14.14761985972837,11.240562564868348,18.36240862920753,"LTMP",9,"_"," ",14.380783202153841,"restricted","9.0m"
"fish","reef","One Tree Island",1998,"1997.9315068493150684","Herbivores",19.673029042162852,15.874779382638458,24.032072218962075,"LTMP",9,"_"," ",19.81685754921858,"restricted","9.0m"
"fish","reef","One Tree Island",1999,"1998.9068493150684932","Herbivores",23.942822133459266,20.613712655189126,27.51782835398702,"LTMP",9,"_"," ",24.032505410960322,"restricted","9.0m"
"fish","reef","One Tree Island",2000,"1999.9260273972602739","Herbivores",31.72985536652576,28.086055121309343,36.20766859243551,"LTMP",9,"_"," ",31.797642452279916,"restricted","9.0m"
"fish","reef","One Tree Island",2001,"2000.7068493150684931","Herbivores",22.482142734345643,19.49404173411311,25.65841540356326,"LTMP",9,"_"," ",22.53729953532867,"restricted","9.0m"
"fish","reef","One Tree Island",2002,"2001.5917808219178082","Herbivores",19.513464052479705,16.757663658169818,22.66366609117807,"LTMP",9,"_"," ",19.61844965941835,"restricted","9.0m"
"fish","reef","One Tree Island",2003,"2002.7095890410958904","Herbivores",32.52686080654019,29.053709206873368,36.511088504415255,"LTMP",9,"_"," ",32.6409859163809,"restricted","9.0m"
"fish","reef","One Tree Island",2004,"2003.8301369863013699","Herbivores",26.94773495723893,23.89473698025674,30.562730868246124,"LTMP",9,"_"," ",27.037102691236317,"restricted","9.0m"
"fish","reef","One Tree Island",2005,"2004.9178082191780822","Herbivores",43.8816152416323,39.06156026657734,48.69677599406606,"LTMP",9,"_"," ",43.914789341690934,"restricted","9.0m"
"fish","reef","One Tree Island",2007,"2006.8684931506849315","Herbivores",47.80851068375597,42.72150801685682,52.99157418925272,"LTMP",9,"_"," ",47.95993079330111,"restricted","9.0m"
"fish","reef","One Tree Island",2009,"2008.8904109589041096","Herbivores",58.48212415805173,52.200026377615295,64.9929580200345,"LTMP",9,"_"," ",58.64672438636103,"restricted","9.0m"
"fish","reef","One Tree Island",2011,"2010.915068493150685","Herbivores",29.26600116211235,24.25886142493101,34.6540142571621,"LTMP",9,"_"," ",29.441879215368736,"restricted","9.0m"
"fish","reef","One Tree Island",2013,"2012.6465753424657534","Herbivores",34.12665666539726,29.61277919734287,39.306448193620334,"LTMP",9,"_"," ",34.24044288598814,"restricted","9.0m"
"fish","reef","One Tree Island",2015,"2014.6410958904109589","Herbivores",35.917267691606824,31.192856192372158,41.16088116433967,"LTMP",9,"_"," ",36.14528256134027,"restricted","9.0m"
"fish","reef","One Tree Island",2017,"2017.03287671232876712","Herbivores",33.8642627979916,29.91392791813384,38.48764789341518,"LTMP",9,"_"," ",34.002952660397334,"restricted","9.0m"
"fish","reef","One Tree Island",2019,"2018.7178082191780822","Herbivores",82.60165279390864,75.64830456186961,91.31389407738997,"LTMP",9,"_"," ",82.77920129533437,"restricted","9.0m"
"fish","reef","One Tree Island",2021,"2020.6410958904109589","Herbivores",54.423901918468445,48.99539685517049,60.18501568625524,"LTMP",9,"_"," ",54.56015995882667,"restricted","9.0m"
"fish","reef","One Tree Island",2022,"2021.9616438356164384","Herbivores",65.56082770468649,59.22930481338463,72.39960204766322,"LTMP",9,"_"," ",65.71776894653998,"restricted","9.0m"
"fish","reef","One Tree Island",2022,"2021.9616438356164384","Herbivores",64.0264932412549,56.84023812549828,73.33948569229064,"LTMP",9,"_"," ",64.25879195335234,"expanded","9.0m"
"fish","reef","One Tree Island",2023,"2022.6465753424657534","Herbivores",69.53133333096733,62.398951754692305,76.00557030538852,"LTMP",9,"_"," ",69.71599881137114,"restricted","9.0m"
"fish","reef","One Tree Island",2023,"2022.6465753424657534","Herbivores",68.69584209994616,59.776905966966304,77.149097115799,"LTMP",9,"_"," ",68.9119069117115,"expanded","9.0m"
"fish","reef","One Tree Island",2024,"2023.7342465753424657","Herbivores",72.75748049348054,66.14820135499836,80.428423208314,"LTMP",9,"_"," ",72.72123331309092,"restricted","9.0m"
"fish","reef","One Tree Island",2024,"2023.7342465753424657","Herbivores",71.43236284595238,61.8521367334953,79.3526229569773,"LTMP",9,"_"," ",71.67087032769396,"expanded","9.0m"
"fish","reef","One Tree Island",2026,"2025.8273972602739726","Herbivores",52.44607271866383,45.2390375178913,60.671219568009775,"LTMP",9,"_"," ",52.541828549669745,"restricted","9.0m"
"fish","reef","One Tree Island",2026,"2025.8273972602739726","Herbivores",56.49020236121383,47.29029345065877,66.60950332735328,"LTMP",9,"_"," ",56.72625617634775,"expanded","9.0m"
