"data_type","domain_category","domain_name","report_year","date","variable","median","lower","upper","project_code","depth","reef_zone","shelf","mean","count_group","series"
"juvenile","reef","One Tree Island","2007","2006.8684931506849315","ABUNDANCE","6.832779771880867","4.513162221782654","9.147002646357384","LTMP","9","_"," ","6.943014110190059","null","9.0m"
"juvenile","reef","One Tree Island","2009","2008.8904109589041096","ABUNDANCE","3.5993270094937357","2.55347981910637","5.029961823394401","LTMP","9","_"," ","3.6850093747866666","null","9.0m"
"juvenile","reef","One Tree Island","2011","2010.915068493150685","ABUNDANCE","4.022737273766197","2.876897984127786","5.3059105263098525","LTMP","9","_"," ","4.073985555566131","null","9.0m"
"juvenile","reef","One Tree Island","2013","2012.6465753424657534","ABUNDANCE","11.590033565972863","9.16630951184803","14.831255715669071","LTMP","9","_"," ","11.682813694491532","null","9.0m"
"juvenile","reef","One Tree Island","2015","2014.6410958904109589","ABUNDANCE","29.306233835228575","22.617988586101998","36.099475876229235","LTMP","9","_"," ","29.56254797443009","null","9.0m"
"juvenile","reef","One Tree Island","2017","2017.03287671232876712","ABUNDANCE","40.91670754641814","32.11632248105789","50.4959376683968","LTMP","9","_"," ","41.098276632788846","null","9.0m"
"juvenile","reef","One Tree Island","2019","2018.7178082191780822","ABUNDANCE","39.418661683202686","30.485005591018233","48.618826796657025","LTMP","9","_"," ","39.633705180092974","null","9.0m"
"juvenile","reef","One Tree Island","2021","2020.6410958904109589","ABUNDANCE","27.03638842770142","20.587588471795936","34.35684595802684","LTMP","9","_"," ","27.389956563173527","null","9.0m"
"juvenile","reef","One Tree Island","2022","2021.9616438356164384","ABUNDANCE","28.34651528995019","21.899530211007427","36.754903390206856","LTMP","9","_"," ","28.530680977523257","null","9.0m"
"juvenile","reef","One Tree Island","2023","2022.6465753424657534","ABUNDANCE","18.02817590422759","13.362867941671897","22.678836974119264","LTMP","9","_"," ","18.09075264720686","null","9.0m"
"juvenile","reef","One Tree Island","2024","2023.7342465753424657","ABUNDANCE","14.756897195417174","10.549711734228106","18.5560403624107","LTMP","9","_"," ","14.89095943713458","null","9.0m"
"juvenile","reef","One Tree Island","2025","2024.8465753424657534","ABUNDANCE","5.704102773553007","4.217093015531873","7.348725085390669","LTMP","9","_"," ","5.75338703414633","null","9.0m"
