"data_type","domain_category","domain_name","report_year","date","variable","median","lower","upper","project_code","depth","reef_zone","shelf","mean","count_group","series"
"photo-transect","reef","One Tree Island","1993","1992.8136986301369863","HARD CORAL","3.8273319152152605","3.039674927294569","4.7194173197181035","LTMP","9","_"," ","3.8395161091852343","null","9.0m"
"photo-transect","reef","One Tree Island","1994","1994.273972602739726","HARD CORAL","5.757700652331503","4.791173862664752","7.090021520224858","LTMP","9","_"," ","5.7877427820951715","null","9.0m"
"photo-transect","reef","One Tree Island","1995","1994.9068493150684932","HARD CORAL","8.110859068057993","6.8230272978991025","9.482997351595314","LTMP","9","_"," ","8.138282203086483","null","9.0m"
"photo-transect","reef","One Tree Island","1996","1995.9315068493150684","HARD CORAL","18.150689253848","16.68661203907292","19.914114847208385","LTMP","9","_"," ","18.17905283845923","null","9.0m"
"photo-transect","reef","One Tree Island","1997","1996.8767123287671232","HARD CORAL","28.562150097036586","26.383622572725905","30.561590602564653","LTMP","9","_"," ","28.60036451518047","null","9.0m"
"photo-transect","reef","One Tree Island","1998","1997.9315068493150684","HARD CORAL","41.1750108584488","38.90868588892372","43.62753962260712","LTMP","9","_"," ","41.271168759270246","null","9.0m"
"photo-transect","reef","One Tree Island","1999","1998.9068493150684932","HARD CORAL","55.6401568348815","53.52349102534107","58.18089378692955","LTMP","9","_"," ","55.69781171008125","null","9.0m"
"photo-transect","reef","One Tree Island","2000","1999.9260273972602739","HARD CORAL","64.29003509264872","61.88943158376499","66.59175595067133","LTMP","9","_"," ","64.27986419237429","null","9.0m"
"photo-transect","reef","One Tree Island","2001","2000.7068493150684931","HARD CORAL","66.82475227562718","64.62579337854777","69.4364121468503","LTMP","9","_"," ","66.81685862693304","null","9.0m"
"photo-transect","reef","One Tree Island","2002","2001.5917808219178082","HARD CORAL","72.66364000185034","70.65508733372225","75.16889548834115","LTMP","9","_"," ","72.67934499696378","null","9.0m"
"photo-transect","reef","One Tree Island","2003","2002.7095890410958904","HARD CORAL","76.25003107335759","74.21449959715395","78.30717111219413","LTMP","9","_"," ","76.29731775601529","null","9.0m"
"photo-transect","reef","One Tree Island","2004","2003.8301369863013699","HARD CORAL","72.30036349558033","70.33074864922455","74.3992130693911","LTMP","9","_"," ","72.34085839211068","null","9.0m"
"photo-transect","reef","One Tree Island","2005","2004.9178082191780822","HARD CORAL","65.28606353406286","63.307493600391396","67.49592822146614","LTMP","9","_"," ","65.26298705789986","null","9.0m"
"photo-transect","reef","One Tree Island","2007","2006.8684931506849315","HARD CORAL","63.81184557284725","61.694754756139695","66.01038607409629","LTMP","9","_"," ","63.78690370267809","null","9.0m"
"photo-transect","reef","One Tree Island","2009","2008.8904109589041096","HARD CORAL","21.42107389797242","19.67799070908156","23.011915636453963","LTMP","9","_"," ","21.435543363811117","null","9.0m"
"photo-transect","reef","One Tree Island","2011","2010.915068493150685","HARD CORAL","2.4100743338063593","1.8972452518862344","2.9887933759428797","LTMP","9","_"," ","2.419334495349777","null","9.0m"
"photo-transect","reef","One Tree Island","2013","2012.6465753424657534","HARD CORAL","4.249756651698831","3.581313292236003","5.152868015720775","LTMP","9","_"," ","4.262099926766012","null","9.0m"
"photo-transect","reef","One Tree Island","2015","2014.6410958904109589","HARD CORAL","17.097349321125","15.319684426397384","18.635797077054207","LTMP","9","_"," ","17.12061732652775","null","9.0m"
"photo-transect","reef","One Tree Island","2017","2017.03287671232876712","HARD CORAL","41.36645418305618","39.0822584130882","43.76053370766954","LTMP","9","_"," ","41.386957376515966","null","9.0m"
"photo-transect","reef","One Tree Island","2019","2018.7178082191780822","HARD CORAL","58.096635642673476","55.92164075497735","60.68486060005836","LTMP","9","_"," ","58.134412057398386","null","9.0m"
"photo-transect","reef","One Tree Island","2021","2020.6410958904109589","HARD CORAL","66.17789927465851","63.740316290881495","68.61616344535004","LTMP","9","_"," ","66.22210366031392","null","9.0m"
"photo-transect","reef","One Tree Island","2022","2021.9616438356164384","HARD CORAL","68.10693878695156","65.61331648102237","70.35734424676313","LTMP","9","_"," ","68.10299104211407","null","9.0m"
"photo-transect","reef","One Tree Island","2023","2022.6465753424657534","HARD CORAL","61.30513378483192","59.063504118093654","63.91356073222947","LTMP","9","_"," ","61.344208088898135","null","9.0m"
"photo-transect","reef","One Tree Island","2024","2023.7342465753424657","HARD CORAL","65.0583887030627","62.789711964234826","67.45212787548839","LTMP","9","_"," ","65.07881372274234","null","9.0m"
"photo-transect","reef","One Tree Island","2025","2024.8465753424657534","HARD CORAL","19.179387833712497","17.469222837258112","20.683632420664473","LTMP","9","_"," ","19.17891489677709","null","9.0m"
