data_type,domain_category,domain_name,report_year,date,variable,median,lower,upper,project_code,depth,reef_zone,shelf,mean,count_group,series
"fish","reef","Opal Reef",1995,"1995.27123287671232876","Herbivores",43.40925982904122,38.20832094251001,48.83991662822089,"LTMP",9,"_"," ",43.44131299373699,"restricted","9.0m"
"fish","reef","Opal Reef",1996,"1996.03287671232876712","Herbivores",45.90093971455698,40.59015404856618,51.07272758481454,"LTMP",9,"_"," ",46.002842083003166,"restricted","9.0m"
"fish","reef","Opal Reef",1997,"1997.0684931506849315","Herbivores",34.99306628384362,31.031199832091318,39.672144894440805,"LTMP",9,"_"," ",35.081552941194445,"restricted","9.0m"
"fish","reef","Opal Reef",1998,"1998.06575342465753424","Herbivores",34.045126687591875,29.657454955799217,38.476628823070605,"LTMP",9,"_"," ",34.11083889840285,"restricted","9.0m"
"fish","reef","Opal Reef",1999,"1999.0821917808219178","Herbivores",47.12369968964421,40.96452519628862,52.105817392392055,"LTMP",9,"_"," ",47.13301285783921,"restricted","9.0m"
"fish","reef","Opal Reef",2000,"2000.057534246575342465","Herbivores",46.8747404144023,41.54051627511834,52.60049226399018,"LTMP",9,"_"," ",46.880507572835434,"restricted","9.0m"
"fish","reef","Opal Reef",2001,"2001.07123287671232877","Herbivores",39.05040812023651,34.14208769028908,43.678602024724825,"LTMP",9,"_"," ",39.139748937392035,"restricted","9.0m"
"fish","reef","Opal Reef",2002,"2001.7068493150684931","Herbivores",42.41847933719373,37.73009546615678,47.502733800403206,"LTMP",9,"_"," ",42.57930831808694,"restricted","9.0m"
"fish","reef","Opal Reef",2003,"2002.8438356164383561","Herbivores",45.95199400269749,41.02978158620467,51.8858777343074,"LTMP",9,"_"," ",46.10439198130797,"restricted","9.0m"
"fish","reef","Opal Reef",2004,"2004.00821917808219178","Herbivores",45.40917084513356,40.20781078884073,50.99647353989982,"LTMP",9,"_"," ",45.51723292244196,"restricted","9.0m"
"fish","reef","Opal Reef",2005,"2005.052054794520547946","Herbivores",53.53403413931434,47.841250027749524,59.76473650982312,"LTMP",9,"_"," ",53.5934810100885,"restricted","9.0m"
"fish","reef","Opal Reef",2007,"2007.01643835616438356","Herbivores",53.77115669553474,47.71875569492696,59.61940670032563,"LTMP",9,"_"," ",53.83585405752904,"restricted","9.0m"
"fish","reef","Opal Reef",2009,"2009.1095890410958904","Herbivores",44.78979160358693,39.87186325553867,50.64861895931273,"LTMP",9,"_"," ",44.97186389743315,"restricted","9.0m"
"fish","reef","Opal Reef",2011,"2011.06575342465753424","Herbivores",39.95337016840897,35.32915906340155,44.71441589807266,"LTMP",9,"_"," ",40.02152367405889,"restricted","9.0m"
"fish","reef","Opal Reef",2013,"2013.00821917808219178","Herbivores",71.13497540641106,64.13347485882764,79.2558340462631,"LTMP",9,"_"," ",71.15298190469834,"restricted","9.0m"
"fish","reef","Opal Reef",2015,"2015.3232876712328767","Herbivores",53.86534150344771,48.34614031629555,60.44129352030844,"LTMP",9,"_"," ",53.90490834723619,"restricted","9.0m"
"fish","reef","Opal Reef",2017,"2016.7013698630136986","Herbivores",48.50588962097768,43.013534955969085,53.914746106863575,"LTMP",9,"_"," ",48.608879901239064,"restricted","9.0m"
"fish","reef","Opal Reef",2019,"2019.1232876712328767","Herbivores",99.03779379199958,89.60877539387519,109.93374031542477,"LTMP",9,"_"," ",99.24179888554114,"restricted","9.0m"
"fish","reef","Opal Reef",2021,"2021.0273972602739726","Herbivores",71.05734128718076,63.48815928124419,78.9168094459225,"LTMP",9,"_"," ",71.09341056244497,"restricted","9.0m"
