data_type,domain_category,domain_name,report_year,date,variable,median,lower,upper,project_code,depth,reef_zone,shelf,mean,count_group,series
"fish","reef","Opal Reef",1995,"1995.27123287671232876","Large fishes",40.557463056132036,35.77899762488801,46.212853128181585,"LTMP",9,"_"," ",40.68234589180601,"restricted","9.0m"
"fish","reef","Opal Reef",1996,"1996.03287671232876712","Large fishes",51.155537834583924,44.970288568103264,59.10164592063591,"LTMP",9,"_"," ",51.31953505414955,"restricted","9.0m"
"fish","reef","Opal Reef",1997,"1997.0684931506849315","Large fishes",32.30936834827116,27.671833327078037,36.82901127678396,"LTMP",9,"_"," ",32.412809056328086,"restricted","9.0m"
"fish","reef","Opal Reef",1998,"1998.06575342465753424","Large fishes",34.21345128757812,29.709162969745446,39.27236908802958,"LTMP",9,"_"," ",34.26360572343348,"restricted","9.0m"
"fish","reef","Opal Reef",1999,"1999.0821917808219178","Large fishes",37.706883796156596,33.23358410944431,43.493759432408666,"LTMP",9,"_"," ",37.83063784211084,"restricted","9.0m"
"fish","reef","Opal Reef",2000,"2000.057534246575342465","Large fishes",40.53056476717299,35.37075883100281,46.14619574378273,"LTMP",9,"_"," ",40.576876313126185,"restricted","9.0m"
"fish","reef","Opal Reef",2001,"2001.07123287671232877","Large fishes",43.53389441558242,37.96631690414943,49.33283178942606,"LTMP",9,"_"," ",43.57797248589899,"restricted","9.0m"
"fish","reef","Opal Reef",2002,"2001.7068493150684931","Large fishes",40.559405135634464,35.88352494570321,46.021270996423176,"LTMP",9,"_"," ",40.66892735473617,"restricted","9.0m"
"fish","reef","Opal Reef",2003,"2002.8438356164383561","Large fishes",41.91349096141752,36.67537752568467,47.13902500766267,"LTMP",9,"_"," ",42.03499559674895,"restricted","9.0m"
"fish","reef","Opal Reef",2004,"2004.00821917808219178","Large fishes",50.21753398422011,44.20161228843815,57.33035333170089,"LTMP",9,"_"," ",50.40868933870537,"restricted","9.0m"
"fish","reef","Opal Reef",2005,"2005.052054794520547946","Large fishes",49.0901073069902,43.546373840659555,55.84526075834108,"LTMP",9,"_"," ",49.217279871262754,"restricted","9.0m"
"fish","reef","Opal Reef",2007,"2007.01643835616438356","Large fishes",52.44393585131844,46.046252544070626,59.44015489605731,"LTMP",9,"_"," ",52.642232905138904,"restricted","9.0m"
"fish","reef","Opal Reef",2009,"2009.1095890410958904","Large fishes",42.27782187134204,36.77220814421451,48.01119246574254,"LTMP",9,"_"," ",42.42582922697956,"restricted","9.0m"
"fish","reef","Opal Reef",2011,"2011.06575342465753424","Large fishes",41.11523991275551,35.67657929097907,47.02536384599864,"LTMP",9,"_"," ",41.24654921194172,"restricted","9.0m"
"fish","reef","Opal Reef",2013,"2013.00821917808219178","Large fishes",65.8103429103036,59.18185367955761,74.41330562267663,"LTMP",9,"_"," ",65.9400116504917,"restricted","9.0m"
"fish","reef","Opal Reef",2015,"2015.3232876712328767","Large fishes",52.52483001261254,45.948091853625115,58.51420501735434,"LTMP",9,"_"," ",52.5026481403777,"restricted","9.0m"
"fish","reef","Opal Reef",2017,"2016.7013698630136986","Large fishes",42.28030790375904,36.51385548445235,49.1330183541098,"LTMP",9,"_"," ",42.55974432321645,"restricted","9.0m"
"fish","reef","Opal Reef",2019,"2019.1232876712328767","Large fishes",95.06168591355204,84.38223026389525,105.81146571969914,"LTMP",9,"_"," ",95.22788389777276,"restricted","9.0m"
"fish","reef","Opal Reef",2021,"2021.0273972602739726","Large fishes",61.07445311807248,54.40447208266971,68.82796384493882,"LTMP",9,"_"," ",61.305638000087676,"restricted","9.0m"
