a_sector,nrm_region,domain_name,year,survey_date,variable,tows,cots,cotsptow
"CA","Wet Tropics","Opal Reef",1986,"1986.00821917808219178","COTS",64,0,"0.00"
"CA","Wet Tropics","Opal Reef",1990,"1990.0410958904109589","COTS",83,0,"0.00"
"CA","Wet Tropics","Opal Reef",1992,"1992.09315068493150686","COTS",63,0,"0.00"
"CA","Wet Tropics","Opal Reef",1995,"1995.27123287671232876","COTS",70,0,"0.00"
"CA","Wet Tropics","Opal Reef",1996,"1996.03287671232876712","COTS",73,0,"0.00"
"CA","Wet Tropics","Opal Reef",1997,"1997.06575342465753424","COTS",83,1,"0.01"
"CA","Wet Tropics","Opal Reef",1998,"1998.06301369863013699","COTS",68,0,"0.00"
"CA","Wet Tropics","Opal Reef",1999,"1999.0821917808219178","COTS",66,0,"0.00"
"CA","Wet Tropics","Opal Reef",2000,"2000.057534246575342465","COTS",70,140,"2.00"
"CA","Wet Tropics","Opal Reef",2001,"2001.07123287671232877","COTS",68,6,"0.09"
"CA","Wet Tropics","Opal Reef",2002,"2001.7068493150684931","COTS",66,12,"0.18"
"CA","Wet Tropics","Opal Reef",2003,"2002.8438356164383561","COTS",62,0,"0.00"
"CA","Wet Tropics","Opal Reef",2004,"2004.00821917808219178","COTS",65,0,"0.00"
"CA","Wet Tropics","Opal Reef",2005,"2005.0547945205479452","COTS",77,0,"0.00"
"CA","Wet Tropics","Opal Reef",2006,"2005.8958904109589041","COTS",82,0,"0.00"
"CA","Wet Tropics","Opal Reef",2007,"2007.01643835616438356","COTS",68,0,"0.00"
"CA","Wet Tropics","Opal Reef",2009,"2009.1095890410958904","COTS",68,0,"0.00"
"CA","Wet Tropics","Opal Reef",2011,"2011.06575342465753424","COTS",67,0,"0.00"
"CA","Wet Tropics","Opal Reef",2013,"2013.00821917808219178","COTS",65,0,"0.00"
"CA","Wet Tropics","Opal Reef",2015,"2015.1780821917808219","COTS",65,0,"0.00"
"CA","Wet Tropics","Opal Reef",2017,"2016.7041095890410959","COTS",74,0,"0.00"
"CA","Wet Tropics","Opal Reef",2019,"2019.12602739726027398","COTS",75,0,"0.00"
"CA","Wet Tropics","Opal Reef",2021,"2021.030136986301369864","COTS",78,0,"0.00"
"CA","Wet Tropics","Opal Reef",2024,"2023.6684931506849315","COTS",73,0,"0.00"
