data_type,domain_category,domain_name,report_year,date,variable,median,lower,upper,project_code,depth,reef_zone,shelf,mean,count_group,series
"fish","reef","Peart Reef",2006,"2005.915068493150685","Herbivores",36.45910195125454,32.49608239240153,41.11992493479326,"LTMP",9,"_"," ",36.54496051292989,"restricted","9.0m"
"fish","reef","Peart Reef",2008,"2007.6273972602739726","Herbivores",42.898195425690865,38.36523894759195,47.80803591024421,"LTMP",9,"_"," ",42.901288428827165,"restricted","9.0m"
"fish","reef","Peart Reef",2010,"2010.2684931506849315","Herbivores",34.313181470986635,30.256128295446306,38.26251643373655,"LTMP",9,"_"," ",34.269916455311964,"restricted","9.0m"
"fish","reef","Peart Reef",2012,"2012.15616438356164383","Herbivores",36.41040122877814,32.56711422424675,40.52561868408106,"LTMP",9,"_"," ",36.52460142553286,"restricted","9.0m"
"fish","reef","Peart Reef",2014,"2014.21643835616438356","Herbivores",39.71435329250489,34.943748820717055,43.99655999135029,"LTMP",9,"_"," ",39.71230700611085,"restricted","9.0m"
"fish","reef","Peart Reef",2016,"2015.9506849315068493","Herbivores",34.069571923309226,30.32356796511232,38.71254340439847,"LTMP",9,"_"," ",34.24394166476792,"restricted","9.0m"
"fish","reef","Peart Reef",2018,"2018.13424657534246576","Herbivores",35.93550538430827,31.656666824776703,40.511626682647794,"LTMP",9,"_"," ",35.939163903169046,"restricted","9.0m"
"fish","reef","Peart Reef",2020,"2020.13972602739726028","Herbivores",31.293919113374677,27.309832829078726,34.891216457869824,"LTMP",9,"_"," ",31.294646971543365,"restricted","9.0m"
"fish","reef","Peart Reef",2022,"2022.3178082191780822","Herbivores",34.340994699074514,30.804778733015727,38.80496459243965,"LTMP",9,"_"," ",34.42770151434415,"restricted","9.0m"
"fish","reef","Peart Reef",2022,"2022.3178082191780822","Herbivores",34.07722113584748,29.765916843514297,38.70284875316142,"LTMP",9,"_"," ",34.23581846471572,"expanded","9.0m"
"fish","reef","Peart Reef",2023,"2023.1780821917808219","Herbivores",38.56530877655328,34.31000986530375,43.591016405293814,"LTMP",9,"_"," ",38.66026192591133,"restricted","9.0m"
"fish","reef","Peart Reef",2023,"2023.1780821917808219","Herbivores",38.46657643595654,33.206674625456344,42.99684777872153,"LTMP",9,"_"," ",38.442661701959665,"expanded","9.0m"
"fish","reef","Peart Reef",2024,"2023.6876712328767123","Herbivores",38.69136290806111,34.299270450093154,43.10948211173211,"LTMP",9,"_"," ",38.6953761283342,"restricted","9.0m"
"fish","reef","Peart Reef",2024,"2023.6876712328767123","Herbivores",38.32385460284041,33.58577150435177,43.38436681810267,"LTMP",9,"_"," ",38.382664955147106,"expanded","9.0m"
"fish","reef","Peart Reef",2025,"2024.6547945205479452","Herbivores",55.423452547118956,50.118599745704444,61.70972742058303,"LTMP",9,"_"," ",55.519013111699714,"restricted","9.0m"
"fish","reef","Peart Reef",2025,"2024.6547945205479452","Herbivores",55.052521635931235,48.352530203579505,61.988171236682646,"LTMP",9,"_"," ",55.100034522786196,"expanded","9.0m"
