data_type,domain_category,domain_name,report_year,date,variable,median,lower,upper,project_code,depth,reef_zone,shelf,mean,count_group,series
"fish","reef","Pompey Reef No.1",2006,"2006.5041095890410959","Small fishes",165.1952005458321,143.21673923483428,191.78135187957216,"LTMP",9,"_"," ",165.47486188925552,"restricted","9.0m"
"fish","reef","Pompey Reef No.1",2008,"2008.4465753424657534","Small fishes",339.4904790473036,295.75420329313266,390.8038916237452,"LTMP",9,"_"," ",339.9054678041674,"restricted","9.0m"
"fish","reef","Pompey Reef No.1",2010,"2010.14246575342465753","Small fishes",392.40932163940886,342.7818639507088,450.48439979470936,"LTMP",9,"_"," ",392.97702319719576,"restricted","9.0m"
"fish","reef","Pompey Reef No.1",2012,"2011.873972602739726","Small fishes",373.8155727952401,323.9195505489743,425.5058412115916,"LTMP",9,"_"," ",374.0293994726649,"restricted","9.0m"
"fish","reef","Pompey Reef No.1",2014,"2014.29315068493150687","Small fishes",336.07220591980257,292.1303621557358,386.49717477229296,"LTMP",9,"_"," ",336.7453826581431,"restricted","9.0m"
"fish","reef","Pompey Reef No.1",2016,"2016.19726027397260273","Small fishes",176.12947774242184,151.39387037299386,201.19667413788505,"LTMP",9,"_"," ",176.44397984919124,"restricted","9.0m"
"fish","reef","Pompey Reef No.1",2018,"2018.2191780821917808","Small fishes",252.69625497849773,220.33607990561492,290.6060572820417,"LTMP",9,"_"," ",253.5726866297715,"restricted","9.0m"
"fish","reef","Pompey Reef No.1",2020,"2019.726027397260274","Small fishes",155.61559864992716,133.88367712265534,179.4451634321158,"LTMP",9,"_"," ",156.0127824457754,"restricted","9.0m"
"fish","reef","Pompey Reef No.1",2022,"2022.049315068493150684","Small fishes",223.61155952299393,191.02753053296726,255.85255150229216,"LTMP",9,"_"," ",224.4576009736269,"restricted","9.0m"
"fish","reef","Pompey Reef No.1",2022,"2022.049315068493150684","Small fishes",262.9579747562667,221.04062000004654,300.1851198946574,"LTMP",9,"_"," ",263.91750936128744,"expanded","9.0m"
"fish","reef","Pompey Reef No.1",2023,"2023.11506849315068493","Small fishes",579.8329420940088,510.5832343709876,671.3638285016989,"LTMP",9,"_"," ",580.6513846546837,"restricted","9.0m"
"fish","reef","Pompey Reef No.1",2023,"2023.11506849315068493","Small fishes",603.6142194662011,527.1024771798352,715.0960549958237,"LTMP",9,"_"," ",606.9809629134426,"expanded","9.0m"
"fish","reef","Pompey Reef No.1",2024,"2024.22465753424657534","Small fishes",583.623976916356,512.9204416123154,672.8207996218674,"LTMP",9,"_"," ",584.2308450695562,"restricted","9.0m"
"fish","reef","Pompey Reef No.1",2024,"2024.22465753424657534","Small fishes",614.4276837261255,530.2074114840408,709.2018627734112,"LTMP",9,"_"," ",616.2704731465824,"expanded","9.0m"
"fish","reef","Pompey Reef No.1",2025,"2025.043835616438356165","Small fishes",612.2148053416336,534.2167218634532,706.1946295356846,"LTMP",9,"_"," ",613.585515747809,"restricted","9.0m"
"fish","reef","Pompey Reef No.1",2025,"2025.043835616438356165","Small fishes",638.1019710949522,548.7244982359884,737.0746838599913,"LTMP",9,"_"," ",640.3548922112003,"expanded","9.0m"
"fish","reef","Pompey Reef No.1",2026,"2026.09041095890410959","Small fishes",452.917158836133,394.1518454564816,520.0273070012934,"LTMP",9,"_"," ",454.06480367403447,"restricted","9.0m"
"fish","reef","Pompey Reef No.1",2026,"2026.09041095890410959","Small fishes",491.65587457979325,417.90720112815484,560.5191794510406,"LTMP",9,"_"," ",492.81874064605313,"expanded","9.0m"
