"data_type","domain_category","domain_name","report_year","date","variable","median","lower","upper","project_code","depth","reef_zone","shelf","mean","count_group","series"
"photo-transect","reef","Pompey Reef No.1","2006","2006.5041095890410959","SOFT CORAL","1.992255958421648","1.2310994664152375","2.9113997731013805","LTMP","9","_"," ","2.044218481604684","null","9.0m"
"photo-transect","reef","Pompey Reef No.1","2008","2008.4465753424657534","SOFT CORAL","2.8740069574973064","1.9549849238234125","4.152015054068982","LTMP","9","_"," ","2.95171629462656","null","9.0m"
"photo-transect","reef","Pompey Reef No.1","2010","2010.14246575342465753","SOFT CORAL","2.6652084732741237","1.742151085131096","3.881647273615246","LTMP","9","_"," ","2.73060547123078","null","9.0m"
"photo-transect","reef","Pompey Reef No.1","2012","2011.873972602739726","SOFT CORAL","3.0740074233397996","2.0626957756084288","4.343012512348248","LTMP","9","_"," ","3.1290864318056464","null","9.0m"
"photo-transect","reef","Pompey Reef No.1","2014","2014.29315068493150687","SOFT CORAL","2.855920874679374","1.8860041084997015","4.055344312773089","LTMP","9","_"," ","2.909686622186164","null","9.0m"
"photo-transect","reef","Pompey Reef No.1","2016","2016.19726027397260273","SOFT CORAL","3.9919952574033193","2.7891937332183954","5.574196347536696","LTMP","9","_"," ","4.062229055443429","null","9.0m"
"photo-transect","reef","Pompey Reef No.1","2018","2018.2191780821917808","SOFT CORAL","0.9963518068978536","0.5376529941452834","1.6305138865825093","LTMP","9","_"," ","1.0334258906698701","null","9.0m"
"photo-transect","reef","Pompey Reef No.1","2020","2019.726027397260274","SOFT CORAL","1.6681800566851999","1.053330493226971","2.4629003399463767","LTMP","9","_"," ","1.7054256448177263","null","9.0m"
"photo-transect","reef","Pompey Reef No.1","2023","2023.11506849315068493","SOFT CORAL","2.359752072992972","1.5108783739965725","3.424295323092298","LTMP","9","_"," ","2.414911401223823","null","9.0m"
"photo-transect","reef","Pompey Reef No.1","2024","2024.22465753424657534","SOFT CORAL","1.6357153182776265","0.9561203386347086","2.3946361876514053","LTMP","9","_"," ","1.672731046733436","null","9.0m"
"photo-transect","reef","Pompey Reef No.1","2025","2025.043835616438356165","SOFT CORAL","1.7683572777998608","1.1047171775879483","2.702789895826658","LTMP","9","_"," ","1.8176015229303448","null","9.0m"
