data_type,domain_category,domain_name,report_year,date,variable,median,lower,upper,project_code,depth,reef_zone,shelf,mean,count_group,series
"fish","reef","Rebe Reef",1995,"1995.09863013698630137","Herbivores",29.954655324915798,26.29061573910601,34.37750847823833,"LTMP",9,"_"," ",30.050299740754713,"restricted","9.0m"
"fish","reef","Rebe Reef",1996,"1996.12054794520547946","Herbivores",53.69048060326243,47.88785424732517,60.231240568156764,"LTMP",9,"_"," ",53.846702894393744,"restricted","9.0m"
"fish","reef","Rebe Reef",1997,"1997.3013698630136986","Herbivores",47.737592772000056,42.09251511487028,53.39441290078403,"LTMP",9,"_"," ",47.75033110313561,"restricted","9.0m"
"fish","reef","Rebe Reef",1998,"1998.14246575342465753","Herbivores",31.60162073184935,27.157930998713617,35.78351640890009,"LTMP",9,"_"," ",31.73010788108769,"restricted","9.0m"
"fish","reef","Rebe Reef",1999,"1999.16986301369863013","Herbivores",43.94609008427313,38.779395114875676,49.40885466022465,"LTMP",9,"_"," ",44.02578474913453,"restricted","9.0m"
"fish","reef","Rebe Reef",2000,"2000.19726027397260273","Herbivores",39.178457411377735,34.18681306508644,44.22438785044297,"LTMP",9,"_"," ",39.233362402906266,"restricted","9.0m"
"fish","reef","Rebe Reef",2001,"2001.22465753424657534","Herbivores",39.384974225278555,34.49111143271898,44.668588370456085,"LTMP",9,"_"," ",39.3542542700454,"restricted","9.0m"
"fish","reef","Rebe Reef",2002,"2001.8465753424657534","Herbivores",32.73474416216452,28.257217634673122,37.14850093982333,"LTMP",9,"_"," ",32.78370094967743,"restricted","9.0m"
"fish","reef","Rebe Reef",2003,"2002.9068493150684932","Herbivores",39.68659388885263,34.82943277512473,44.99114053996484,"LTMP",9,"_"," ",39.687004893584756,"restricted","9.0m"
"fish","reef","Rebe Reef",2004,"2004.1589041095890411","Herbivores",34.23793638653373,29.929844455845803,39.48220999877776,"LTMP",9,"_"," ",34.206690655511906,"restricted","9.0m"
"fish","reef","Rebe Reef",2005,"2005.21095890410958903","Herbivores",37.471018236775365,32.6747327643936,41.91479570568475,"LTMP",9,"_"," ",37.43712026067973,"restricted","9.0m"
"fish","reef","Rebe Reef",2007,"2007.22465753424657534","Herbivores",42.87809455113895,37.36998049217427,47.74949706985167,"LTMP",9,"_"," ",42.85706420258898,"restricted","9.0m"
"fish","reef","Rebe Reef",2009,"2009.25753424657534246","Herbivores",64.29597908304572,57.405016227287874,72.31874409766655,"LTMP",9,"_"," ",64.30878953739189,"restricted","9.0m"
"fish","reef","Rebe Reef",2011,"2011.20821917808219179","Herbivores",74.57755793514389,66.83488665542265,82.79088671794948,"LTMP",9,"_"," ",74.46508871156544,"restricted","9.0m"
"fish","reef","Rebe Reef",2013,"2013.28493150684931506","Herbivores",81.6539709408041,72.28061605207628,90.10478047429373,"LTMP",9,"_"," ",81.56727794080834,"restricted","9.0m"
"fish","reef","Rebe Reef",2015,"2015.038356164383561646","Herbivores",87.4153601960645,77.85334401590164,96.64335030112001,"LTMP",9,"_"," ",87.26812255849016,"restricted","9.0m"
"fish","reef","Rebe Reef",2017,"2017.13972602739726028","Herbivores",108.43043604354773,97.43847340766355,120.86271221847687,"LTMP",9,"_"," ",108.39166121189793,"restricted","9.0m"
"fish","reef","Rebe Reef",2019,"2019.3150684931506849","Herbivores",106.46808229875448,96.2834520119459,118.79326909302074,"LTMP",9,"_"," ",106.69680632873013,"restricted","9.0m"
"fish","reef","Rebe Reef",2021,"2021.10136986301369863","Herbivores",60.56926014906493,53.712026379300525,67.45034110463143,"LTMP",9,"_"," ",60.496940415589144,"restricted","9.0m"
"fish","reef","Rebe Reef",2022,"2022.14794520547945206","Herbivores",79.8936472095179,71.71645736285235,88.88031159492688,"LTMP",9,"_"," ",79.97041822861249,"restricted","9.0m"
"fish","reef","Rebe Reef",2022,"2022.14794520547945206","Herbivores",75.9239829357543,46.69278901083863,110.66032278172439,"LTMP",9,"_"," ",77.89673126655701,"expanded","9.0m"
"fish","reef","Rebe Reef",2023,"2023.08493150684931507","Herbivores",49.827158447151845,44.089553577041606,55.817878945409106,"LTMP",9,"_"," ",49.91456788600776,"restricted","9.0m"
"fish","reef","Rebe Reef",2023,"2023.08493150684931507","Herbivores",46.82920089484397,29.760876060473386,70.62902368925748,"LTMP",9,"_"," ",48.10132976926026,"expanded","9.0m"
"fish","reef","Rebe Reef",2025,"2025.052054794520547946","Herbivores",48.902210795185184,42.67025975477867,55.2039817784819,"LTMP",9,"_"," ",49.01947973930071,"restricted","9.0m"
"fish","reef","Rebe Reef",2025,"2025.052054794520547946","Herbivores",45.13444339713239,27.63558950839862,68.03276341340653,"LTMP",9,"_"," ",46.428640629484704,"expanded","9.0m"
