"data_type","domain_category","domain_name","report_year","date","variable","median","lower","upper","project_code","depth","reef_zone","shelf","mean","count_group","series"
"photo-transect","reef","Rebe Reef","1994","1994.26301369863013696","ALGAE","40.73101797702501","33.11159926820748","47.944825678554196","LTMP","9","_"," ","40.70442721152235","null","9.0m"
"photo-transect","reef","Rebe Reef","1995","1995.09863013698630137","ALGAE","37.55113624421691","30.09845452577604","44.23036383401314","LTMP","9","_"," ","37.717515425540796","null","9.0m"
"photo-transect","reef","Rebe Reef","1996","1996.12054794520547946","ALGAE","33.55734737588237","27.317041338211638","40.13538617958558","LTMP","9","_"," ","33.691507340035734","null","9.0m"
"photo-transect","reef","Rebe Reef","1997","1997.3013698630136986","ALGAE","34.32202398224584","28.05248649411188","41.12311290326013","LTMP","9","_"," ","34.2591478390044","null","9.0m"
"photo-transect","reef","Rebe Reef","1998","1998.14520547945205478","ALGAE","28.342766741109543","22.501855153138877","34.39151964291091","LTMP","9","_"," ","28.40446408238485","null","9.0m"
"photo-transect","reef","Rebe Reef","1999","1999.16986301369863013","ALGAE","22.44158441959344","17.79710125114392","28.402971377819323","LTMP","9","_"," ","22.565488588833677","null","9.0m"
"photo-transect","reef","Rebe Reef","2000","2000.19726027397260273","ALGAE","22.15109459867665","17.275648184248652","27.79035561108609","LTMP","9","_"," ","22.298682306494957","null","9.0m"
"photo-transect","reef","Rebe Reef","2001","2001.22465753424657534","ALGAE","23.523724896623648","18.86112742588795","29.08601535779628","LTMP","9","_"," ","23.6111740843835","null","9.0m"
"photo-transect","reef","Rebe Reef","2002","2001.8465753424657534","ALGAE","23.058672035115098","17.948719770545875","28.777778549843173","LTMP","9","_"," ","23.229107716190608","null","9.0m"
"photo-transect","reef","Rebe Reef","2003","2002.9068493150684932","ALGAE","24.147808741316773","18.89949699223083","29.977531667455757","LTMP","9","_"," ","24.366047555002226","null","9.0m"
"photo-transect","reef","Rebe Reef","2004","2004.1589041095890411","ALGAE","21.415605076947525","16.79306553547888","26.45589505386311","LTMP","9","_"," ","21.65154580853607","null","9.0m"
"photo-transect","reef","Rebe Reef","2005","2005.21095890410958903","ALGAE","20.017643623756893","15.420288783233907","25.018844501619885","LTMP","9","_"," ","20.12550037662191","null","9.0m"
"photo-transect","reef","Rebe Reef","2007","2007.22465753424657534","ALGAE","32.267435391626904","25.870071230894865","38.500041723842024","LTMP","9","_"," ","32.3581954187188","null","9.0m"
"photo-transect","reef","Rebe Reef","2009","2009.25753424657534246","ALGAE","74.85292199935458","66.75217578440885","82.23523126507548","LTMP","9","_"," ","74.8414648031007","null","9.0m"
"photo-transect","reef","Rebe Reef","2011","2011.20821917808219179","ALGAE","91.15970332753975","85.56658113169284","96.859292858527","LTMP","9","_"," ","91.07727564832774","null","9.0m"
"photo-transect","reef","Rebe Reef","2013","2013.28493150684931506","ALGAE","94.03430220052675","84.49804520494048","100","LTMP","9","_"," ","94.27333564284437","null","9.0m"
"photo-transect","reef","Rebe Reef","2015","2015.038356164383561646","ALGAE","90.37382604485347","80.74993759789274","99.75372747651026","LTMP","9","_"," ","90.34588283308194","null","9.0m"
"photo-transect","reef","Rebe Reef","2017","2017.13972602739726028","ALGAE","81.47145405294796","73.63457038841663","91.43973333596183","LTMP","9","_"," ","81.57628647968632","null","9.0m"
"photo-transect","reef","Rebe Reef","2019","2019.3150684931506849","ALGAE","69.53393069948117","59.586131331910316","78.57373053697567","LTMP","9","_"," ","69.55862302686234","null","9.0m"
"photo-transect","reef","Rebe Reef","2021","2021.10136986301369863","ALGAE","52.6816673573499","44.384158978304455","61.08218561493533","LTMP","9","_"," ","52.70271105494126","null","9.0m"
"photo-transect","reef","Rebe Reef","2022","2022.14794520547945206","ALGAE","44.84150318208479","37.29124891801772","52.63405843268366","LTMP","9","_"," ","45.09816857142311","null","9.0m"
"photo-transect","reef","Rebe Reef","2023","2023.08493150684931507","ALGAE","45.824933111122256","38.661622649631546","53.58122061774922","LTMP","9","_"," ","45.90583231349919","null","9.0m"
"photo-transect","reef","Rebe Reef","2025","2025.052054794520547946","ALGAE","64.40236063474268","54.87909536495956","72.24605979150274","LTMP","9","_"," ","64.2721211582035","null","9.0m"
