data_type,domain_category,domain_name,report_year,date,variable,median,lower,upper,project_code,depth,reef_zone,shelf,mean,count_group,series
"fish","reef","Reef 11-049",2019,"2019.07123287671232877","Herbivores",61.70781653383075,47.007667088048336,78.30405505628609,"LTMP",9,"_"," ",62.202827963362665,"restricted","9.0m"
"fish","reef","Reef 11-049",2020,"2019.9287671232876712","Herbivores",27.184560362498356,19.845085278324373,34.583271557626674,"LTMP",9,"_"," ",27.408949436723006,"restricted","9.0m"
"fish","reef","Reef 11-049",2021,"2020.9424657534246575","Herbivores",62.89258070023601,45.55040451502584,78.02151913878112,"LTMP",9,"_"," ",63.300212096315406,"restricted","9.0m"
"fish","reef","Reef 11-049",2022,"2021.7972602739726027","Herbivores",47.932894916502065,36.27012566569285,60.665146702119024,"LTMP",9,"_"," ",48.409434664960315,"restricted","9.0m"
"fish","reef","Reef 11-049",2022,"2021.7972602739726027","Herbivores",47.65909771292323,39.35108525664332,56.520762518639735,"LTMP",9,"_"," ",47.7515961943285,"expanded","9.0m"
"fish","reef","Reef 11-049",2023,"2022.9260273972602739","Herbivores",64.71117872486974,48.24747699216572,81.31721975242081,"LTMP",9,"_"," ",65.41809287070218,"restricted","9.0m"
"fish","reef","Reef 11-049",2023,"2022.9260273972602739","Herbivores",65.62362286400042,54.91669652169546,77.72441264127441,"LTMP",9,"_"," ",65.78286123236505,"expanded","9.0m"
"fish","reef","Reef 11-049",2024,"2023.9068493150684932","Herbivores",42.249251696864334,31.31043186500074,53.861308783562265,"LTMP",9,"_"," ",42.62801971497706,"restricted","9.0m"
"fish","reef","Reef 11-049",2024,"2023.9068493150684932","Herbivores",42.89346202048277,34.95195409551755,50.982216112546254,"LTMP",9,"_"," ",43.039469017457485,"expanded","9.0m"
"fish","reef","Reef 11-049",2025,"2024.9506849315068493","Herbivores",68.77024349558468,49.815944464351155,84.73023544236017,"LTMP",9,"_"," ",69.05821833405517,"restricted","9.0m"
"fish","reef","Reef 11-049",2025,"2024.9506849315068493","Herbivores",68.01797980342108,56.57229945270301,80.62199867706201,"LTMP",9,"_"," ",68.11196619164376,"expanded","9.0m"
"fish","reef","Reef 11-049",2026,"2025.9561643835616438","Herbivores",69.59516230666893,51.83056703987348,87.31058008988481,"LTMP",9,"_"," ",70.03943664201907,"restricted","9.0m"
"fish","reef","Reef 11-049",2026,"2025.9561643835616438","Herbivores",69.50214206527735,57.86115155167797,81.39772016976045,"LTMP",9,"_"," ",69.64388522620023,"expanded","9.0m"
