data_type,domain_category,domain_name,report_year,date,variable,median,lower,upper,project_code,depth,reef_zone,shelf,mean,count_group,series,color
"manta","reef","Reef 21-060",2006,"2006.5068493150684932","HC",44.78050147248912,37.554925251876284,52.10073100829782,"LTMP",9,"_","Various",44.79262189210412,"null","9.0m",""
"manta","reef","Reef 21-060",2010,"2010.14794520547945206","HC",12.311829641885469,8.741985783526676,16.45397467843356,"LTMP",9,"_","Various",12.384843857912662,"null","9.0m","#1f77b4"
"manta","reef","Reef 21-060",2012,"2011.8767123287671232","HC",12.30896809550462,8.739728827576181,16.45060152687386,"LTMP",9,"_","Various",12.381994673054503,"null","9.0m",""
"manta","reef","Reef 21-060",2014,"2013.9452054794520548","HC",6.836483491009177,4.60588506417144,9.59401994803892,"LTMP",9,"_","Various",6.904033391168214,"null","9.0m",""
"manta","reef","Reef 21-060",2018,"2018.2219178082191781","HC",10.066934688145883,6.703194295322808,14.122271831831279,"LTMP",9,"_","Various",10.155052712903565,"null","9.0m",""
"manta","reef","Reef 21-060",2020,"2019.7315068493150685","HC",11.436255719121151,7.978642353446645,15.494924061201273,"LTMP",9,"_","Various",11.512924155569088,"null","9.0m",""
"manta","reef","Reef 21-060",2022,"2022.04657534246575343","HC",23.632991571115234,17.78692475262389,29.970737950894154,"LTMP",9,"_","Various",23.695570935162245,"null","9.0m",""
"manta","reef","Reef 21-060",2023,"2023.12054794520547946","HC",34.67698294922528,28.25061573285696,41.350819774949976,"LTMP",9,"_","Various",34.708689556855695,"null","9.0m",""
"manta","reef","Reef 21-060",2024,"2024.21643835616438356","HC",41.929892941286354,35.57090728514562,48.409175858357216,"LTMP",9,"_","Various",41.945334880894904,"null","9.0m",""
"manta","reef","Reef 21-060",2025,"2025.0273972602739726","HC",28.829223095141497,22.559990807533797,35.471544594326375,"LTMP",9,"_","Various",28.876866682898832,"null","9.0m",""
"manta","reef","Reef 21-060",2026,"2026.0958904109589041","HC",29.66025973401353,23.61142918108796,36.03875360540793,"LTMP",9,"_","Various",29.702417511878487,"null","9.0m",""
