"data_type","domain_category","domain_name","report_year","date","variable","median","lower","upper","project_code","depth","reef_zone","shelf","mean","count_group","series"
"photo-transect","reef","Reef 21-060","2006","2006.5068493150684932","ALGAE","54.48219389659754","42.99938308060896","66.57749595757164","LTMP","9","_"," ","53.8939045618958","null","9.0m"
"photo-transect","reef","Reef 21-060","2008","2008.4520547945205479","ALGAE","67.85315012155624","54.32507397717431","79.68060926258643","LTMP","9","_"," ","66.41771101079541","null","9.0m"
"photo-transect","reef","Reef 21-060","2010","2010.14794520547945206","ALGAE","99.26607426565678","84.41566891034525","100","LTMP","9","_"," ","97.57969033110953","null","9.0m"
"photo-transect","reef","Reef 21-060","2012","2011.8767123287671232","ALGAE","99.384175290495","82.86855747221036","100","LTMP","9","_"," ","98.55118565110084","null","9.0m"
"photo-transect","reef","Reef 21-060","2014","2014.29041095890410956","ALGAE","92.24522874526662","80.11952872230191","100","LTMP","9","_"," ","91.72153735597125","null","9.0m"
"photo-transect","reef","Reef 21-060","2016","2016.2054794520547945","ALGAE","101.69878237303548","88.3848027183135","100","LTMP","9","_"," ","100.87366844572054","null","9.0m"
"photo-transect","reef","Reef 21-060","2018","2018.21643835616438356","ALGAE","99.64875720709024","93.06878440949852","100","LTMP","9","_"," ","99.01565163745535","null","9.0m"
"photo-transect","reef","Reef 21-060","2020","2019.7315068493150685","ALGAE","98.62430698255949","85.68072792556043","100","LTMP","9","_"," ","97.5614404853054","null","9.0m"
"photo-transect","reef","Reef 21-060","2023","2023.12054794520547946","ALGAE","88.98921150481453","79.7879259862253","97.96644626673722","LTMP","9","_"," ","88.11166316283874","null","9.0m"
"photo-transect","reef","Reef 21-060","2024","2024.21643835616438356","ALGAE","83.9883951640192","75.5446841010922","91.74030804921098","LTMP","9","_"," ","83.35488884695145","null","9.0m"
"photo-transect","reef","Reef 21-060","2025","2025.0273972602739726","ALGAE","84.78502957587774","74.30912378303265","95.17041394604078","LTMP","9","_"," ","83.96467299139236","null","9.0m"
