a_sector,nrm_region,domain_name,year,survey_date,variable,tows,cots,cotsptow
"SW","Fitzroy","Reef 21-558",2006,"2006.024657534246575342","COTS",53,1,"0.02"
"SW","Fitzroy","Reef 21-558",2008,"2008.07945205479452055","COTS",52,0,"0.00"
"SW","Fitzroy","Reef 21-558",2012,"2011.8958904109589041","COTS",47,0,"0.00"
"SW","Fitzroy","Reef 21-558",2014,"2013.9013698630136986","COTS",44,0,"0.00"
"SW","Fitzroy","Reef 21-558",2016,"2016.0273972602739726","COTS",50,0,"0.00"
"SW","Fitzroy","Reef 21-558",2018,"2018.06027397260273973","COTS",53,8,"0.15"
"SW","Fitzroy","Reef 21-558",2022,"2021.936986301369863","COTS",42,8,"0.19"
"SW","Fitzroy","Reef 21-558",2023,"2023.3780821917808219","COTS",51,0,"0.00"
"SW","Fitzroy","Reef 21-558",2024,"2024.336986301369863","COTS",57,0,"0.00"
"SW","Fitzroy","Reef 21-558",2025,"2025.01643835616438356","COTS",44,0,"0.00"
"SW","Fitzroy","Reef 21-558",2026,"2025.8602739726027397","COTS",50,0,"0.00"
