"data_type","domain_category","domain_name","report_year","date","variable","median","lower","upper","project_code","depth","reef_zone","shelf","mean","count_group","series"
"photo-transect","reef","Reef 21-558","2006","2006.03287671232876712","MACROALGAE","1.0029558065123412","0.6428542871990093","1.4932995542061032","LTMP","9","_"," ","1.0234548111317399","null","9.0m"
"photo-transect","reef","Reef 21-558","2008","2008.07945205479452055","MACROALGAE","3.9393628180077966","2.880970140716153","4.997041115343693","LTMP","9","_"," ","3.9607364869371087","null","9.0m"
"photo-transect","reef","Reef 21-558","2010","2009.7972602739726027","MACROALGAE","4.7804236986070014","3.52302816981763","6.157436034594176","LTMP","9","_"," ","4.795825726303566","null","9.0m"
"photo-transect","reef","Reef 21-558","2012","2011.8958904109589041","MACROALGAE","2.4542855770534313","1.7541295158471069","3.3349152881188115","LTMP","9","_"," ","2.5016991275474374","null","9.0m"
"photo-transect","reef","Reef 21-558","2014","2013.9013698630136986","MACROALGAE","2.1584382020745863","1.544993998770123","2.9722157447220328","LTMP","9","_"," ","2.188373264796204","null","9.0m"
"photo-transect","reef","Reef 21-558","2016","2016.0273972602739726","MACROALGAE","1.289358627515616","0.8531474859442665","1.8355000211944936","LTMP","9","_"," ","1.3093058582674904","null","9.0m"
"photo-transect","reef","Reef 21-558","2018","2018.06027397260273973","MACROALGAE","1.6420415614272772","1.1507768663711957","2.2658470260926005","LTMP","9","_"," ","1.6691244995679682","null","9.0m"
"photo-transect","reef","Reef 21-558","2022","2021.936986301369863","MACROALGAE","2.3622513871568023","1.691938414132611","3.1936341698345743","LTMP","9","_"," ","2.3956163621629516","null","9.0m"
"photo-transect","reef","Reef 21-558","2023","2023.3780821917808219","MACROALGAE","3.787250570412122","2.7431798666812335","4.928578235081442","LTMP","9","_"," ","3.842937647915993","null","9.0m"
"photo-transect","reef","Reef 21-558","2024","2024.336986301369863","MACROALGAE","3.663950133352606","2.6712476316144222","4.62765404910413","LTMP","9","_"," ","3.6718148621058386","null","9.0m"
"photo-transect","reef","Reef 21-558","2025","2025.01643835616438356","MACROALGAE","3.0382629985607315","2.2750352127490827","4.045478633495086","LTMP","9","_"," ","3.0719231711469837","null","9.0m"
