"data_type","domain_category","domain_name","report_year","date","variable","median","lower","upper","project_code","depth","reef_zone","shelf","mean","count_group","series"
"photo-transect","reef","Reef 21-558","2006","2006.03287671232876712","SOFT CORAL","24.63143315737309","16.466557530689304","36.79526452159954","LTMP","9","_"," ","25.13909078383764","null","9.0m"
"photo-transect","reef","Reef 21-558","2008","2008.07945205479452055","SOFT CORAL","26.001929450740647","15.723883609874779","37.23176284792408","LTMP","9","_"," ","26.629178257708215","null","9.0m"
"photo-transect","reef","Reef 21-558","2010","2009.7972602739726027","SOFT CORAL","29.774831975047267","18.558210854183116","41.46703990394995","LTMP","9","_"," ","30.430544497352496","null","9.0m"
"photo-transect","reef","Reef 21-558","2012","2011.8958904109589041","SOFT CORAL","10.432798551499934","6.632093244186027","16.069176231983317","LTMP","9","_"," ","10.756369971833392","null","9.0m"
"photo-transect","reef","Reef 21-558","2014","2013.9013698630136986","SOFT CORAL","15.126232309156956","10.006366043997907","23.36961135461977","LTMP","9","_"," ","15.606565945994774","null","9.0m"
"photo-transect","reef","Reef 21-558","2016","2016.0273972602739726","SOFT CORAL","21.994187368607378","14.445606979449806","31.769964829657876","LTMP","9","_"," ","22.391328172599568","null","9.0m"
"photo-transect","reef","Reef 21-558","2018","2018.06027397260273973","SOFT CORAL","23.413433411438326","14.637659207006614","33.69496034293667","LTMP","9","_"," ","23.87635370336719","null","9.0m"
"photo-transect","reef","Reef 21-558","2022","2021.936986301369863","SOFT CORAL","23.62322561286788","15.240599373058611","34.48071230823954","LTMP","9","_"," ","24.232987512959962","null","9.0m"
"photo-transect","reef","Reef 21-558","2023","2023.3780821917808219","SOFT CORAL","29.588710347358738","18.840050605965423","41.79332089164397","LTMP","9","_"," ","30.23481660455774","null","9.0m"
"photo-transect","reef","Reef 21-558","2024","2024.336986301369863","SOFT CORAL","9.237767005011284","5.808782958524405","14.10563944424286","LTMP","9","_"," ","9.543061452914033","null","9.0m"
"photo-transect","reef","Reef 21-558","2025","2025.01643835616438356","SOFT CORAL","8.241951184904226","5.4635867465203","13.24229658854258","LTMP","9","_"," ","8.501302365256594","null","9.0m"
