data_type,domain_category,domain_name,report_year,date,variable,median,lower,upper,project_code,depth,reef_zone,shelf,mean,count_group,series
"fish","reef","Reef 21-591",2006,"2006.18082191780821918","Small fishes",184.28195124463645,166.9656004239107,203.2010036199331,"LTMP",9,"_"," ",184.29999506185396,"restricted","9.0m"
"fish","reef","Reef 21-591",2008,"2008.4328767123287671","Small fishes",130.1182710753755,117.88823092685975,145.01952551380052,"LTMP",9,"_"," ",130.26226241037833,"restricted","9.0m"
"fish","reef","Reef 21-591",2010,"2010.13972602739726028","Small fishes",199.08238541305536,179.68068843589927,217.56490249562174,"LTMP",9,"_"," ",199.36492453060282,"restricted","9.0m"
"fish","reef","Reef 21-591",2012,"2012.049315068493150684","Small fishes",165.5733399798957,150.58183007087328,181.9911250499024,"LTMP",9,"_"," ",165.81162941392333,"restricted","9.0m"
"fish","reef","Reef 21-591",2014,"2014.3095890410958904","Small fishes",123.87042773345961,110.93965209937629,137.30512681817947,"LTMP",9,"_"," ",124.24847480781258,"restricted","9.0m"
"fish","reef","Reef 21-591",2016,"2016.20821917808219179","Small fishes",95.99387497859301,85.67672843829729,106.13841506287552,"LTMP",9,"_"," ",96.17144442971853,"restricted","9.0m"
"fish","reef","Reef 21-591",2018,"2018.22465753424657534","Small fishes",140.90916165455286,121.56542113553597,157.470397629975,"LTMP",9,"_"," ",141.5546537999573,"restricted","9.0m"
"fish","reef","Reef 21-591",2020,"2019.7205479452054795","Small fishes",101.3877483177749,89.44831329710432,113.69687551738275,"LTMP",9,"_"," ",101.5918880494224,"restricted","9.0m"
"fish","reef","Reef 21-591",2022,"2022.0547945205479452","Small fishes",216.67622239931876,193.13082856954765,237.29598356959787,"LTMP",9,"_"," ",216.963644300013,"restricted","9.0m"
"fish","reef","Reef 21-591",2022,"2022.0547945205479452","Small fishes",213.63158725483387,189.35556458690252,240.04909927248667,"LTMP",9,"_"," ",214.14130559215388,"expanded","9.0m"
"fish","reef","Reef 21-591",2023,"2023.11232876712328767","Small fishes",328.69761517506424,299.7536658708059,364.7806650102485,"LTMP",9,"_"," ",328.8495075038928,"restricted","9.0m"
"fish","reef","Reef 21-591",2023,"2023.11232876712328767","Small fishes",328.8067357148317,294.45130000234576,372.3627456895839,"LTMP",9,"_"," ",329.96463069086224,"expanded","9.0m"
"fish","reef","Reef 21-591",2024,"2024.2136986301369863","Small fishes",455.30470243511684,417.1431675420299,498.3181863620933,"LTMP",9,"_"," ",454.91558927547374,"restricted","9.0m"
"fish","reef","Reef 21-591",2024,"2024.2136986301369863","Small fishes",452.1410938375048,400.41820691357174,503.83726120915617,"LTMP",9,"_"," ",453.34775625222983,"expanded","9.0m"
"fish","reef","Reef 21-591",2025,"2025.04657534246575343","Small fishes",427.4761701517845,392.23809169978387,467.67378201393393,"LTMP",9,"_"," ",427.5526044201159,"restricted","9.0m"
"fish","reef","Reef 21-591",2025,"2025.04657534246575343","Small fishes",411.34936237616233,363.7164381219876,455.37721549077895,"LTMP",9,"_"," ",412.89125208330086,"expanded","9.0m"
"fish","reef","Reef 21-591",2026,"2026.09315068493150686","Small fishes",236.02097227345936,216.1860921032834,260.11691324532836,"LTMP",9,"_"," ",236.2371379802053,"restricted","9.0m"
"fish","reef","Reef 21-591",2026,"2026.09315068493150686","Small fishes",229.89078048745725,203.49194863429213,258.87358979112037,"LTMP",9,"_"," ",230.7057322407688,"expanded","9.0m"
