a_sector,nrm_region,domain_name,year,survey_date,variable,tows,cots,cotsptow
"TO","Burdekin","Rib Reef",1988,"1988.13424657534246576","COTS",34,0,"0.00"
"TO","Burdekin","Rib Reef",1989,"1989.12054794520547946","COTS",41,0,"0.00"
"TO","Burdekin","Rib Reef",1990,"1989.4520547945205479","COTS",39,0,"0.00"
"TO","Burdekin","Rib Reef",1994,"1993.9452054794520548","COTS",39,1,"0.03"
"TO","Burdekin","Rib Reef",1995,"1995.26301369863013696","COTS",36,0,"0.00"
"TO","Burdekin","Rib Reef",1996,"1996.29863013698630136","COTS",34,0,"0.00"
"TO","Burdekin","Rib Reef",1997,"1997.2328767123287671","COTS",41,1,"0.02"
"TO","Burdekin","Rib Reef",1998,"1998.3013698630136986","COTS",36,0,"0.00"
"TO","Burdekin","Rib Reef",1999,"1999.3232876712328767","COTS",33,200,"6.06"
"TO","Burdekin","Rib Reef",2000,"2000.3287671232876712","COTS",33,45,"1.36"
"TO","Burdekin","Rib Reef",2001,"2001.3452054794520548","COTS",33,282,"8.55"
"TO","Burdekin","Rib Reef",2002,"2002.12876712328767123","COTS",37,19,"0.51"
"TO","Burdekin","Rib Reef",2003,"2003.18356164383561643","COTS",34,108,"3.18"
"TO","Burdekin","Rib Reef",2004,"2004.29863013698630136","COTS",39,1,"0.03"
"TO","Burdekin","Rib Reef",2005,"2005.3315068493150685","COTS",32,0,"0.00"
"TO","Burdekin","Rib Reef",2006,"2005.9342465753424658","COTS",26,0,"0.00"
"TO","Burdekin","Rib Reef",2007,"2007.4136986301369863","COTS",29,0,"0.00"
"TO","Burdekin","Rib Reef",2008,"2008.33424657534246577","COTS",33,0,"0.00"
"TO","Burdekin","Rib Reef",2009,"2009.36712328767123287","COTS",34,0,"0.00"
"TO","Burdekin","Rib Reef",2010,"2010.2410958904109589","COTS",35,0,"0.00"
"TO","Burdekin","Rib Reef",2011,"2011.32602739726027397","COTS",36,0,"0.00"
"TO","Burdekin","Rib Reef",2012,"2012.2958904109589041","COTS",34,0,"0.00"
"TO","Burdekin","Rib Reef",2013,"2013.4410958904109589","COTS",35,1,"0.03"
"TO","Burdekin","Rib Reef",2014,"2014.2219178082191781","COTS",35,0,"0.00"
"TO","Burdekin","Rib Reef",2015,"2015.34794520547945207","COTS",38,2,"0.05"
"TO","Burdekin","Rib Reef",2016,"2016.36164383561643837","COTS",35,5,"0.14"
"TO","Burdekin","Rib Reef",2017,"2017.3232876712328767","COTS",34,38,"1.12"
"TO","Burdekin","Rib Reef",2018,"2018.15342465753424658","COTS",33,195,"5.91"
"TO","Burdekin","Rib Reef",2019,"2019.16986301369863013","COTS",38,0,"0.00"
"TO","Burdekin","Rib Reef",1987,"1986.33972602739726027","COTS",53,13,"0.25"
"TO","Burdekin","Rib Reef",2020,"2020.3972602739726027","COTS",32,0,"0.00"
"TO","Burdekin","Rib Reef",2021,"2021.2547945205479452","COTS",37,0,"0.00"
"TO","Burdekin","Rib Reef",2022,"2022.18082191780821918","COTS",38,0,"0.00"
"TO","Burdekin","Rib Reef",2023,"2023.19452054794520549","COTS",31,0,"0.00"
"TO","Burdekin","Rib Reef",2024,"2024.4410958904109589","COTS",37,0,"0.00"
"TO","Burdekin","Rib Reef",2025,"2025.3972602739726027","COTS",32,0,"0.00"
