"data_type","domain_category","domain_name","report_year","date","variable","median","lower","upper","project_code","depth","reef_zone","shelf","mean","count_group","series"
"photo-transect","reef","Rib Reef","1994","1993.9452054794520548","ALGAE","42.49096511911914","38.44444934406949","49.86008761144433","LTMP","9","_"," ","43.418778437662084","null","9.0m"
"photo-transect","reef","Rib Reef","1995","1995.26575342465753427","ALGAE","32.80001204100017","29.410042043538155","40.61097144719339","LTMP","9","_"," ","33.76256095208686","null","9.0m"
"photo-transect","reef","Rib Reef","1996","1996.3013698630136986","ALGAE","22.476589147159487","20.041206581996523","27.81884465948618","LTMP","9","_"," ","23.06417005958118","null","9.0m"
"photo-transect","reef","Rib Reef","1997","1997.23013698630136986","ALGAE","36.93316376204573","33.42159878580495","44.9215605375784","LTMP","9","_"," ","38.04005534187224","null","9.0m"
"photo-transect","reef","Rib Reef","1998","1998.29863013698630136","ALGAE","50.835181569154784","47.205286101051136","59.564446829522055","LTMP","9","_"," ","52.10494349374828","null","9.0m"
"photo-transect","reef","Rib Reef","1999","1999.32602739726027397","ALGAE","47.67419132217725","43.950890452169475","57.08676215305029","LTMP","9","_"," ","48.957980675299325","null","9.0m"
"photo-transect","reef","Rib Reef","2000","2000.3287671232876712","ALGAE","65.43131238074089","61.72947550706541","75.14314818671282","LTMP","9","_"," ","66.74365881551167","null","9.0m"
"photo-transect","reef","Rib Reef","2001","2001.3452054794520548","ALGAE","89.45215367083337","85.6501020978393","99.05559440088503","LTMP","9","_"," ","90.66179129538367","null","9.0m"
"photo-transect","reef","Rib Reef","2002","2002.12876712328767123","ALGAE","89.8875737384925","85.3341637249136","100","LTMP","9","_"," ","91.1781198201567","null","9.0m"
"photo-transect","reef","Rib Reef","2003","2003.18082191780821918","ALGAE","90.57001366422061","86.22519083546358","98.39517096110974","LTMP","9","_"," ","91.53142057846708","null","9.0m"
"photo-transect","reef","Rib Reef","2004","2004.2958904109589041","ALGAE","87.59712253504021","83.6706007215478","96.01130387765359","LTMP","9","_"," ","88.56124302465626","null","9.0m"
"photo-transect","reef","Rib Reef","2005","2005.3287671232876712","ALGAE","82.80449924369347","78.86096737878306","89.9767610637397","LTMP","9","_"," ","83.42419165025038","null","9.0m"
"photo-transect","reef","Rib Reef","2006","2005.9342465753424658","ALGAE","83.21476052815746","77.45047233556164","93.33958025523864","LTMP","9","_"," ","84.43801791130969","null","9.0m"
"photo-transect","reef","Rib Reef","2007","2007.4136986301369863","ALGAE","87.54265300481565","83.4499607364165","96.81397289299565","LTMP","9","_"," ","88.91555557920825","null","9.0m"
"photo-transect","reef","Rib Reef","2008","2008.33424657534246577","ALGAE","82.23346675285035","78.31835393500988","90.42091706615895","LTMP","9","_"," ","83.25173078902195","null","9.0m"
"photo-transect","reef","Rib Reef","2009","2009.33972602739726027","ALGAE","76.33303430894314","72.75447863771308","84.9628754413802","LTMP","9","_"," ","77.39377812916779","null","9.0m"
"photo-transect","reef","Rib Reef","2010","2010.24383561643835616","ALGAE","69.24953954630799","64.9366018473841","77.61785790300773","LTMP","9","_"," ","70.41104462038469","null","9.0m"
"photo-transect","reef","Rib Reef","2011","2011.3232876712328767","ALGAE","83.9474591041438","80.71631163397367","91.2072140775406","LTMP","9","_"," ","85.02358728797684","null","9.0m"
"photo-transect","reef","Rib Reef","2012","2012.2958904109589041","ALGAE","84.41002721813247","80.89087355877425","93.97922048735744","LTMP","9","_"," ","85.83481201964705","null","9.0m"
"photo-transect","reef","Rib Reef","2013","2013.41643835616438357","ALGAE","78.5194979885475","74.29500614072741","88.60199228908446","LTMP","9","_"," ","79.96940300904532","null","9.0m"
"photo-transect","reef","Rib Reef","2014","2014.2219178082191781","ALGAE","73.38727724233533","69.47142349392664","82.66688786197214","LTMP","9","_"," ","74.74666437242898","null","9.0m"
"photo-transect","reef","Rib Reef","2015","2015.2","ALGAE","57.35433528529554","53.307500771724214","68.34181356674932","LTMP","9","_"," ","59.084570116365384","null","9.0m"
"photo-transect","reef","Rib Reef","2016","2016.3589041095890411","ALGAE","51.22072239135338","47.466660341426945","61.36036491065391","LTMP","9","_"," ","52.8328459742166","null","9.0m"
"photo-transect","reef","Rib Reef","2017","2017.3232876712328767","ALGAE","59.57510944330959","55.62947276591063","69.35062307547916","LTMP","9","_"," ","61.09214949262366","null","9.0m"
"photo-transect","reef","Rib Reef","2018","2018.15342465753424658","ALGAE","89.41909976361843","86.40157179086341","96.94324671582093","LTMP","9","_"," ","90.49782817372358","null","9.0m"
"photo-transect","reef","Rib Reef","2019","2019.16986301369863013","ALGAE","87.48200231694115","83.88045000279428","95.45971548695478","LTMP","9","_"," ","88.70720596932317","null","9.0m"
