data_type,domain_category,domain_name,report_year,date,variable,median,lower,upper,project_code,depth,reef_zone,shelf,mean,count_group,series
"fish","reef","Sand bank No.1",2019,"2019.010958904109589041","Herbivores",35.349450575844614,29.50793303293406,41.32178623452582,"LTMP",9,"_"," ",35.437385262514425,"restricted","9.0m"
"fish","reef","Sand bank No.1",2020,"2019.9424657534246575","Herbivores",46.857074402952904,38.89995637781417,54.28672959736175,"LTMP",9,"_"," ",46.82247531042646,"restricted","9.0m"
"fish","reef","Sand bank No.1",2021,"2020.9698630136986301","Herbivores",56.741496747293915,48.06465441243601,66.57961875460443,"LTMP",9,"_"," ",56.856586728626155,"restricted","9.0m"
"fish","reef","Sand bank No.1",2022,"2021.8136986301369863","Herbivores",42.75039095521335,35.95127946066461,50.19430250559491,"LTMP",9,"_"," ",42.92719561667564,"restricted","9.0m"
"fish","reef","Sand bank No.1",2022,"2021.8136986301369863","Herbivores",43.25230749595126,35.92553186180476,50.95689580383886,"LTMP",9,"_"," ",43.36388132177522,"expanded","9.0m"
"fish","reef","Sand bank No.1",2023,"2022.9095890410958904","Herbivores",55.922027500459734,45.94575056477784,63.89541509186601,"LTMP",9,"_"," ",56.04925466596914,"restricted","9.0m"
"fish","reef","Sand bank No.1",2023,"2022.9095890410958904","Herbivores",58.43789674396719,49.310131983893825,68.0450681759755,"LTMP",9,"_"," ",58.7505771415032,"expanded","9.0m"
"fish","reef","Sand bank No.1",2024,"2023.9232876712328767","Herbivores",59.997799963056,50.078909270648865,70.61296336024232,"LTMP",9,"_"," ",60.323034169732225,"restricted","9.0m"
"fish","reef","Sand bank No.1",2024,"2023.9232876712328767","Herbivores",60.224550124577235,50.66510314229914,69.47947166223832,"LTMP",9,"_"," ",60.30108990699585,"expanded","9.0m"
"fish","reef","Sand bank No.1",2025,"2024.9232876712328767","Herbivores",84.83796060535914,72.52844732792964,99.19814548530246,"LTMP",9,"_"," ",84.95385600208236,"restricted","9.0m"
"fish","reef","Sand bank No.1",2025,"2024.9232876712328767","Herbivores",85.35264997985402,71.82163929557085,98.79720272056862,"LTMP",9,"_"," ",85.75935511229518,"expanded","9.0m"
"fish","reef","Sand bank No.1",2026,"2025.9315068493150684","Herbivores",40.681231903224,34.395767383287335,48.06794207110827,"LTMP",9,"_"," ",40.707546454910734,"restricted","9.0m"
"fish","reef","Sand bank No.1",2026,"2025.9315068493150684","Herbivores",40.83572108490583,34.43584908369199,47.964456389503724,"LTMP",9,"_"," ",40.93439986964624,"expanded","9.0m"
