data_type,domain_category,domain_name,report_year,date,variable,median,lower,upper,project_code,depth,reef_zone,shelf,mean,count_group,series
"fish","reef","Slate Reef",1995,"1995.10684931506849316","Large fishes",26.480584447853296,19.96643661747102,34.63407608861174,"LTMP",9,"_"," ",26.803359572422153,"restricted","9.0m"
"fish","reef","Slate Reef",1996,"1996.11232876712328767","Large fishes",33.27875544841865,24.805671614184707,42.26602300587044,"LTMP",9,"_"," ",33.752105684722224,"restricted","9.0m"
"fish","reef","Slate Reef",1997,"1997.29315068493150687","Large fishes",34.7087921371909,26.38998926221566,45.07964418670854,"LTMP",9,"_"," ",35.18550621906252,"restricted","9.0m"
"fish","reef","Slate Reef",1998,"1998.14794520547945206","Large fishes",37.357808862529524,27.78702323375959,47.874031214198084,"LTMP",9,"_"," ",37.94341132318699,"restricted","9.0m"
"fish","reef","Slate Reef",1999,"1999.1780821917808219","Large fishes",29.9816217002101,22.360741987128975,39.11775017558872,"LTMP",9,"_"," ",30.468517842368477,"restricted","9.0m"
"fish","reef","Slate Reef",2000,"2000.1917808219178082","Large fishes",43.262315311323775,31.799761052557212,55.94486431754036,"LTMP",9,"_"," ",44.00768969603675,"restricted","9.0m"
"fish","reef","Slate Reef",2001,"2001.23013698630136986","Large fishes",32.913452571718324,25.52569181865147,42.87045111232155,"LTMP",9,"_"," ",33.508642208305446,"restricted","9.0m"
"fish","reef","Slate Reef",2002,"2001.8410958904109589","Large fishes",24.97337377336972,18.786258944039727,32.45476250857858,"LTMP",9,"_"," ",25.307794699277622,"restricted","9.0m"
"fish","reef","Slate Reef",2003,"2002.9205479452054794","Large fishes",38.86155134906208,29.647174891035544,50.40027876765858,"LTMP",9,"_"," ",39.35166175992214,"restricted","9.0m"
"fish","reef","Slate Reef",2004,"2004.14246575342465753","Large fishes",40.126816882248505,29.840511814015148,51.22161272417363,"LTMP",9,"_"," ",40.89229242755521,"restricted","9.0m"
"fish","reef","Slate Reef",2005,"2005.21643835616438356","Large fishes",40.3148278941097,30.106880025208543,51.77986409355835,"LTMP",9,"_"," ",40.901702165429924,"restricted","9.0m"
"fish","reef","Slate Reef",2007,"2007.21643835616438356","Large fishes",42.499446716257914,32.41341978936371,55.54654199143765,"LTMP",9,"_"," ",43.13295418528376,"restricted","9.0m"
"fish","reef","Slate Reef",2009,"2009.2493150684931507","Large fishes",52.60194346398429,39.72783664458797,67.52661440128765,"LTMP",9,"_"," ",53.24936050656433,"restricted","9.0m"
"fish","reef","Slate Reef",2011,"2011.2136986301369863","Large fishes",50.44137319630717,38.01408397950065,64.60384699826794,"LTMP",9,"_"," ",51.08902485876965,"restricted","9.0m"
"fish","reef","Slate Reef",2013,"2013.29041095890410956","Large fishes",52.30791104381039,39.317606001471916,67.13033929877297,"LTMP",9,"_"," ",52.980911056058815,"restricted","9.0m"
"fish","reef","Slate Reef",2015,"2015.043835616438356165","Large fishes",40.910375162573374,30.639540853216825,53.8292666356952,"LTMP",9,"_"," ",41.66074338789122,"restricted","9.0m"
"fish","reef","Slate Reef",2017,"2017.13424657534246576","Large fishes",46.52281728481064,35.00748653123582,59.32988216318665,"LTMP",9,"_"," ",47.123897659510426,"restricted","9.0m"
"fish","reef","Slate Reef",2019,"2019.3095890410958904","Large fishes",48.954876472981,37.27255719028346,63.57066768884893,"LTMP",9,"_"," ",49.613485997258266,"restricted","9.0m"
"fish","reef","Slate Reef",2021,"2021.0958904109589041","Large fishes",45.67679144123865,33.58388122452376,58.17679056495256,"LTMP",9,"_"," ",46.190503100788966,"restricted","9.0m"
"fish","reef","Slate Reef",2022,"2022.14246575342465753","Large fishes",52.9503629006465,41.5790007605567,69.2856567239531,"LTMP",9,"_"," ",53.846437831306474,"restricted","9.0m"
"fish","reef","Slate Reef",2022,"2022.14246575342465753","Large fishes",224.0614199320321,180.00580653255236,285.77893615899285,"LTMP",9,"_"," ",226.54974710382197,"expanded","9.0m"
"fish","reef","Slate Reef",2023,"2023.0821917808219178","Large fishes",43.25145610594356,33.895785214105125,56.63368685946827,"LTMP",9,"_"," ",43.69945585685458,"restricted","9.0m"
"fish","reef","Slate Reef",2023,"2023.0821917808219178","Large fishes",141.2209446228485,112.97452300415569,182.42115397926167,"LTMP",9,"_"," ",142.4546170596291,"expanded","9.0m"
"fish","reef","Slate Reef",2024,"2024.36164383561643837","Large fishes",87.91952290787117,66.67448422606947,111.71088802321644,"LTMP",9,"_"," ",89.07399560066396,"restricted","9.0m"
"fish","reef","Slate Reef",2024,"2024.36164383561643837","Large fishes",262.32151149874323,210.0613796525985,337.3127350191089,"LTMP",9,"_"," ",264.8576435899424,"expanded","9.0m"
"fish","reef","Slate Reef",2025,"2025.22465753424657534","Large fishes",71.36099816045135,55.831903972436194,93.70619218570725,"LTMP",9,"_"," ",72.38247498541195,"restricted","9.0m"
"fish","reef","Slate Reef",2025,"2025.22465753424657534","Large fishes",183.39868743793082,142.00436370809308,230.72129154910635,"LTMP",9,"_"," ",185.06505592837712,"expanded","9.0m"
