"data_type","domain_category","domain_name","report_year","date","variable","median","lower","upper","project_code","depth","reef_zone","shelf","mean","count_group","series"
"photo-transect","reef","Slate Reef","1992","1992.4684931506849315","ALGAE","25.834513828292593","22.18603625084784","34.30172406926676","LTMP","9","_"," ","26.83115050210956","null","9.0m"
"photo-transect","reef","Slate Reef","1995","1995.10684931506849316","ALGAE","28.777925582728393","25.276742236936663","37.7611253724738","LTMP","9","_"," ","29.926435661696765","null","9.0m"
"photo-transect","reef","Slate Reef","1996","1996.11232876712328767","ALGAE","25.833456228225458","22.54193903209967","34.624383427198424","LTMP","9","_"," ","26.811969931112863","null","9.0m"
"photo-transect","reef","Slate Reef","1997","1997.29315068493150687","ALGAE","28.36398490786649","24.803748710790178","37.77063298614042","LTMP","9","_"," ","29.53086454880563","null","9.0m"
"photo-transect","reef","Slate Reef","1998","1998.14794520547945206","ALGAE","26.39028786585825","22.874469317868666","35.13245099602515","LTMP","9","_"," ","27.510747787150652","null","9.0m"
"photo-transect","reef","Slate Reef","1999","1999.1780821917808219","ALGAE","24.75683583330831","21.401396975137292","31.82148906646142","LTMP","9","_"," ","25.512574005532574","null","9.0m"
"photo-transect","reef","Slate Reef","2000","2000.1917808219178082","ALGAE","30.183222413010824","26.475141519919426","40.129543444498445","LTMP","9","_"," ","31.43623118292095","null","9.0m"
"photo-transect","reef","Slate Reef","2001","2001.23013698630136986","ALGAE","31.239136439002912","27.283792464514605","39.27984505725452","LTMP","9","_"," ","32.13785292812174","null","9.0m"
"photo-transect","reef","Slate Reef","2002","2001.8410958904109589","ALGAE","27.810720082849404","24.202556656219436","36.77302569682482","LTMP","9","_"," ","28.91003546222394","null","9.0m"
"photo-transect","reef","Slate Reef","2003","2002.9205479452054794","ALGAE","28.292228607039","25.246841212591665","37.01297320584867","LTMP","9","_"," ","29.275842177833027","null","9.0m"
"photo-transect","reef","Slate Reef","2004","2004.14246575342465753","ALGAE","28.80430281796239","24.96337588087445","36.94418759148109","LTMP","9","_"," ","29.72380974580507","null","9.0m"
"photo-transect","reef","Slate Reef","2005","2005.21643835616438356","ALGAE","29.407817389416994","25.62817080861024","37.43568247797677","LTMP","9","_"," ","30.30426154152123","null","9.0m"
"photo-transect","reef","Slate Reef","2007","2007.21643835616438356","ALGAE","40.767788161733264","36.016857026922715","51.792954287052915","LTMP","9","_"," ","42.16680733889519","null","9.0m"
"photo-transect","reef","Slate Reef","2009","2009.2493150684931507","ALGAE","68.58137297303833","63.668900323923275","79.55563114467417","LTMP","9","_"," ","69.99406006744519","null","9.0m"
"photo-transect","reef","Slate Reef","2011","2011.2136986301369863","ALGAE","83.03052065836593","78.83602804056893","93.31213025125521","LTMP","9","_"," ","84.09060668962243","null","9.0m"
"photo-transect","reef","Slate Reef","2013","2013.29041095890410956","ALGAE","82.23776729834447","76.37505565180783","97.0732254813583","LTMP","9","_"," ","84.06590422017975","null","9.0m"
"photo-transect","reef","Slate Reef","2015","2015.043835616438356165","ALGAE","74.57197448184212","69.18907940429568","87.88553552656566","LTMP","9","_"," ","76.12190784893569","null","9.0m"
"photo-transect","reef","Slate Reef","2017","2017.13424657534246576","ALGAE","57.865331364688764","52.71699836856868","71.56603404137539","LTMP","9","_"," ","59.504744174092394","null","9.0m"
"photo-transect","reef","Slate Reef","2019","2019.3095890410958904","ALGAE","58.47739651439483","53.583254147816916","72.69448404606736","LTMP","9","_"," ","60.21563799605699","null","9.0m"
"photo-transect","reef","Slate Reef","2021","2021.0958904109589041","ALGAE","45.85197807916612","41.05497001372883","59.457497855245265","LTMP","9","_"," ","47.56994973866565","null","9.0m"
"photo-transect","reef","Slate Reef","2022","2022.14246575342465753","ALGAE","40.013430440927436","35.13976477554188","51.33586826711581","LTMP","9","_"," ","41.40535823272691","null","9.0m"
"photo-transect","reef","Slate Reef","2023","2023.0821917808219178","ALGAE","40.80146600832758","36.30174884480748","53.054803670294646","LTMP","9","_"," ","42.3107774665181","null","9.0m"
"photo-transect","reef","Slate Reef","2024","2024.36164383561643837","ALGAE","51.0754041717917","46.1082693757427","63.29428454662401","LTMP","9","_"," ","52.63600228974051","null","9.0m"
"photo-transect","reef","Slate Reef","2025","2025.22465753424657534","ALGAE","51.18668510053877","46.13153503676051","63.51593385408078","LTMP","9","_"," ","52.69824626024122","null","9.0m"
