"data_type","domain_category","domain_name","report_year","date","variable","median","lower","upper","project_code","depth","reef_zone","shelf","mean","count_group","series"
"photo-transect","reef","Slate Reef","1992","1992.4684931506849315","SOFT CORAL","18.895294458106154","11.348685867623672","25.266275080415905","LTMP","9","_"," ","19.05994304616491","null","9.0m"
"photo-transect","reef","Slate Reef","1995","1995.10684931506849316","SOFT CORAL","19.201391414432837","12.330625274747776","27.151922129230595","LTMP","9","_"," ","19.51753635475466","null","9.0m"
"photo-transect","reef","Slate Reef","1996","1996.11232876712328767","SOFT CORAL","17.662314754983242","11.044131264919951","24.6974842028406","LTMP","9","_"," ","17.99091492344354","null","9.0m"
"photo-transect","reef","Slate Reef","1997","1997.29315068493150687","SOFT CORAL","13.42297470054558","8.410865302445314","19.850379979209855","LTMP","9","_"," ","13.698077175663531","null","9.0m"
"photo-transect","reef","Slate Reef","1998","1998.14794520547945206","SOFT CORAL","13.92331664440234","8.783111983140742","20.37539761008531","LTMP","9","_"," ","14.21282756607225","null","9.0m"
"photo-transect","reef","Slate Reef","1999","1999.1780821917808219","SOFT CORAL","13.133413377915026","8.64618052527743","20.202678597705447","LTMP","9","_"," ","13.490842139082854","null","9.0m"
"photo-transect","reef","Slate Reef","2000","2000.1917808219178082","SOFT CORAL","15.863545426004553","9.974022722886989","23.103317958126965","LTMP","9","_"," ","16.358509513133672","null","9.0m"
"photo-transect","reef","Slate Reef","2001","2001.23013698630136986","SOFT CORAL","15.10890749194871","9.417531956076719","22.225381759243426","LTMP","9","_"," ","15.413858935609259","null","9.0m"
"photo-transect","reef","Slate Reef","2002","2001.8410958904109589","SOFT CORAL","15.540356818605062","9.209535305719745","22.735389600206847","LTMP","9","_"," ","15.7897675794726","null","9.0m"
"photo-transect","reef","Slate Reef","2003","2002.9205479452054794","SOFT CORAL","14.815273903241389","9.22146054371599","21.293807295907197","LTMP","9","_"," ","15.262369821060934","null","9.0m"
"photo-transect","reef","Slate Reef","2004","2004.14246575342465753","SOFT CORAL","15.459359019088515","9.42759431304677","22.13832089005732","LTMP","9","_"," ","15.781983126540238","null","9.0m"
"photo-transect","reef","Slate Reef","2005","2005.21643835616438356","SOFT CORAL","16.422830223601547","10.149885148292555","23.755934771619398","LTMP","9","_"," ","16.75274241257923","null","9.0m"
"photo-transect","reef","Slate Reef","2007","2007.21643835616438356","SOFT CORAL","12.543774530202601","7.534250915552325","18.41729461620707","LTMP","9","_"," ","12.875523109736195","null","9.0m"
"photo-transect","reef","Slate Reef","2009","2009.2493150684931507","SOFT CORAL","4.634311430783344","2.7261641763233517","7.1914012474804885","LTMP","9","_"," ","4.772767370194923","null","9.0m"
"photo-transect","reef","Slate Reef","2011","2011.2136986301369863","SOFT CORAL","1.6699344803467144","0.8869008565969974","3.0075981966734373","LTMP","9","_"," ","1.775709770757607","null","9.0m"
"photo-transect","reef","Slate Reef","2013","2013.29041095890410956","SOFT CORAL","1.8778124601538437","1.0183966929560906","3.2547557592016156","LTMP","9","_"," ","1.9782052159902535","null","9.0m"
"photo-transect","reef","Slate Reef","2015","2015.043835616438356165","SOFT CORAL","2.7843833115691075","1.439831518016785","4.4593213612861025","LTMP","9","_"," ","2.8765748415741386","null","9.0m"
"photo-transect","reef","Slate Reef","2017","2017.13424657534246576","SOFT CORAL","3.206093275766031","1.7588220620007804","5.1210427551429145","LTMP","9","_"," ","3.33282490482095","null","9.0m"
"photo-transect","reef","Slate Reef","2019","2019.3095890410958904","SOFT CORAL","4.576112689641628","2.7417783392342265","7.176170238394951","LTMP","9","_"," ","4.689139613504394","null","9.0m"
"photo-transect","reef","Slate Reef","2021","2021.0958904109589041","SOFT CORAL","3.725771634220519","2.099504541375367","5.990719969957261","LTMP","9","_"," ","3.8997865702903645","null","9.0m"
"photo-transect","reef","Slate Reef","2022","2022.14246575342465753","SOFT CORAL","3.8479961265379488","2.2583954442001635","6.123263470066035","LTMP","9","_"," ","3.9441747347338754","null","9.0m"
"photo-transect","reef","Slate Reef","2023","2023.0821917808219178","SOFT CORAL","4.29872524907669","2.4491732045768764","6.72377166566676","LTMP","9","_"," ","4.442894107855889","null","9.0m"
"photo-transect","reef","Slate Reef","2024","2024.36164383561643837","SOFT CORAL","2.96679962924794","1.6362204042081747","4.888289115952766","LTMP","9","_"," ","3.090820082710892","null","9.0m"
"photo-transect","reef","Slate Reef","2025","2025.22465753424657534","SOFT CORAL","3.3942091614010184","1.8631582036342382","5.350466860587259","LTMP","9","_"," ","3.535753372765292","null","9.0m"
