data_type,domain_category,domain_name,report_year,date,variable,median,lower,upper,project_code,depth,reef_zone,shelf,mean,count_group,series
"manta","reef","Small Lagoon Reef",2006,"2006.021917808219178082","HC",8.398242342238145,6.2495450165270405,10.904251036602368,"LTMP",9,"_","Various",8.4441869417868,"null","9.0m"
"manta","reef","Small Lagoon Reef",2008,"2008.09863013698630137","HC",9.647727960215565,7.226916890387428,12.440379464304737,"LTMP",9,"_","Various",9.695492504956604,"null","9.0m"
"manta","reef","Small Lagoon Reef",2010,"2009.8","HC",8.94805387882044,6.6359281107372725,11.637441601788352,"LTMP",9,"_","Various",8.996521058130556,"null","9.0m"
"manta","reef","Small Lagoon Reef",2012,"2012.024657534246575342","HC",12.094957527629436,9.164572183389428,15.413813125279644,"LTMP",9,"_","Various",12.144771629785186,"null","9.0m"
"manta","reef","Small Lagoon Reef",2014,"2013.8986301369863013","HC",20.57930167001017,16.469102120415528,25.010604309049228,"LTMP",9,"_","Various",20.620442800753455,"null","9.0m"
"manta","reef","Small Lagoon Reef",2016,"2016.03287671232876712","HC",28.006744505424948,23.067863892441014,33.198528402771075,"LTMP",9,"_","Various",28.03916846170439,"null","9.0m"
"manta","reef","Small Lagoon Reef",2018,"2018.04657534246575343","HC",39.98250037165795,34.67613342092611,45.396330572834266,"LTMP",9,"_","Various",39.99630849261433,"null","9.0m"
"manta","reef","Small Lagoon Reef",2020,"2020.052054794520547946","HC",23.130897605796843,19.290137467763582,27.210013313787933,"LTMP",9,"_","Various",23.161532363633544,"null","9.0m"
"manta","reef","Small Lagoon Reef",2022,"2022.01643835616438356","HC",10.256469535255045,7.658133863603073,13.245387689106039,"LTMP",9,"_","Various",10.306595179169323,"null","9.0m"
"manta","reef","Small Lagoon Reef",2026,"2025.852054794520548","HC",9.852814676904226,7.3634304249279765,12.723030783515727,"LTMP",9,"_","Various",9.901715067216994,"null","9.0m"
