"data_type","domain_category","domain_name","report_year","date","variable","median","lower","upper","project_code","depth","reef_zone","shelf","mean","count_group","series"
"juvenile","reef","Snake Reef","2007","2006.8986301369863013","ABUNDANCE","29.09738680487832","25.604164955670676","32.60803321490735","LTMP","9","_"," ","29.129537158411154","null","9.0m"
"juvenile","reef","Snake Reef","2009","2008.9041095890410958","ABUNDANCE","12.525223885398933","10.239517749914402","14.97646318949263","LTMP","9","_"," ","12.59254165619478","null","9.0m"
"juvenile","reef","Snake Reef","2011","2010.9315068493150684","ABUNDANCE","6.8613935905228605","5.721250845760618","8.159131435345287","LTMP","9","_"," ","6.905488758130371","null","9.0m"
"juvenile","reef","Snake Reef","2013","2012.6821917808219178","ABUNDANCE","12.675478723185746","11.027269342769285","14.705238721696553","LTMP","9","_"," ","12.71117729704595","null","9.0m"
"juvenile","reef","Snake Reef","2015","2014.6465753424657534","ABUNDANCE","24.5769268612402","21.22899097887445","28.12214300865224","LTMP","9","_"," ","24.692741665053084","null","9.0m"
"juvenile","reef","Snake Reef","2017","2017.04657534246575343","ABUNDANCE","26.047413532180308","23.07677808052575","29.68867107394372","LTMP","9","_"," ","26.1399242940032","null","9.0m"
"juvenile","reef","Snake Reef","2019","2018.7452054794520548","ABUNDANCE","26.117042985179697","23.062224867843998","29.179963125891838","LTMP","9","_"," ","26.167141954499243","null","9.0m"
"juvenile","reef","Snake Reef","2021","2020.684931506849315","ABUNDANCE","13.57540399907667","10.873712686317482","15.973673935579786","LTMP","9","_"," ","13.572560734394564","null","9.0m"
"juvenile","reef","Snake Reef","2022","2021.9424657534246575","ABUNDANCE","12.63066875332336","11.015426105548432","14.261908273856863","LTMP","9","_"," ","12.651861482717923","null","9.0m"
"juvenile","reef","Snake Reef","2023","2022.6876712328767123","ABUNDANCE","18.651392076035233","16.861868936492254","20.807926553026814","LTMP","9","_"," ","18.7185066587467","null","9.0m"
"juvenile","reef","Snake Reef","2024","2024.3287671232876712","ABUNDANCE","17.00337046677471","15.192732960140876","19.11496289769312","LTMP","9","_"," ","17.059288147640785","null","9.0m"
"juvenile","reef","Snake Reef","2025","2024.8657534246575342","ABUNDANCE","14.816053886212313","13.121329657460683","16.631785226509695","LTMP","9","_"," ","14.830581405631897","null","9.0m"
