"data_type","domain_category","domain_name","report_year","date","variable","median","lower","upper","project_code","depth","reef_zone","shelf","mean","count_group","series"
"photo-transect","reef","Snake Reef","1993","1992.7561643835616438","SOFT CORAL","3.507552402269017","2.4268106556180653","4.5530138547293","LTMP","9","_"," ","3.5486959404375344","null","9.0m"
"photo-transect","reef","Snake Reef","1994","1994.39452054794520547","SOFT CORAL","6.212635498525168","4.629050097791699","7.959545086582017","LTMP","9","_"," ","6.265396955163611","null","9.0m"
"photo-transect","reef","Snake Reef","1995","1994.8821917808219178","SOFT CORAL","5.233863593053497","3.889883977766556","6.883408395867391","LTMP","9","_"," ","5.311103936687229","null","9.0m"
"photo-transect","reef","Snake Reef","1996","1995.8821917808219178","SOFT CORAL","6.3131765154655985","4.784218994623207","7.988361707214422","LTMP","9","_"," ","6.361796367645864","null","9.0m"
"photo-transect","reef","Snake Reef","1997","1996.8602739726027397","SOFT CORAL","9.048894953446629","6.952914081563984","11.0122839163402","LTMP","9","_"," ","9.091757620587","null","9.0m"
"photo-transect","reef","Snake Reef","1998","1997.8986301369863013","SOFT CORAL","7.509978161763112","5.9072314817414115","9.464320876344436","LTMP","9","_"," ","7.56027157359902","null","9.0m"
"photo-transect","reef","Snake Reef","1999","1998.9287671232876712","SOFT CORAL","7.716862396135301","5.981176130679162","9.605495822859913","LTMP","9","_"," ","7.773610176420114","null","9.0m"
"photo-transect","reef","Snake Reef","2000","1999.8876712328767123","SOFT CORAL","8.081630832423661","6.447545669553496","10.33128683927862","LTMP","9","_"," ","8.130260671026285","null","9.0m"
"photo-transect","reef","Snake Reef","2001","2000.6931506849315069","SOFT CORAL","9.198023111969157","7.310291786263949","11.309697395627518","LTMP","9","_"," ","9.277040759004288","null","9.0m"
"photo-transect","reef","Snake Reef","2002","2001.6054794520547945","SOFT CORAL","10.72197964647399","8.642463095431205","13.736717773276306","LTMP","9","_"," ","10.807906451949863","null","9.0m"
"photo-transect","reef","Snake Reef","2003","2002.6767123287671233","SOFT CORAL","10.296885057187097","8.084731683813692","12.809140757665643","LTMP","9","_"," ","10.390268271018734","null","9.0m"
"photo-transect","reef","Snake Reef","2004","2003.8164383561643835","SOFT CORAL","8.231943434648183","6.523202450817384","10.526197395090193","LTMP","9","_"," ","8.314514418785388","null","9.0m"
"photo-transect","reef","Snake Reef","2005","2004.8849315068493151","SOFT CORAL","8.830500015162126","6.983180125597241","10.998272796080125","LTMP","9","_"," ","8.887859397684602","null","9.0m"
"photo-transect","reef","Snake Reef","2007","2006.8986301369863013","SOFT CORAL","6.587527103292558","5.15149374283374","8.464968405244507","LTMP","9","_"," ","6.665658332428509","null","9.0m"
"photo-transect","reef","Snake Reef","2009","2008.9041095890410958","SOFT CORAL","7.4342247383253195","5.753091963717071","9.398206739543935","LTMP","9","_"," ","7.489209231945453","null","9.0m"
"photo-transect","reef","Snake Reef","2011","2010.9315068493150684","SOFT CORAL","2.224627907267238","1.5723487173694501","3.00376793563601","LTMP","9","_"," ","2.246814334458646","null","9.0m"
"photo-transect","reef","Snake Reef","2013","2012.6821917808219178","SOFT CORAL","3.1777728533608287","2.3430153318948252","4.249198823396847","LTMP","9","_"," ","3.201013679640927","null","9.0m"
"photo-transect","reef","Snake Reef","2015","2014.6465753424657534","SOFT CORAL","2.274174913711215","1.551302913889539","3.031561058101383","LTMP","9","_"," ","2.3175096569035896","null","9.0m"
"photo-transect","reef","Snake Reef","2017","2017.04657534246575343","SOFT CORAL","2.5387640051329505","1.7706502538705335","3.4206501387665003","LTMP","9","_"," ","2.566056600010336","null","9.0m"
"photo-transect","reef","Snake Reef","2019","2018.7452054794520548","SOFT CORAL","2.3110141863921623","1.6097587087264196","3.0826062249676616","LTMP","9","_"," ","2.34261811733964","null","9.0m"
"photo-transect","reef","Snake Reef","2021","2020.684931506849315","SOFT CORAL","2.930581097494671","1.9074669511475228","4.164993361655981","LTMP","9","_"," ","2.9878798789901557","null","9.0m"
"photo-transect","reef","Snake Reef","2022","2021.9424657534246575","SOFT CORAL","3.078095767511301","2.2414957535297924","4.074858102351371","LTMP","9","_"," ","3.1143426090175437","null","9.0m"
"photo-transect","reef","Snake Reef","2023","2022.6876712328767123","SOFT CORAL","4.369510614202642","3.2822152218556964","5.804607448850757","LTMP","9","_"," ","4.4126216679093115","null","9.0m"
"photo-transect","reef","Snake Reef","2024","2024.3287671232876712","SOFT CORAL","2.5067724284343313","1.7959271805107992","3.306553754710484","LTMP","9","_"," ","2.5394935683770306","null","9.0m"
"photo-transect","reef","Snake Reef","2025","2024.8657534246575342","SOFT CORAL","3.696804626507913","2.6839241193932257","4.7354356210965936","LTMP","9","_"," ","3.7218329376544923","null","9.0m"
