data_type,domain_category,domain_name,report_year,date,variable,median,lower,upper,project_code,depth,reef_zone,shelf,mean,count_group,series
"fish","reef","St. Crispin Reef",1995,"1995.27945205479452057","Large fishes",54.26059522669527,47.13267333374489,60.87810319145732,"LTMP",9,"_"," ",54.31408341286354,"restricted","9.0m"
"fish","reef","St. Crispin Reef",1996,"1996.030136986301369864","Large fishes",56.46803407366675,49.079860219488864,63.10261839568536,"LTMP",9,"_"," ",56.51451323138875,"restricted","9.0m"
"fish","reef","St. Crispin Reef",1997,"1997.07123287671232877","Large fishes",44.5138759277969,38.706654930513594,51.11563152019088,"LTMP",9,"_"," ",44.67097237591013,"restricted","9.0m"
"fish","reef","St. Crispin Reef",1998,"1998.0684931506849315","Large fishes",38.644265054386906,33.77634729508608,44.31479037268272,"LTMP",9,"_"," ",38.75330396907205,"restricted","9.0m"
"fish","reef","St. Crispin Reef",1999,"1999.07945205479452055","Large fishes",39.72111744596512,33.7286894238182,44.591870370511174,"LTMP",9,"_"," ",39.74759852977812,"restricted","9.0m"
"fish","reef","St. Crispin Reef",2000,"2000.06027397260273973","Large fishes",50.79693201373084,44.763193162375146,58.48451241924396,"LTMP",9,"_"," ",50.90014586430627,"restricted","9.0m"
"fish","reef","St. Crispin Reef",2001,"2001.07397260273972603","Large fishes",54.60995341801222,46.54233940776423,60.75465611403189,"LTMP",9,"_"," ",54.626388463911994,"restricted","9.0m"
"fish","reef","St. Crispin Reef",2002,"2001.7095890410958904","Large fishes",50.13436378023259,44.08729575766574,56.874188558946145,"LTMP",9,"_"," ",50.316042147243486,"restricted","9.0m"
"fish","reef","St. Crispin Reef",2003,"2002.8191780821917808","Large fishes",55.96830091815056,49.18332648432399,63.47154353681397,"LTMP",9,"_"," ",56.06127418108595,"restricted","9.0m"
"fish","reef","St. Crispin Reef",2004,"2004.010958904109589041","Large fishes",43.43852446215418,37.77784997085243,49.9681967892118,"LTMP",9,"_"," ",43.56578982371058,"restricted","9.0m"
"fish","reef","St. Crispin Reef",2005,"2005.0547945205479452","Large fishes",46.990030777885586,40.78436605908422,53.24511232837517,"LTMP",9,"_"," ",47.12434363780293,"restricted","9.0m"
"fish","reef","St. Crispin Reef",2006,"2005.7945205479452054","Large fishes",50.37215804252452,44.71271160146645,57.84518603034723,"LTMP",9,"_"," ",50.49565557618246,"restricted","9.0m"
"fish","reef","St. Crispin Reef",2007,"2007.0136986301369863","Large fishes",70.29212170586769,61.95605432796209,79.82999322442956,"LTMP",9,"_"," ",70.50200879974312,"restricted","9.0m"
"fish","reef","St. Crispin Reef",2008,"2008.3232876712328767","Large fishes",51.963144997289696,45.38920450295161,58.989015967939366,"LTMP",9,"_"," ",52.15314248562199,"restricted","9.0m"
"fish","reef","St. Crispin Reef",2009,"2009.10410958904109589","Large fishes",55.12739361675709,48.57579263176121,62.48896610137774,"LTMP",9,"_"," ",55.165231526890494,"restricted","9.0m"
"fish","reef","St. Crispin Reef",2010,"2009.8849315068493151","Large fishes",60.706636234722886,53.08278193817457,68.17264537999044,"LTMP",9,"_"," ",60.684458379483296,"restricted","9.0m"
"fish","reef","St. Crispin Reef",2011,"2011.06301369863013699","Large fishes",65.06777519338434,56.38125382701013,72.87987754930653,"LTMP",9,"_"," ",65.23830009930991,"restricted","9.0m"
"fish","reef","St. Crispin Reef",2012,"2012.12602739726027398","Large fishes",71.46306324901758,61.988850040950545,81.17395132619949,"LTMP",9,"_"," ",71.6418288367752,"restricted","9.0m"
"fish","reef","St. Crispin Reef",2013,"2013.010958904109589041","Large fishes",66.79792245630175,56.606137401422096,73.77126495325567,"LTMP",9,"_"," ",66.85579331542445,"restricted","9.0m"
"fish","reef","St. Crispin Reef",2014,"2014.2","Large fishes",69.03826781366908,58.92385111025584,77.28714341117572,"LTMP",9,"_"," ",69.11993706314186,"restricted","9.0m"
