"data_type","domain_category","domain_name","report_year","date","variable","median","lower","upper","project_code","depth","reef_zone","shelf","mean","count_group","series"
"juvenile","reef","St. Crispin Reef","2007","2007.0136986301369863","ABUNDANCE","3.8149395011757186","2.1242196272452794","5.608107026003099","LTMP","9","_"," ","3.9111675794814054","null","9.0m"
"juvenile","reef","St. Crispin Reef","2008","2008.3232876712328767","ABUNDANCE","10.007181939876888","6.703277760341297","14.416918823533566","LTMP","9","_"," ","10.171922574841492","null","9.0m"
"juvenile","reef","St. Crispin Reef","2009","2009.10410958904109589","ABUNDANCE","17.169165119279754","11.479457229148617","24.492916677529198","LTMP","9","_"," ","17.416738614632838","null","9.0m"
"juvenile","reef","St. Crispin Reef","2010","2009.8849315068493151","ABUNDANCE","12.519025237764389","7.865819665117703","17.553344120069692","LTMP","9","_"," ","12.749523187924252","null","9.0m"
"juvenile","reef","St. Crispin Reef","2011","2011.06301369863013699","ABUNDANCE","6.620187340710421","4.236068054781439","9.63440356677813","LTMP","9","_"," ","6.647049496186287","null","9.0m"
"juvenile","reef","St. Crispin Reef","2012","2012.12602739726027398","ABUNDANCE","9.523101691464355","5.963024398092959","13.269302344804766","LTMP","9","_"," ","9.622328802516428","null","9.0m"
"juvenile","reef","St. Crispin Reef","2013","2013.010958904109589041","ABUNDANCE","14.947411958152696","9.838411713799756","20.80944000339815","LTMP","9","_"," ","15.118628273567845","null","9.0m"
"juvenile","reef","St. Crispin Reef","2014","2014.2","ABUNDANCE","25.83350315887244","16.544779061640753","35.75801866156569","LTMP","9","_"," ","26.125682849483702","null","9.0m"
"juvenile","reef","St. Crispin Reef","2015","2015.17534246575342466","ABUNDANCE","23.7703932172807","16.411905411541614","32.943404878949465","LTMP","9","_"," ","24.082224294258356","null","9.0m"
"juvenile","reef","St. Crispin Reef","2016","2015.9205479452054794","ABUNDANCE","30.48352721823657","20.708620027470445","42.32631736943411","LTMP","9","_"," ","30.829811044303913","null","9.0m"
"juvenile","reef","St. Crispin Reef","2017","2016.6986301369863014","ABUNDANCE","20.148510696778857","13.211928365500745","27.94137076739524","LTMP","9","_"," ","20.4314711202841","null","9.0m"
"juvenile","reef","St. Crispin Reef","2018","2017.958904109589041","ABUNDANCE","15.588462779691545","10.025065532923843","20.80488960062835","LTMP","9","_"," ","15.750822886854367","null","9.0m"
"juvenile","reef","St. Crispin Reef","2019","2019.12876712328767123","ABUNDANCE","16.426220811416762","11.417857192113344","23.685764363591193","LTMP","9","_"," ","16.612952742039404","null","9.0m"
"juvenile","reef","St. Crispin Reef","2020","2019.947945205479452","ABUNDANCE","16.649247669248723","11.532636096905033","23.417754974862888","LTMP","9","_"," ","16.8218575294847","null","9.0m"
"juvenile","reef","St. Crispin Reef","2021","2021.019178082191780823","ABUNDANCE","14.022112554835628","9.9626748457556","20.31266228917182","LTMP","9","_"," ","14.2571739079376","null","9.0m"
"juvenile","reef","St. Crispin Reef","2022","2022.29863013698630136","ABUNDANCE","24.883129087557357","17.637989205049823","36.0674828822345","LTMP","9","_"," ","25.264624497159605","null","9.0m"
"juvenile","reef","St. Crispin Reef","2023","2022.8356164383561644","ABUNDANCE","23.907276623372653","15.844728094314814","33.38174568953892","LTMP","9","_"," ","24.27917806689718","null","9.0m"
"juvenile","reef","St. Crispin Reef","2024","2023.663013698630137","ABUNDANCE","16.995393456128934","11.49970059371217","24.15754734940669","LTMP","9","_"," ","17.232740154801093","null","9.0m"
"juvenile","reef","St. Crispin Reef","2025","2024.7643835616438356","ABUNDANCE","17.823880836829304","11.16003835337104","23.96555882329491","LTMP","9","_"," ","17.993733338328866","null","9.0m"
