data_type,domain_category,domain_name,report_year,date,variable,median,lower,upper,project_code,depth,reef_zone,shelf,mean,count_group,series
"fish","reef","Taylor Reef",2006,"2005.9287671232876712","Herbivores",49.70261625193238,42.118069841189914,56.499216595188344,"LTMP",9,"_"," ",49.647667301173726,"restricted","9.0m"
"fish","reef","Taylor Reef",2008,"2008.3315068493150685","Herbivores",65.0020667191973,57.3991628646647,74.8378524400841,"LTMP",9,"_"," ",65.17450712355208,"restricted","9.0m"
"fish","reef","Taylor Reef",2010,"2010.26301369863013696","Herbivores",64.30360409922011,55.6270884191378,72.47106547676435,"LTMP",9,"_"," ",64.36042970694648,"restricted","9.0m"
"fish","reef","Taylor Reef",2012,"2012.1643835616438356","Herbivores",54.47847911445929,46.84134385147512,61.566967350573215,"LTMP",9,"_"," ",54.50328018874052,"restricted","9.0m"
"fish","reef","Taylor Reef",2016,"2015.958904109589041","Herbivores",34.4027306145435,29.5999815969408,39.787925740280755,"LTMP",9,"_"," ",34.489741986575766,"restricted","9.0m"
"fish","reef","Taylor Reef",2018,"2018.14246575342465753","Herbivores",43.28320242864977,37.05381040101892,49.0581687622617,"LTMP",9,"_"," ",43.253281594729906,"restricted","9.0m"
"fish","reef","Taylor Reef",2020,"2020.1506849315068493","Herbivores",35.554170639464175,30.055090329552158,40.7764892604087,"LTMP",9,"_"," ",35.58706743583188,"restricted","9.0m"
"fish","reef","Taylor Reef",2022,"2022.2876712328767123","Herbivores",80.98524163341582,69.98224331877634,91.26616410545658,"LTMP",9,"_"," ",81.0156762997026,"restricted","9.0m"
"fish","reef","Taylor Reef",2022,"2022.2876712328767123","Herbivores",78.96538670181342,51.198822774971994,105.72458252544246,"LTMP",9,"_"," ",79.67276831035511,"expanded","9.0m"
"fish","reef","Taylor Reef",2023,"2023.1863013698630137","Herbivores",49.3113667350886,41.65298294806799,55.38038389698067,"LTMP",9,"_"," ",49.28678994625626,"restricted","9.0m"
"fish","reef","Taylor Reef",2023,"2023.1863013698630137","Herbivores",47.936729110257005,32.504245757677275,65.02485423408989,"LTMP",9,"_"," ",48.033594549689134,"expanded","9.0m"
"fish","reef","Taylor Reef",2024,"2024.09863013698630137","Herbivores",68.52264839699669,58.79853403945208,76.87130337714348,"LTMP",9,"_"," ",68.56339455235434,"restricted","9.0m"
"fish","reef","Taylor Reef",2024,"2024.09863013698630137","Herbivores",66.4369725197524,43.774033788200704,90.05011286823276,"LTMP",9,"_"," ",67.17827664878062,"expanded","9.0m"
"fish","reef","Taylor Reef",2025,"2024.6438356164383562","Herbivores",54.88427419058656,47.85836158636746,62.45597967780772,"LTMP",9,"_"," ",54.87422370162549,"restricted","9.0m"
"fish","reef","Taylor Reef",2025,"2024.6438356164383562","Herbivores",53.22816383578758,36.95751568834904,73.11514497844784,"LTMP",9,"_"," ",53.632359062146115,"expanded","9.0m"
