data_type,domain_category,domain_name,report_year,date,variable,median,lower,upper,project_code,depth,reef_zone,shelf,mean,count_group,series
"fish","reef","Tern Island",2006,"2006.4986301369863014","Coral Trout",11.49738556645977,6.233711516959428,17.988592756613272,"LTMP",9,"_"," ",11.840260656882338,"restricted","9.0m"
"fish","reef","Tern Island",2008,"2008.4438356164383562","Coral Trout",24.685478029606244,13.220425575774591,38.71270151130088,"LTMP",9,"_"," ",25.333327458243843,"restricted","9.0m"
"fish","reef","Tern Island",2010,"2010.136986301369863","Coral Trout",12.991882439106767,7.197523125546846,19.948433518891242,"LTMP",9,"_"," ",13.315468494260204,"restricted","9.0m"
"fish","reef","Tern Island",2012,"2012.052054794520547946","Coral Trout",18.827375339213596,9.357982205863754,32.641658933422825,"LTMP",9,"_"," ",19.691836036710747,"restricted","9.0m"
"fish","reef","Tern Island",2014,"2014.3041095890410959","Coral Trout",27.236809318773556,14.839656879340236,42.16648897867199,"LTMP",9,"_"," ",28.22592431982532,"restricted","9.0m"
"fish","reef","Tern Island",2016,"2016.21095890410958903","Coral Trout",8.525997054294077,3.673301969218761,16.730505761346734,"LTMP",9,"_"," ",9.169181640459499,"restricted","9.0m"
"fish","reef","Tern Island",2018,"2018.2054794520547945","Coral Trout",26.12378852141641,13.031097583029522,45.05973265443165,"LTMP",9,"_"," ",27.734391846682147,"restricted","9.0m"
"fish","reef","Tern Island",2020,"2019.736986301369863","Coral Trout",9.594237409933537,3.8695344793713398,18.677217157428114,"LTMP",9,"_"," ",10.37802031508944,"restricted","9.0m"
"fish","reef","Tern Island",2022,"2022.03561643835616438","Coral Trout",17.309271981481103,8.9537679586202,29.281748290886323,"LTMP",9,"_"," ",17.957469042173088,"restricted","9.0m"
"fish","reef","Tern Island",2023,"2023.0958904109589041","Coral Trout",20.485936249261158,9.783764152472774,35.89294555721218,"LTMP",9,"_"," ",21.722634217986553,"restricted","9.0m"
"fish","reef","Tern Island",2024,"2024.2273972602739726","Coral Trout",35.47007340033433,17.925286630666257,66.06925996705496,"LTMP",9,"_"," ",37.52531564948819,"restricted","9.0m"
"fish","reef","Tern Island",2026,"2026.09863013698630137","Coral Trout",43.49028733141026,24.157072977867486,73.49558602874274,"LTMP",9,"_"," ",45.61909693151023,"restricted","9.0m"
