a_sector,nrm_region,domain_name,year,survey_date,variable,tows,cots,cotsptow
"PO","Mackay Whitsunday","Tern Island",2006,"2006.4986301369863014","COTS",27,0,"0.00"
"PO","Mackay Whitsunday","Tern Island",2008,"2008.4684931506849315","COTS",30,141,"4.70"
"PO","Mackay Whitsunday","Tern Island",2010,"2010.136986301369863","COTS",30,19,"0.63"
"PO","Mackay Whitsunday","Tern Island",2012,"2012.052054794520547946","COTS",26,0,"0.00"
"PO","Mackay Whitsunday","Tern Island",2014,"2014.30684931506849317","COTS",32,0,"0.00"
"PO","Mackay Whitsunday","Tern Island",2018,"2018.2054794520547945","COTS",29,1,"0.03"
"PO","Mackay Whitsunday","Tern Island",2020,"2019.7397260273972602","COTS",28,0,"0.00"
"PO","Mackay Whitsunday","Tern Island",2022,"2022.03561643835616438","COTS",32,0,"0.00"
"PO","Mackay Whitsunday","Tern Island",2023,"2023.09315068493150686","COTS",34,534,"15.71"
"PO","Mackay Whitsunday","Tern Island",2024,"2024.2273972602739726","COTS",30,67,"2.23"
"PO","Mackay Whitsunday","Tern Island",2025,"2025.03561643835616438","COTS",30,18,"0.60"
"PO","Mackay Whitsunday","Tern Island",2026,"2026.09863013698630137","COTS",33,15,"0.45"
