"data_type","domain_category","domain_name","report_year","date","variable","median","lower","upper","project_code","depth","reef_zone","shelf","mean","count_group","series"
"photo-transect","reef","Tern Island","2006","2006.4986301369863014","ALGAE","43.54329006262041","34.82927858334688","52.38055602788045","LTMP","9","_"," ","43.915466216916855","null","9.0m"
"photo-transect","reef","Tern Island","2008","2008.4438356164383562","ALGAE","50.54724594000635","40.62122868759744","58.92906480934636","LTMP","9","_"," ","50.82849641367031","null","9.0m"
"photo-transect","reef","Tern Island","2010","2010.136986301369863","ALGAE","66.89992388135974","57.706201021635074","75.67262771553315","LTMP","9","_"," ","67.19074404527835","null","9.0m"
"photo-transect","reef","Tern Island","2014","2014.3041095890410959","ALGAE","57.16258317179448","48.002727580796936","68.45000540169094","LTMP","9","_"," ","57.51310421522907","null","9.0m"
"photo-transect","reef","Tern Island","2016","2016.21095890410958903","ALGAE","43.07180240704837","34.49081930902621","54.672308721409756","LTMP","9","_"," ","43.49526722652972","null","9.0m"
"photo-transect","reef","Tern Island","2018","2018.2054794520547945","ALGAE","73.77487140683807","65.36049694129278","80.95676612679044","LTMP","9","_"," ","73.92722361175926","null","9.0m"
"photo-transect","reef","Tern Island","2020","2019.736986301369863","ALGAE","69.48537208889293","60.19590777801519","78.11231086548321","LTMP","9","_"," ","69.60660486025006","null","9.0m"
"photo-transect","reef","Tern Island","2023","2023.0958904109589041","ALGAE","60.526464834338434","49.77763838747172","69.77724791656328","LTMP","9","_"," ","60.663885736026266","null","9.0m"
"photo-transect","reef","Tern Island","2024","2024.2273972602739726","ALGAE","72.21324803321885","63.76798850658767","80.05620226333417","LTMP","9","_"," ","72.27676460351377","null","9.0m"
"photo-transect","reef","Tern Island","2025","2025.03561643835616438","ALGAE","81.21744136106604","72.99067109556378","87.86765244521285","LTMP","9","_"," ","81.37771640786663","null","9.0m"
