a_sector,nrm_region,domain_name,year,survey_date,variable,tows,cots,cotsptow
"CA","Wet Tropics","Thetford Reef",1986,"1985.9643835616438357","COTS",47,0,"0.00"
"CA","Wet Tropics","Thetford Reef",1987,"1987.14520547945205478","COTS",50,0,"0.00"
"CA","Wet Tropics","Thetford Reef",1988,"1988.11232876712328767","COTS",42,0,"0.00"
"CA","Wet Tropics","Thetford Reef",1989,"1989.14520547945205478","COTS",39,0,"0.00"
"CA","Wet Tropics","Thetford Reef",1992,"1992.0821917808219178","COTS",38,0,"0.00"
"CA","Wet Tropics","Thetford Reef",1994,"1994.10684931506849316","COTS",38,0,"0.00"
"CA","Wet Tropics","Thetford Reef",1995,"1995.25753424657534246","COTS",34,1,"0.03"
"CA","Wet Tropics","Thetford Reef",1996,"1996.1726027397260274","COTS",34,3,"0.09"
"CA","Wet Tropics","Thetford Reef",1997,"1997.08493150684931507","COTS",37,5,"0.14"
"CA","Wet Tropics","Thetford Reef",1998,"1998.09315068493150686","COTS",40,0,"0.00"
"CA","Wet Tropics","Thetford Reef",1999,"1999.10136986301369863","COTS",36,0,"0.00"
"CA","Wet Tropics","Thetford Reef",2000,"2000.08493150684931507","COTS",42,26,"0.62"
"CA","Wet Tropics","Thetford Reef",2002,"2001.7342465753424657","COTS",36,0,"0.00"
"CA","Wet Tropics","Thetford Reef",2003,"2002.8328767123287671","COTS",39,0,"0.00"
"CA","Wet Tropics","Thetford Reef",2004,"2004.043835616438356165","COTS",41,0,"0.00"
"CA","Wet Tropics","Thetford Reef",2005,"2005.08767123287671233","COTS",44,0,"0.00"
"CA","Wet Tropics","Thetford Reef",2006,"2005.9013698630136986","COTS",40,0,"0.00"
"CA","Wet Tropics","Thetford Reef",2007,"2007.04657534246575343","COTS",36,0,"0.00"
"CA","Wet Tropics","Thetford Reef",2008,"2007.663013698630137","COTS",41,0,"0.00"
"CA","Wet Tropics","Thetford Reef",2009,"2009.00821917808219178","COTS",43,0,"0.00"
"CA","Wet Tropics","Thetford Reef",2010,"2009.9013698630136986","COTS",40,0,"0.00"
"CA","Wet Tropics","Thetford Reef",2012,"2012.14520547945205478","COTS",36,0,"0.00"
"CA","Wet Tropics","Thetford Reef",2013,"2013.0410958904109589","COTS",40,2,"0.05"
"CA","Wet Tropics","Thetford Reef",2015,"2015.32054794520547947","COTS",40,5,"0.12"
"CA","Wet Tropics","Thetford Reef",2016,"2015.9287671232876712","COTS",44,1,"0.02"
"CA","Wet Tropics","Thetford Reef",2017,"2016.7178082191780822","COTS",38,0,"0.00"
"CA","Wet Tropics","Thetford Reef",2018,"2017.9424657534246575","COTS",38,0,"0.00"
"CA","Wet Tropics","Thetford Reef",2019,"2019.3972602739726027","COTS",43,0,"0.00"
"CA","Wet Tropics","Thetford Reef",2020,"2020.12876712328767123","COTS",43,0,"0.00"
"CA","Wet Tropics","Thetford Reef",2021,"2021.06027397260273973","COTS",39,0,"0.00"
"CA","Wet Tropics","Thetford Reef",2022,"2021.7178082191780822","COTS",43,0,"0.00"
"CA","Wet Tropics","Thetford Reef",2023,"2023.16986301369863013","COTS",41,0,"0.00"
"CA","Wet Tropics","Thetford Reef",2024,"2023.6821917808219178","COTS",43,0,"0.00"
"CA","Wet Tropics","Thetford Reef",2025,"2024.7726027397260274","COTS",37,1,"0.03"
