"data_type","domain_category","domain_name","report_year","date","variable","median","lower","upper","project_code","depth","reef_zone","shelf","mean","count_group","series"
"photo-transect","reef","Thetford Reef","1994","1994.10410958904109589","ALGAE","63.65930647438378","56.11422601154696","71.0333143749354","LTMP","9","_"," ","63.67285291968775","null","9.0m"
"photo-transect","reef","Thetford Reef","1995","1995.25753424657534246","ALGAE","60.11913070439704","53.811872668111825","67.98055375222847","LTMP","9","_"," ","60.13861698606817","null","9.0m"
"photo-transect","reef","Thetford Reef","1996","1996.1726027397260274","ALGAE","56.64642474641486","49.17050527935773","63.69664640348055","LTMP","9","_"," ","56.69952990945527","null","9.0m"
"photo-transect","reef","Thetford Reef","1997","1997.08493150684931507","ALGAE","52.21901101295238","45.745557949996794","58.68940305923142","LTMP","9","_"," ","52.26111284192624","null","9.0m"
"photo-transect","reef","Thetford Reef","1998","1998.09315068493150686","ALGAE","45.88052896417997","39.1991838222969","52.95610633064343","LTMP","9","_"," ","45.83723479613215","null","9.0m"
"photo-transect","reef","Thetford Reef","1999","1999.10136986301369863","ALGAE","40.30119937644315","34.83299145987973","47.12055213596102","LTMP","9","_"," ","40.45560977034848","null","9.0m"
"photo-transect","reef","Thetford Reef","2000","2000.08493150684931507","ALGAE","56.851042652977924","49.11044414580787","64.05469627050483","LTMP","9","_"," ","56.98690546151727","null","9.0m"
"photo-transect","reef","Thetford Reef","2002","2001.7342465753424657","ALGAE","77.8293149104212","68.83021026174903","86.0704168064294","LTMP","9","_"," ","77.74379519800088","null","9.0m"
"photo-transect","reef","Thetford Reef","2003","2002.8328767123287671","ALGAE","80.17538890566787","72.13545617404547","87.67340148340172","LTMP","9","_"," ","80.1440698301723","null","9.0m"
"photo-transect","reef","Thetford Reef","2004","2004.043835616438356165","ALGAE","75.47984598293912","67.93904210735538","82.41302442697206","LTMP","9","_"," ","75.51120016545313","null","9.0m"
"photo-transect","reef","Thetford Reef","2005","2005.08767123287671233","ALGAE","75.36135012837171","68.51073431805838","81.58308444322844","LTMP","9","_"," ","75.36162776258683","null","9.0m"
"photo-transect","reef","Thetford Reef","2006","2005.9013698630136986","ALGAE","69.494350384672","62.213020054433365","77.71733441943465","LTMP","9","_"," ","69.71965662759001","null","9.0m"
"photo-transect","reef","Thetford Reef","2007","2007.04657534246575343","ALGAE","64.60888107634013","57.357869446247044","71.45335153661455","LTMP","9","_"," ","64.70167717142677","null","9.0m"
"photo-transect","reef","Thetford Reef","2008","2007.663013698630137","ALGAE","56.37807564759603","49.49851136562444","64.36697089647225","LTMP","9","_"," ","56.612895950462125","null","9.0m"
"photo-transect","reef","Thetford Reef","2009","2009.00821917808219178","ALGAE","46.80761602617378","41.02366053096302","54.1293638507087","LTMP","9","_"," ","46.91325071606467","null","9.0m"
"photo-transect","reef","Thetford Reef","2010","2009.9013698630136986","ALGAE","41.329586473638464","35.40896826028835","47.66082770040058","LTMP","9","_"," ","41.45670235948511","null","9.0m"
"photo-transect","reef","Thetford Reef","2011","2011.0958904109589041","ALGAE","60.14121841014579","52.67453879236383","67.68200291366892","LTMP","9","_"," ","60.28129190244411","null","9.0m"
