"data_type","domain_category","domain_name","report_year","date","variable","median","lower","upper","project_code","depth","reef_zone","shelf","mean","count_group","series"
"photo-transect","reef","Thetford Reef","1994","1994.10410958904109589","HARD CORAL","15.396595702422841","13.756728881234345","17.657398702777375","LTMP","9","_"," ","15.476507072507422","null","9.0m"
"photo-transect","reef","Thetford Reef","1995","1995.25753424657534246","HARD CORAL","18.513950426970208","16.57539698288482","20.628569002521882","LTMP","9","_"," ","18.537511289182053","null","9.0m"
"photo-transect","reef","Thetford Reef","1996","1996.1726027397260274","HARD CORAL","21.874299585439815","19.759662389405204","24.132484241607862","LTMP","9","_"," ","21.891742147455577","null","9.0m"
"photo-transect","reef","Thetford Reef","1997","1997.08493150684931507","HARD CORAL","25.928173595663477","23.81070907435748","28.309344829324562","LTMP","9","_"," ","25.983292931888215","null","9.0m"
"photo-transect","reef","Thetford Reef","1998","1998.09315068493150686","HARD CORAL","29.77368283276722","27.26470936226678","32.67749670615746","LTMP","9","_"," ","29.80890953045496","null","9.0m"
"photo-transect","reef","Thetford Reef","1999","1999.10136986301369863","HARD CORAL","35.441925363831224","32.55034698854793","38.26823291383729","LTMP","9","_"," ","35.50811804228647","null","9.0m"
"photo-transect","reef","Thetford Reef","2000","2000.08493150684931507","HARD CORAL","22.657039130294127","20.317767556568743","24.675233415100042","LTMP","9","_"," ","22.665776599941168","null","9.0m"
"photo-transect","reef","Thetford Reef","2002","2001.7342465753424657","HARD CORAL","5.757972641091175","4.867085080283693","6.74959234084356","LTMP","9","_"," ","5.782633452014693","null","9.0m"
"photo-transect","reef","Thetford Reef","2003","2002.8328767123287671","HARD CORAL","3.798862458621825","3.1850201969052776","4.611899107145391","LTMP","9","_"," ","3.82602959204448","null","9.0m"
"photo-transect","reef","Thetford Reef","2004","2004.043835616438356165","HARD CORAL","5.529788021347555","4.641973193452107","6.4348277817741755","LTMP","9","_"," ","5.545584091516796","null","9.0m"
"photo-transect","reef","Thetford Reef","2005","2005.08767123287671233","HARD CORAL","8.289924333565876","7.128941914128401","9.474542765107499","LTMP","9","_"," ","8.324947106042343","null","9.0m"
"photo-transect","reef","Thetford Reef","2006","2005.9013698630136986","HARD CORAL","11.064991603681575","9.627959484670487","12.393812018150486","LTMP","9","_"," ","11.074310173133021","null","9.0m"
"photo-transect","reef","Thetford Reef","2007","2007.04657534246575343","HARD CORAL","15.890459198968603","14.36032200192478","17.696912002726457","LTMP","9","_"," ","15.934701655958792","null","9.0m"
"photo-transect","reef","Thetford Reef","2008","2007.663013698630137","HARD CORAL","20.49439622488923","18.48042931218156","22.45680304255648","LTMP","9","_"," ","20.562661262324212","null","9.0m"
"photo-transect","reef","Thetford Reef","2009","2009.00821917808219178","HARD CORAL","30.56910745148137","27.94263169595041","33.113186870565585","LTMP","9","_"," ","30.584156304595368","null","9.0m"
"photo-transect","reef","Thetford Reef","2010","2009.9013698630136986","HARD CORAL","34.934980680226886","32.11746172056563","37.707053987728955","LTMP","9","_"," ","34.87300120067934","null","9.0m"
"photo-transect","reef","Thetford Reef","2011","2011.0958904109589041","HARD CORAL","19.259361287998427","17.359669950800075","21.121492487412432","LTMP","9","_"," ","19.297264135200603","null","9.0m"
"photo-transect","reef","Thetford Reef","2012","2012.13972602739726028","HARD CORAL","19.03022517865095","17.145389973974638","21.17792269616344","LTMP","9","_"," ","19.036148378178712","null","9.0m"
"photo-transect","reef","Thetford Reef","2013","2013.0410958904109589","HARD CORAL","20.94183043813241","18.95294243650954","23.212785603491824","LTMP","9","_"," ","20.962657459655663","null","9.0m"
"photo-transect","reef","Thetford Reef","2014","2014.1917808219178082","HARD CORAL","23.569960486068837","21.469224392828714","25.86375866422495","LTMP","9","_"," ","23.626554012137532","null","9.0m"
"photo-transect","reef","Thetford Reef","2015","2015.32054794520547947","HARD CORAL","27.123995291802338","24.640654619818804","29.559270502689483","LTMP","9","_"," ","27.120109650740265","null","9.0m"
"photo-transect","reef","Thetford Reef","2016","2015.9287671232876712","HARD CORAL","30.220576830563182","27.550223287942433","32.72671495366185","LTMP","9","_"," ","30.239679241872828","null","9.0m"
"photo-transect","reef","Thetford Reef","2017","2016.7178082191780822","HARD CORAL","29.098725241702727","26.664001209727456","31.651295991436406","LTMP","9","_"," ","29.086597697733787","null","9.0m"
"photo-transect","reef","Thetford Reef","2018","2017.9452054794520548","HARD CORAL","12.283136346554771","10.97320263918811","13.778284497854182","LTMP","9","_"," ","12.306932284940435","null","9.0m"
"photo-transect","reef","Thetford Reef","2019","2019.3972602739726027","HARD CORAL","16.627320820950843","14.936458837298936","18.52540003764161","LTMP","9","_"," ","16.63595145487427","null","9.0m"
"photo-transect","reef","Thetford Reef","2020","2020.1232876712328767","HARD CORAL","15.855806795174976","13.910652243060422","17.52767367509686","LTMP","9","_"," ","15.860555462393181","null","9.0m"
"photo-transect","reef","Thetford Reef","2021","2021.06027397260273973","HARD CORAL","20.83527508954166","18.789188115487836","22.834899615530144","LTMP","9","_"," ","20.84985701879186","null","9.0m"
"photo-transect","reef","Thetford Reef","2022","2022.29315068493150687","HARD CORAL","20.722429912924234","18.580452428932265","22.61729596241929","LTMP","9","_"," ","20.704742317266387","null","9.0m"
"photo-transect","reef","Thetford Reef","2023","2023.16986301369863013","HARD CORAL","22.61149036875364","20.65480577167354","25.306567542838","LTMP","9","_"," ","22.644295942164547","null","9.0m"
"photo-transect","reef","Thetford Reef","2024","2023.6821917808219178","HARD CORAL","22.05954472685453","19.964643729268005","24.199646319168554","LTMP","9","_"," ","22.09710952033732","null","9.0m"
"photo-transect","reef","Thetford Reef","2025","2024.7726027397260274","HARD CORAL","20.837865466134385","18.900654418288667","23.08267051691534","LTMP","9","_"," ","20.857183958615693","null","9.0m"
