"data_type","domain_category","domain_name","report_year","date","variable","median","lower","upper","project_code","depth","reef_zone","shelf","mean","count_group","series"
"photo-transect","reef","Thetford Reef","1994","1994.10410958904109589","SOFT CORAL","12.227998388630224","10.351526514701014","14.950962711716434","LTMP","9","_"," ","12.375433370150626","null","9.0m"
"photo-transect","reef","Thetford Reef","1995","1995.25753424657534246","SOFT CORAL","14.151571853499428","11.852315908155713","16.671287408044773","LTMP","9","_"," ","14.245284376235723","null","9.0m"
"photo-transect","reef","Thetford Reef","1996","1996.1726027397260274","SOFT CORAL","13.1172312528615","11.105524991397434","15.467245009811533","LTMP","9","_"," ","13.235885631413149","null","9.0m"
"photo-transect","reef","Thetford Reef","1997","1997.08493150684931507","SOFT CORAL","15.174184247577916","13.241458305786061","17.925809883805652","LTMP","9","_"," ","15.276512552580549","null","9.0m"
"photo-transect","reef","Thetford Reef","1998","1998.09315068493150686","SOFT CORAL","17.53367842547227","15.012503590824883","20.69063141105808","LTMP","9","_"," ","17.644561075088554","null","9.0m"
"photo-transect","reef","Thetford Reef","1999","1999.10136986301369863","SOFT CORAL","17.382322658808253","15.08776848027867","20.385695362091212","LTMP","9","_"," ","17.538375283046612","null","9.0m"
"photo-transect","reef","Thetford Reef","2000","2000.08493150684931507","SOFT CORAL","15.539104468943904","13.341579020025062","18.07947952329924","LTMP","9","_"," ","15.642751242126392","null","9.0m"
"photo-transect","reef","Thetford Reef","2002","2001.7342465753424657","SOFT CORAL","13.258765905192027","11.52508988734955","15.66393552379293","LTMP","9","_"," ","13.325468118132525","null","9.0m"
"photo-transect","reef","Thetford Reef","2003","2002.8328767123287671","SOFT CORAL","11.889120313054732","10.263670910567424","14.050246405269418","LTMP","9","_"," ","11.9617508745591","null","9.0m"
"photo-transect","reef","Thetford Reef","2004","2004.043835616438356165","SOFT CORAL","12.47431975713483","10.65316180514394","14.603515970191447","LTMP","9","_"," ","12.509267800577039","null","9.0m"
"photo-transect","reef","Thetford Reef","2005","2005.08767123287671233","SOFT CORAL","12.78593581283754","10.910339245133867","14.96076042165894","LTMP","9","_"," ","12.827123235310086","null","9.0m"
"photo-transect","reef","Thetford Reef","2006","2005.9013698630136986","SOFT CORAL","14.16337221133584","12.057383436999737","16.464628849390117","LTMP","9","_"," ","14.249885082996139","null","9.0m"
"photo-transect","reef","Thetford Reef","2007","2007.04657534246575343","SOFT CORAL","15.533947257424519","13.713398634154617","18.26294541027257","LTMP","9","_"," ","15.663788613143925","null","9.0m"
"photo-transect","reef","Thetford Reef","2008","2007.663013698630137","SOFT CORAL","17.79631139712495","15.383514588271893","20.77239203516069","LTMP","9","_"," ","17.89920591080108","null","9.0m"
