data_type,domain_category,domain_name,report_year,date,variable,median,lower,upper,project_code,depth,reef_zone,shelf,mean,count_group,series
"fish","reef","Turner Cay",1995,"1994.8657534246575342","Small fishes",105.96210519265601,87.84283967651483,125.76757068694856,"LTMP",9,"_"," ",106.55995321578199,"restricted","9.0m"
"fish","reef","Turner Cay",1996,"1995.8958904109589041","Small fishes",103.53503649140983,86.42651748654976,124.1207137598722,"LTMP",9,"_"," ",104.41616976616788,"restricted","9.0m"
"fish","reef","Turner Cay",1997,"1996.852054794520548","Small fishes",85.63543193926884,68.94493944843056,101.95388074320601,"LTMP",9,"_"," ",86.04282046268308,"restricted","9.0m"
"fish","reef","Turner Cay",1998,"1997.9095890410958904","Small fishes",86.41915112313006,71.5738503421077,100.36437172587536,"LTMP",9,"_"," ",86.62288453410022,"restricted","9.0m"
"fish","reef","Turner Cay",1999,"1998.9342465753424658","Small fishes",68.33726563663996,57.91192795710619,81.7636168028366,"LTMP",9,"_"," ",68.73586856231036,"restricted","9.0m"
"fish","reef","Turner Cay",2000,"1999.8931506849315068","Small fishes",96.44272073231248,80.08849131053302,112.71951792357707,"LTMP",9,"_"," ",96.55803192246869,"restricted","9.0m"
"fish","reef","Turner Cay",2001,"2000.6767123287671233","Small fishes",93.92452846653377,76.70882617684119,111.08447892305328,"LTMP",9,"_"," ",94.41380189897015,"restricted","9.0m"
"fish","reef","Turner Cay",2002,"2001.6246575342465753","Small fishes",107.6748563813293,88.32979325744365,126.63845537548167,"LTMP",9,"_"," ",107.88843509990157,"restricted","9.0m"
"fish","reef","Turner Cay",2003,"2002.6876712328767123","Small fishes",116.20457696442729,96.90575257848776,141.4732179154446,"LTMP",9,"_"," ",116.78888505849899,"restricted","9.0m"
"fish","reef","Turner Cay",2004,"2003.8027397260273973","Small fishes",67.67198050706308,57.353267837054396,81.62004982403079,"LTMP",9,"_"," ",68.08904956704737,"restricted","9.0m"
"fish","reef","Turner Cay",2005,"2004.9068493150684932","Small fishes",44.96945566410901,37.103419875133476,52.67069825090844,"LTMP",9,"_"," ",45.14960448087156,"restricted","9.0m"
"fish","reef","Turner Cay",2007,"2006.8602739726027397","Small fishes",66.62872548171254,54.45551727839552,78.81985011255709,"LTMP",9,"_"," ",66.79290454743688,"restricted","9.0m"
"fish","reef","Turner Cay",2009,"2008.9178082191780822","Small fishes",79.37287969266805,66.72331076646071,95.0627601021932,"LTMP",9,"_"," ",79.94858896023754,"restricted","9.0m"
"fish","reef","Turner Cay",2011,"2010.9342465753424658","Small fishes",90.44629728524008,76.03882843491402,108.32355424255462,"LTMP",9,"_"," ",91.16177936539408,"restricted","9.0m"
"fish","reef","Turner Cay",2013,"2012.663013698630137","Small fishes",72.87524065468176,60.30437826633063,86.60210530456152,"LTMP",9,"_"," ",73.16566343501063,"restricted","9.0m"
"fish","reef","Turner Cay",2015,"2014.6493150684931507","Small fishes",103.08983868927707,84.05858604844921,122.85286960119858,"LTMP",9,"_"," ",103.60723768046408,"restricted","9.0m"
"fish","reef","Turner Cay",2017,"2017.0684931506849315","Small fishes",119.14748853333427,95.99738329182489,142.5440698330661,"LTMP",9,"_"," ",119.63051831682958,"restricted","9.0m"
"fish","reef","Turner Cay",2019,"2018.7397260273972602","Small fishes",85.49186698200762,69.72093423886163,101.90705171609338,"LTMP",9,"_"," ",85.86081605411508,"restricted","9.0m"
"fish","reef","Turner Cay",2021,"2020.6794520547945205","Small fishes",53.756927480144505,45.255650823625345,64.42159095947298,"LTMP",9,"_"," ",54.05476346236572,"restricted","9.0m"
"fish","reef","Turner Cay",2022,"2021.9315068493150684","Small fishes",40.23276094915896,34.39971218479295,48.58039368633386,"LTMP",9,"_"," ",40.50473871264952,"restricted","9.0m"
"fish","reef","Turner Cay",2022,"2021.9315068493150684","Small fishes",52.046633295422,41.98182345798529,62.50601858104043,"LTMP",9,"_"," ",52.267367578316794,"expanded","9.0m"
"fish","reef","Turner Cay",2023,"2023.38082191780821917","Small fishes",74.15363471508854,60.64687306146148,86.65419298386969,"LTMP",9,"_"," ",74.4410020986961,"restricted","9.0m"
"fish","reef","Turner Cay",2023,"2023.38082191780821917","Small fishes",85.36971390287133,65.87552663080595,104.40674926988196,"LTMP",9,"_"," ",85.99841668366247,"expanded","9.0m"
"fish","reef","Turner Cay",2024,"2024.33424657534246577","Small fishes",71.48483282942004,59.67043856273632,85.26871637384775,"LTMP",9,"_"," ",72.01815002541373,"restricted","9.0m"
"fish","reef","Turner Cay",2024,"2024.33424657534246577","Small fishes",92.7679983509488,75.05415376834756,114.19823110326782,"LTMP",9,"_"," ",93.29155158526692,"expanded","9.0m"
"fish","reef","Turner Cay",2025,"2025.019178082191780823","Small fishes",90.61085551798683,73.861853001368,109.00049470892016,"LTMP",9,"_"," ",91.36650084197484,"restricted","9.0m"
"fish","reef","Turner Cay",2025,"2025.019178082191780823","Small fishes",97.33369097432087,75.72720034410261,119.35215157983924,"LTMP",9,"_"," ",97.4643876596438,"expanded","9.0m"
"fish","reef","Turner Cay",2026,"2025.8575342465753425","Small fishes",78.31491598416028,63.71817129626031,92.27097336203852,"LTMP",9,"_"," ",78.65368358062469,"restricted","9.0m"
"fish","reef","Turner Cay",2026,"2025.8575342465753425","Small fishes",90.82734473357164,70.0617793536979,110.03474161458162,"LTMP",9,"_"," ",91.39503007299187,"expanded","9.0m"
