"data_type","domain_category","domain_name","report_year","date","variable","median","lower","upper","project_code","depth","reef_zone","shelf","mean","count_group","series"
"juvenile","reef","Turner Cay","2007","2006.8602739726027397","ABUNDANCE","19.591478297405825","15.67164061078933","23.942448306614736","LTMP","9","_"," ","19.713216714605657","null","9.0m"
"juvenile","reef","Turner Cay","2009","2008.9178082191780822","ABUNDANCE","29.155932383447045","24.3927723780196","36.3427401883666","LTMP","9","_"," ","29.428806341237948","null","9.0m"
"juvenile","reef","Turner Cay","2011","2010.9342465753424658","ABUNDANCE","9.590487497068276","7.766309725994023","11.619766669618281","LTMP","9","_"," ","9.646617971536365","null","9.0m"
"juvenile","reef","Turner Cay","2013","2012.663013698630137","ABUNDANCE","29.226865415342374","23.342959931702","34.99428292464781","LTMP","9","_"," ","29.480886280962764","null","9.0m"
"juvenile","reef","Turner Cay","2015","2014.6493150684931507","ABUNDANCE","46.938861457009295","39.5603376996817","56.12577504908426","LTMP","9","_"," ","47.34209899053661","null","9.0m"
"juvenile","reef","Turner Cay","2017","2017.0684931506849315","ABUNDANCE","42.936620307478876","35.601183670023104","51.524985017395615","LTMP","9","_"," ","43.074378135955904","null","9.0m"
"juvenile","reef","Turner Cay","2019","2018.7397260273972602","ABUNDANCE","18.67119625901885","15.518328702815033","23.047981808960532","LTMP","9","_"," ","18.804747416145407","null","9.0m"
"juvenile","reef","Turner Cay","2021","2020.6794520547945205","ABUNDANCE","14.514466671734986","11.744196656340643","17.47725903249172","LTMP","9","_"," ","14.567372115578806","null","9.0m"
"juvenile","reef","Turner Cay","2022","2021.9315068493150684","ABUNDANCE","31.083247077143515","25.184279148392413","36.601830156980036","LTMP","9","_"," ","31.193314066871267","null","9.0m"
"juvenile","reef","Turner Cay","2023","2023.38082191780821917","ABUNDANCE","30.402411368386815","25.016183785188684","35.94571903822022","LTMP","9","_"," ","30.522146846275362","null","9.0m"
"juvenile","reef","Turner Cay","2024","2024.33424657534246577","ABUNDANCE","18.129990920434196","15.121464758831685","21.650050994770954","LTMP","9","_"," ","18.210596772677185","null","9.0m"
"juvenile","reef","Turner Cay","2025","2025.019178082191780823","ABUNDANCE","16.634687592980477","13.753874270603006","19.657789141329573","LTMP","9","_"," ","16.693612197029772","null","9.0m"
