data_type,domain_category,domain_name,report_year,date,variable,median,lower,upper,project_code,depth,reef_zone,shelf,mean,count_group,series
"manta","reef","Turner Cay",1994,"1994.3835616438356164","HC",27.639282139249875,25.152002091025512,30.572641234706367,"LTMP",9,"_"," ",27.651094980934232,"null","9.0m"
"manta","reef","Turner Cay",1995,"1994.863013698630137","HC",38.87158860612644,35.885082646653345,42.33736937508349,"LTMP",9,"_"," ",38.840804154541715,"null","9.0m"
"manta","reef","Turner Cay",1996,"1995.8958904109589041","HC",37.64621380754474,34.64555204637269,40.84167643653657,"LTMP",9,"_"," ",37.684450805368726,"null","9.0m"
"manta","reef","Turner Cay",1997,"1996.852054794520548","HC",38.92783960107866,36.01069568150445,42.43869556039415,"LTMP",9,"_"," ",38.88173171491334,"null","9.0m"
"manta","reef","Turner Cay",1998,"1997.9123287671232877","HC",40.675468490997666,37.36756423582529,44.305782521259154,"LTMP",9,"_"," ",40.68001391507801,"null","9.0m"
"manta","reef","Turner Cay",1999,"1998.9342465753424658","HC",40.05352878028736,37.30454725860782,44.02752568691147,"LTMP",9,"_"," ",40.115692752258774,"null","9.0m"
"manta","reef","Turner Cay",2000,"1999.8958904109589041","HC",47.667756989633546,44.025254807771134,50.774845886541556,"LTMP",9,"_"," ",47.60606772775625,"null","9.0m"
"manta","reef","Turner Cay",2001,"2000.6767123287671233","HC",42.670599533502276,39.450507738938114,46.06861983970488,"LTMP",9,"_"," ",42.792473620159655,"null","9.0m"
"manta","reef","Turner Cay",2002,"2001.6246575342465753","HC",15.83462631118015,13.880430819888625,18.123481077925117,"LTMP",9,"_"," ",15.856186585759374,"null","9.0m"
"manta","reef","Turner Cay",2003,"2002.6876712328767123","HC",12.611461549599609,10.835161108007263,14.892061377763477,"LTMP",9,"_"," ",12.63566516556035,"null","9.0m"
"manta","reef","Turner Cay",2004,"2003.8027397260273973","HC",9.564158307838857,8.084481461088412,11.33498296665489,"LTMP",9,"_"," ",9.627138292987246,"null","9.0m"
"manta","reef","Turner Cay",2005,"2004.9095890410958904","HC",11.267536162064873,9.80607166515941,13.127531951657964,"LTMP",9,"_"," ",11.325154946285036,"null","9.0m"
"manta","reef","Turner Cay",2006,"2006.024657534246575342","HC",8.902866830242695,7.645443739728094,10.403640946987943,"LTMP",9,"_"," ",8.914503118556281,"null","9.0m"
"manta","reef","Turner Cay",2007,"2006.863013698630137","HC",12.457755870217579,10.540377345117978,14.326556275300584,"LTMP",9,"_"," ",12.471544035597944,"null","9.0m"
"manta","reef","Turner Cay",2008,"2008.0958904109589041","HC",12.211420021888426,10.719262847836465,14.04129217132454,"LTMP",9,"_"," ",12.22991905089521,"null","9.0m"
"manta","reef","Turner Cay",2009,"2008.9178082191780822","HC",20.3351307283928,18.133400182895084,22.91691508635083,"LTMP",9,"_"," ",20.409769820543623,"null","9.0m"
"manta","reef","Turner Cay",2011,"2010.9342465753424658","HC",15.301323669266681,13.430997953782207,17.510980683252388,"LTMP",9,"_"," ",15.345866981958029,"null","9.0m"
"manta","reef","Turner Cay",2013,"2012.663013698630137","HC",20.830308489973362,18.660479736012515,23.51676282862441,"LTMP",9,"_"," ",20.873673992150117,"null","9.0m"
"manta","reef","Turner Cay",2015,"2014.6493150684931507","HC",34.9153141572742,32.1114980122385,37.89010515100339,"LTMP",9,"_"," ",34.922045036690896,"null","9.0m"
"manta","reef","Turner Cay",2017,"2017.06301369863013699","HC",53.24266269477474,50.29549074091675,56.31069180679151,"LTMP",9,"_"," ",53.231553351314055,"null","9.0m"
"manta","reef","Turner Cay",2019,"2018.7424657534246575","HC",9.360174327763513,7.965661360023879,10.62784549117057,"LTMP",9,"_"," ",9.328532275333526,"null","9.0m"
"manta","reef","Turner Cay",2021,"2020.6684931506849315","HC",12.895542190014858,11.240381262385446,14.667692746131875,"LTMP",9,"_"," ",12.889552687910752,"null","9.0m"
"manta","reef","Turner Cay",2022,"2021.9315068493150684","HC",12.963925145173222,11.183949417087486,14.643559912562013,"LTMP",9,"_"," ",13.00142172350213,"null","9.0m"
"manta","reef","Turner Cay",2023,"2023.38082191780821917","HC",12.255708497304127,10.473922690045208,14.200851552269295,"LTMP",9,"_"," ",12.249464552730565,"null","9.0m"
"manta","reef","Turner Cay",2024,"2024.33424657534246577","HC",21.09204161727245,18.88422313875899,23.814459281649103,"LTMP",9,"_"," ",21.107972659363682,"null","9.0m"
"manta","reef","Turner Cay",2025,"2025.019178082191780823","HC",14.41472358905131,12.35750706842204,16.468271161179104,"LTMP",9,"_"," ",14.408790809187156,"null","9.0m"
"manta","reef","Turner Cay",2026,"2025.8575342465753425","HC",19.02691659703431,16.831811876697117,21.48284645907783,"LTMP",9,"_"," ",19.048055545562807,"null","9.0m"
