data_type,domain_category,domain_name,report_year,date,variable,median,lower,upper,project_code,depth,reef_zone,shelf,mean,count_group,series
"fish","reef","Wade Reef",2006,"2006.01643835616438356","Small fishes",106.04672804079382,96.63843469628432,119.67995522470338,"LTMP",9,"_"," ",106.2700061361076,"restricted","9.0m"
"fish","reef","Wade Reef",2008,"2007.947945205479452","Small fishes",180.2321129265635,165.21538526488285,198.34645281495662,"LTMP",9,"_"," ",180.33930290228176,"restricted","9.0m"
"fish","reef","Wade Reef",2010,"2010.0410958904109589","Small fishes",201.36650860431416,183.68758572764665,219.96919645840532,"LTMP",9,"_"," ",201.41754366042667,"restricted","9.0m"
"fish","reef","Wade Reef",2012,"2012.019178082191780823","Small fishes",175.3168338998866,159.51250361352234,191.18957398715094,"LTMP",9,"_"," ",175.40364252345182,"restricted","9.0m"
"fish","reef","Wade Reef",2014,"2013.8931506849315068","Small fishes",204.2760309770197,186.36195536302003,222.78632866194297,"LTMP",9,"_"," ",204.31272881670571,"restricted","9.0m"
"fish","reef","Wade Reef",2016,"2016.049315068493150684","Small fishes",152.17072458599847,136.96768056511752,165.47925182382542,"LTMP",9,"_"," ",152.158838722799,"restricted","9.0m"
"fish","reef","Wade Reef",2018,"2018.0821917808219178","Small fishes",323.38541527821474,295.75477466368693,351.6961800927766,"LTMP",9,"_"," ",323.87118928534585,"restricted","9.0m"
"fish","reef","Wade Reef",2020,"2020.043835616438356165","Small fishes",120.35879212488277,108.90124724930756,132.75653131104104,"LTMP",9,"_"," ",120.42940742485197,"restricted","9.0m"
"fish","reef","Wade Reef",2022,"2021.9397260273972603","Small fishes",115.1275127015604,104.2144368919236,127.27637373946352,"LTMP",9,"_"," ",115.15456985148582,"restricted","9.0m"
"fish","reef","Wade Reef",2022,"2021.9397260273972603","Small fishes",166.54660326832152,149.71228375150878,185.08618139090763,"LTMP",9,"_"," ",166.88652983343493,"expanded","9.0m"
"fish","reef","Wade Reef",2023,"2022.6821917808219178","Small fishes",127.95904866412147,115.59316509003564,139.7001967780033,"LTMP",9,"_"," ",127.94653309598024,"restricted","9.0m"
"fish","reef","Wade Reef",2023,"2022.6821917808219178","Small fishes",171.4342194128767,152.70685335407012,189.75146929356129,"LTMP",9,"_"," ",171.54414487819565,"expanded","9.0m"
"fish","reef","Wade Reef",2024,"2023.7589041095890411","Small fishes",256.8075392004502,233.41243621488758,277.9107023174283,"LTMP",9,"_"," ",257.00227557308705,"restricted","9.0m"
"fish","reef","Wade Reef",2024,"2023.7589041095890411","Small fishes",294.0569128388713,263.28372992806766,322.95170740046296,"LTMP",9,"_"," ",293.8650793859649,"expanded","9.0m"
"fish","reef","Wade Reef",2026,"2026.06301369863013699","Small fishes",265.46794505102,241.9086662158937,288.6510455679295,"LTMP",9,"_"," ",265.9119828339069,"restricted","9.0m"
"fish","reef","Wade Reef",2026,"2026.06301369863013699","Small fishes",310.4518042162419,281.2527308634556,342.1990857919316,"LTMP",9,"_"," ",310.56321250985536,"expanded","9.0m"
