"data_type","domain_category","domain_name","report_year","date","variable","median","lower","upper","project_code","depth","reef_zone","shelf","mean","count_group","series"
"photo-transect","reef","Wade Reef","2006","2006.01643835616438356","SOFT CORAL","15.952166359531542","11.563169307271924","19.94034485180064","LTMP","9","_"," ","15.89797963898354","null","9.0m"
"photo-transect","reef","Wade Reef","2008","2007.947945205479452","SOFT CORAL","15.76471259131232","11.457307466844938","19.9513754658137","LTMP","9","_"," ","15.847974014017987","null","9.0m"
"photo-transect","reef","Wade Reef","2010","2010.0410958904109589","SOFT CORAL","17.00926391047494","12.563968255864033","21.594380259415313","LTMP","9","_"," ","17.096474942232657","null","9.0m"
"photo-transect","reef","Wade Reef","2014","2013.8931506849315068","SOFT CORAL","17.814771932082373","12.901682632883968","22.84819870453717","LTMP","9","_"," ","17.844699465495886","null","9.0m"
"photo-transect","reef","Wade Reef","2016","2016.049315068493150684","SOFT CORAL","16.213538315090094","11.531394160936523","20.129234335414324","LTMP","9","_"," ","16.216985190374718","null","9.0m"
"photo-transect","reef","Wade Reef","2018","2018.0821917808219178","SOFT CORAL","16.926830802452557","12.608069949892291","21.472150616238313","LTMP","9","_"," ","17.003157803077258","null","9.0m"
"photo-transect","reef","Wade Reef","2020","2020.043835616438356165","SOFT CORAL","14.300934772659746","10.30187952323098","17.99666711026019","LTMP","9","_"," ","14.323817627989582","null","9.0m"
"photo-transect","reef","Wade Reef","2022","2021.9397260273972603","SOFT CORAL","14.738791316802596","10.801919423087861","18.755360585216366","LTMP","9","_"," ","14.79784635617294","null","9.0m"
"photo-transect","reef","Wade Reef","2023","2022.6821917808219178","SOFT CORAL","15.125973149023206","10.998597178228922","19.17456191616939","LTMP","9","_"," ","15.174839526628734","null","9.0m"
"photo-transect","reef","Wade Reef","2024","2023.7589041095890411","SOFT CORAL","16.165250354785233","11.778827449656303","20.78052313239513","LTMP","9","_"," ","16.27067638825568","null","9.0m"
"photo-transect","reef","Wade Reef","2025","2024.873972602739726","SOFT CORAL","9.135140661873336","6.417670876687416","11.636468599748362","LTMP","9","_"," ","9.19040265374615","null","9.0m"
