data_type,domain_category,domain_name,report_year,date,variable,median,lower,upper,project_code,depth,reef_zone,shelf,mean,count_group,series
"fish","reef","Yonge Reef",1995,"1994.8","Herbivores",55.55887878327804,49.54700978958164,61.24517068300115,"LTMP",9,"_"," ",55.75746231149217,"restricted","9.0m"
"fish","reef","Yonge Reef",1996,"1995.7753424657534247","Herbivores",56.47270109723472,50.64003630205842,62.41486127582099,"LTMP",9,"_"," ",56.52576432372897,"restricted","9.0m"
"fish","reef","Yonge Reef",1997,"1996.8136986301369863","Herbivores",47.94217697110185,42.35780305729853,53.03592942731426,"LTMP",9,"_"," ",47.98046618127433,"restricted","9.0m"
"fish","reef","Yonge Reef",1998,"1997.7808219178082192","Herbivores",47.53346862666817,42.337891773537976,52.72310087813027,"LTMP",9,"_"," ",47.573764203403314,"restricted","9.0m"
"fish","reef","Yonge Reef",1999,"1998.7726027397260274","Herbivores",38.62313777035608,34.22849832211353,43.22832235049108,"LTMP",9,"_"," ",38.684077196663175,"restricted","9.0m"
"fish","reef","Yonge Reef",2000,"1999.7917808219178082","Herbivores",42.410736005715094,37.801051011679206,47.37492069284391,"LTMP",9,"_"," ",42.402306578574944,"restricted","9.0m"
"fish","reef","Yonge Reef",2001,"2000.547945205479452","Herbivores",30.359957516430576,26.383602186545016,34.48323474796857,"LTMP",9,"_"," ",30.37173710564698,"restricted","9.0m"
"fish","reef","Yonge Reef",2002,"2001.5123287671232877","Herbivores",32.43533900509089,28.5904123035726,36.52044706646386,"LTMP",9,"_"," ",32.52061867013539,"restricted","9.0m"
"fish","reef","Yonge Reef",2003,"2002.5671232876712329","Herbivores",42.72058370958944,38.392020684690166,48.255918551214194,"LTMP",9,"_"," ",42.90531331136536,"restricted","9.0m"
"fish","reef","Yonge Reef",2004,"2003.6438356164383562","Herbivores",40.8795594571952,36.35726536664624,45.615171026178,"LTMP",9,"_"," ",40.91894343055934,"restricted","9.0m"
"fish","reef","Yonge Reef",2005,"2004.663013698630137","Herbivores",60.200002118151076,53.37883961354387,66.61910560692894,"LTMP",9,"_"," ",60.342459415877336,"restricted","9.0m"
"fish","reef","Yonge Reef",2007,"2006.7917808219178082","Herbivores",64.36618072855971,57.39234886193996,71.22146638280518,"LTMP",9,"_"," ",64.4630290445878,"restricted","9.0m"
"fish","reef","Yonge Reef",2009,"2008.8410958904109589","Herbivores",65.93650007664311,59.43507645423591,72.94382073076031,"LTMP",9,"_"," ",65.96862158639196,"restricted","9.0m"
"fish","reef","Yonge Reef",2011,"2010.821917808219178","Herbivores",54.98727113672209,49.65194909270261,60.96284908922506,"LTMP",9,"_"," ",55.135246996437516,"restricted","9.0m"
"fish","reef","Yonge Reef",2013,"2012.7780821917808219","Herbivores",57.76744646063548,52.186873838396686,64.09918616487045,"LTMP",9,"_"," ",57.832049323415845,"restricted","9.0m"
"fish","reef","Yonge Reef",2015,"2014.9041095890410958","Herbivores",54.40864287012777,48.82462769578746,60.90618494322672,"LTMP",9,"_"," ",54.6561179047309,"restricted","9.0m"
"fish","reef","Yonge Reef",2017,"2016.6712328767123288","Herbivores",54.098727923772394,47.95271576870324,59.93602259373213,"LTMP",9,"_"," ",54.164459076515826,"restricted","9.0m"
"fish","reef","Yonge Reef",2019,"2018.9232876712328767","Herbivores",65.08475376985453,59.01954494512945,72.3823786681699,"LTMP",9,"_"," ",65.23339183937517,"restricted","9.0m"
"fish","reef","Yonge Reef",2021,"2020.8082191780821918","Herbivores",56.76409461540632,51.5560215199345,63.42026836395844,"LTMP",9,"_"," ",56.84934667767412,"restricted","9.0m"
"fish","reef","Yonge Reef",2022,"2021.6986301369863014","Herbivores",73.50672432714488,66.87769107509665,81.48748274250391,"LTMP",9,"_"," ",73.59070687041482,"restricted","9.0m"
"fish","reef","Yonge Reef",2022,"2021.6986301369863014","Herbivores",73.5509140033866,64.03401322691104,84.64226303619792,"LTMP",9,"_"," ",73.79572910925243,"expanded","9.0m"
"fish","reef","Yonge Reef",2023,"2022.8054794520547945","Herbivores",62.759850980227796,56.62846579264304,69.2761179436611,"LTMP",9,"_"," ",62.88800893664622,"restricted","9.0m"
"fish","reef","Yonge Reef",2023,"2022.8054794520547945","Herbivores",61.628445037323615,53.68719508002549,71.09034018040974,"LTMP",9,"_"," ",61.55696670541268,"expanded","9.0m"
"fish","reef","Yonge Reef",2024,"2024.08767123287671233","Herbivores",102.09303972382153,92.13052546672084,111.20565352776086,"LTMP",9,"_"," ",102.37288400448024,"restricted","9.0m"
"fish","reef","Yonge Reef",2024,"2024.08767123287671233","Herbivores",99.47831847098692,87.48474169772734,114.90839259390134,"LTMP",9,"_"," ",99.67113340464469,"expanded","9.0m"
"fish","reef","Yonge Reef",2025,"2024.726027397260274","Herbivores",51.305649041712726,45.58779688338317,56.82746778429197,"LTMP",9,"_"," ",51.37140858192479,"restricted","9.0m"
"fish","reef","Yonge Reef",2025,"2024.726027397260274","Herbivores",50.182522297153604,43.51538451425887,58.26386620310842,"LTMP",9,"_"," ",50.445181300106206,"expanded","9.0m"
