"data_type","domain_category","domain_name","report_year","date","variable","median","lower","upper","project_code","depth","reef_zone","shelf","mean","count_group","series"
"juvenile","reef","Yonge Reef","2007","2006.7917808219178082","ABUNDANCE","16.029459918890637","14.186032643649321","17.964118037788804","LTMP","9","_"," ","16.06291952095916","null","9.0m"
"juvenile","reef","Yonge Reef","2009","2008.8410958904109589","ABUNDANCE","19.98718217793166","17.75057844725491","22.5785722868139","LTMP","9","_"," ","20.03046803350938","null","9.0m"
"juvenile","reef","Yonge Reef","2011","2010.821917808219178","ABUNDANCE","26.96236174122427","24.44870988884511","29.876856321323732","LTMP","9","_"," ","26.997204473479883","null","9.0m"
"juvenile","reef","Yonge Reef","2013","2012.7780821917808219","ABUNDANCE","25.176065574517988","23.11009705546154","27.800302313648324","LTMP","9","_"," ","25.226443376339194","null","9.0m"
"juvenile","reef","Yonge Reef","2015","2014.9041095890410958","ABUNDANCE","33.49389918498106","31.1755359812242","36.0860654697736","LTMP","9","_"," ","33.54953602886174","null","9.0m"
"juvenile","reef","Yonge Reef","2017","2016.6712328767123288","ABUNDANCE","12.432014736840717","10.914709947331012","13.738041739906231","LTMP","9","_"," ","12.424416097692898","null","9.0m"
"juvenile","reef","Yonge Reef","2019","2018.9232876712328767","ABUNDANCE","16.52606764523251","14.825805205169068","18.20804673999567","LTMP","9","_"," ","16.5318866850253","null","9.0m"
"juvenile","reef","Yonge Reef","2021","2020.8082191780821918","ABUNDANCE","15.123204420643447","13.517579081045225","16.978555333627458","LTMP","9","_"," ","15.170672757201427","null","9.0m"
"juvenile","reef","Yonge Reef","2022","2021.6986301369863014","ABUNDANCE","13.041088050675985","11.302789751720319","14.752289492353627","LTMP","9","_"," ","13.074632353135488","null","9.0m"
"juvenile","reef","Yonge Reef","2023","2022.8054794520547945","ABUNDANCE","19.87909660463105","17.687887254627693","22.059754898269738","LTMP","9","_"," ","19.899226536691106","null","9.0m"
"juvenile","reef","Yonge Reef","2024","2024.08767123287671233","ABUNDANCE","22.76092180301268","20.43370897806631","25.250045057179214","LTMP","9","_"," ","22.746729815560506","null","9.0m"
"juvenile","reef","Yonge Reef","2025","2024.726027397260274","ABUNDANCE","23.909393377539164","21.571623180519833","26.80833264253104","LTMP","9","_"," ","23.91360153984672","null","9.0m"
