"data_type","domain_category","domain_name","report_year","date","variable","median","lower","upper","project_code","depth","reef_zone","shelf","mean","count_group","series"
"photo-transect","reef","Yonge Reef","1993","1993.3835616438356164","SOFT CORAL","1.5663502624308614","0.7132299624293167","2.961081714691057","LTMP","9","_"," ","1.6689116793235488","null","9.0m"
"photo-transect","reef","Yonge Reef","1994","1993.8054794520547945","SOFT CORAL","3.2178640071321283","1.3299793333516856","5.4967968186620695","LTMP","9","_"," ","3.3880051986491857","null","9.0m"
"photo-transect","reef","Yonge Reef","1995","1994.8","SOFT CORAL","3.438470602142135","1.6117644848178112","5.990134309259002","LTMP","9","_"," ","3.595399024711111","null","9.0m"
"photo-transect","reef","Yonge Reef","1996","1995.7753424657534247","SOFT CORAL","2.6785016211327104","1.1808546763026901","4.773991485614417","LTMP","9","_"," ","2.8219149757887445","null","9.0m"
"photo-transect","reef","Yonge Reef","1997","1996.8164383561643835","SOFT CORAL","4.173330614214301","1.7631981066720999","7.172655521579502","LTMP","9","_"," ","4.395586481834964","null","9.0m"
"photo-transect","reef","Yonge Reef","1998","1997.7808219178082192","SOFT CORAL","5.044159502242655","2.551107293106133","8.916147972995812","LTMP","9","_"," ","5.2863515493081765","null","9.0m"
"photo-transect","reef","Yonge Reef","1999","1998.7726027397260274","SOFT CORAL","3.8610633340988425","1.7198403637005737","6.761569555229303","LTMP","9","_"," ","4.051676387401174","null","9.0m"
"photo-transect","reef","Yonge Reef","2000","1999.7917808219178082","SOFT CORAL","3.289534178930118","1.538788493704577","5.716918432144938","LTMP","9","_"," ","3.498664494793849","null","9.0m"
"photo-transect","reef","Yonge Reef","2001","2000.547945205479452","SOFT CORAL","3.0928185147658964","1.4773058770067782","5.72575784097144","LTMP","9","_"," ","3.2356380168099337","null","9.0m"
"photo-transect","reef","Yonge Reef","2002","2001.5123287671232877","SOFT CORAL","3.1431976679044906","1.23140552301711","5.427999569392529","LTMP","9","_"," ","3.2972586885073407","null","9.0m"
"photo-transect","reef","Yonge Reef","2003","2002.5671232876712329","SOFT CORAL","3.1044592100511283","1.4139553772088798","5.709933500615043","LTMP","9","_"," ","3.29661107071244","null","9.0m"
"photo-transect","reef","Yonge Reef","2004","2003.6438356164383562","SOFT CORAL","2.7389653759876214","1.257244355670057","4.821703265916557","LTMP","9","_"," ","2.8959032264835627","null","9.0m"
"photo-transect","reef","Yonge Reef","2005","2004.663013698630137","SOFT CORAL","1.723775215611318","0.6526775927518663","3.0115745055603926","LTMP","9","_"," ","1.8018472404547539","null","9.0m"
"photo-transect","reef","Yonge Reef","2007","2006.7917808219178082","SOFT CORAL","1.7376431301953539","0.7705909242437214","3.108936716931425","LTMP","9","_"," ","1.8255131022871869","null","9.0m"
"photo-transect","reef","Yonge Reef","2009","2008.8410958904109589","SOFT CORAL","2.93680256283432","1.2742754561164318","5.215709808645149","LTMP","9","_"," ","3.1390604823464083","null","9.0m"
"photo-transect","reef","Yonge Reef","2011","2010.821917808219178","SOFT CORAL","2.8636269122545475","1.3392516179337823","5.135004525549434","LTMP","9","_"," ","3.021991436067348","null","9.0m"
"photo-transect","reef","Yonge Reef","2013","2012.7780821917808219","SOFT CORAL","2.279140011085716","0.9013055614904039","3.9957970437194854","LTMP","9","_"," ","2.3969139558243464","null","9.0m"
"photo-transect","reef","Yonge Reef","2015","2014.9041095890410958","SOFT CORAL","2.0064211247592514","0.8825500157156343","3.6134271248938123","LTMP","9","_"," ","2.1349270483424223","null","9.0m"
"photo-transect","reef","Yonge Reef","2017","2016.6712328767123288","SOFT CORAL","0.6633687122629455","0.22293550821900812","1.313291176177855","LTMP","9","_"," ","0.7168027040238502","null","9.0m"
"photo-transect","reef","Yonge Reef","2019","2018.9232876712328767","SOFT CORAL","0.581970812946935","0.22763002478349495","1.224783366948781","LTMP","9","_"," ","0.6307885794408876","null","9.0m"
"photo-transect","reef","Yonge Reef","2021","2020.8082191780821918","SOFT CORAL","0.9214848011465804","0.3433973521951025","1.7519679894734554","LTMP","9","_"," ","0.9855563615337564","null","9.0m"
"photo-transect","reef","Yonge Reef","2022","2021.6986301369863014","SOFT CORAL","1.2237223050670216","0.4834608028289085","2.2340428288307663","LTMP","9","_"," ","1.2901425528580917","null","9.0m"
"photo-transect","reef","Yonge Reef","2023","2022.8054794520547945","SOFT CORAL","1.4165533534640848","0.6239334242128596","2.6128058890281913","LTMP","9","_"," ","1.514239290711352","null","9.0m"
"photo-transect","reef","Yonge Reef","2024","2024.08767123287671233","SOFT CORAL","1.7850816228051316","0.8186314785840312","3.1158086051108818","LTMP","9","_"," ","1.854031756306972","null","9.0m"
"photo-transect","reef","Yonge Reef","2025","2024.726027397260274","SOFT CORAL","1.543870388769274","0.5757748276776025","2.767636268257857","LTMP","9","_"," ","1.6355860591226217","null","9.0m"
