reef_name,latitude,longitude
Agincourt_Reef_No_1,-16.05227777777778,145.8693777777778
Arlington_Reef,-16.67,146.10277777777776
Green_Island,-23.158724999999997,151.07596944444444
Border_Island,-20.163497222222222,149.0325916666667
Boult_Reef,-23.7575,152.27583333333334
Broomfield_Reef,-23.267013888888886,151.93555555555557
Carter_Reef,-14.532222222222224,145.58666666666667
Centipede_Reef,-18.741944444444446,147.54333333333332
Chicken_Reef,-18.661952777777778,147.7154111111111
Chinaman_Reef_22_102,-22.01736111111111,152.65889444444446
Corbett_Reef,-13.992222222222221,144.16055555555556
Davie_Reef,-37.0,144.45166666666665
Davies_Reef,-18.81416666666667,147.6563888888889
Dip_Reef,-18.409444444444443,147.45527777777778
East_Cay,-21.483055555555556,152.56416666666667
Erskine_Island,-23.5025,151.77220833333334
Fairfax_Island,-23.852500000000003,152.3727777777778
Farquharson_Reef,-17.795,146.52027777777778
Feather_Reef,-17.529166666666665,146.39249999999998
Fitzroy_Island,-16.933977777777777,38.36
Fork_Reef,-18.61416666666667,147.56972222222223
Frankland_Islands,-17.207327777777778,146.07538888888888
Gannet_Cay,-21.981111111111108,152.4775
Green_Island,-16.765555555555554,145.97555555555556
Grub_Reef_18_077,-18.65079722222222,147.4288
Hastings_Reef,-16.527041666666666,146.02304444444445
Havannah_Island,-18.839994444444443,146.54335833333334
Hayman_Island,-20.062725,148.89798055555553
Helix_Reef,-18.62361111111111,147.29611111111112
Horseshoe_Reef,-22.031388888888888,152.60888888888888
Hoskyn_Island,-19.11,152.29483333333334
Hyde_Reef,-15.8,13.58
Jenkins_Reef,-19.0,152.6013888888889
John_Brewer_Reef,-18.6275,26.0
Kelso_Reef,-18.435819444444444,39.11
Knife_Reef,-18.58,147.57444444444445
Low_Isles,-16.384999999999998,13.0
Lynchs_Reef,-18.735966666666666,147.72451666666666
Macgillivray_Reef,-14.651944444444444,32.0
Mackay_Reef,-16.044722222222223,145.64777777777778
Mantis_Reef,-12.334002777777778,143.86485833333333
Masthead_Island,-23.540355555555557,151.75116111111112
McCulloch_Reef,-30.13,146.44547777777777
McSweeney_Reef,-11.024166666666668,143.2497222222222
Michaelmas_Cay,-16.565555555555555,146.05083333333334
Monsoon_Reef,-11.131944444444445,143.26222222222222
Moore_Reef,-16.86277777777778,146.2436111111111
Myrmidon_Reef,-18.26536388888889,147.3849
North_Barnard_Islands,-14.743902777777777,26.0
North_Direction_Island,-14.743333333333332,145.5075
North_Island,-2.74,151.90664166666667
One_Tree_Island,-23.495,152.08694444444444
Opal_Reef,-16.21527777777778,5.0
Pandora_Reef,-45.41,146.43356111111112
Peart_Reef,-17.47472222222222,17.0
Pompey_Reef_No_1,-20.93496111111111,150.54460277777778
Pompey_Reef_No_2,-20.988641666666666,150.52840277777779
Rebe_Reef,-19.7981,150.1555111111111
Reef_11_049,-39.13,0.41
Reef_11_162,-11.545216666666667,143.28875555555555
Reef_13_124,-13.868169444444446,144.0800277777778
Reef_19_131,-34.61,149.36823055555556
Reef_19_138,-0.2,21.38
Reef_20_104,-20.031713888888888,149.68876666666668
Reef_20_348,-20.88865277777778,150.95191388888887
Reef_20_353,-20.96339722222222,150.91732222222223
Reef_21_060,-21.01388888888889,150.59083333333334
Reef_21_062,-21.030833333333334,150.86555555555555
Reef_21_064,-21.05777777777778,150.7763888888889
Reef_21_139,-21.472475,151.46899166666668
Reef_21_187,-21.414166666666667,151.63472222222222
Reef_21_245,-21.301666666666666,52.0
Reef_21_278,-15.97,152.5433138888889
Reef_21_296,-21.342744444444442,152.54853888888888
Reef_21_302,-21.43091388888889,152.57925833333334
Reef_21_529,-21.86592777777778,152.171675
Reef_21_550,-21.950930555555555,152.30843333333334
Reef_21_558,-21.543055555555558,152.54944444444445
Reef_21_591,-21.02861111111111,150.3727777777778
Reef_22_084,-22.000275,152.4645222222222
Rib_Reef,-18.483611111111113,146.87722222222223
Roxburgh_Reef,-18.436072222222222,147.0574527777778
Sand_bank_No_1,-14.198500000000001,144.89102499999998
Slate_Reef,-19.667883333333336,149.92642777777777
Small_Lagoon_Reef,-21.87138888888889,152.51611111111112
Snake_Reef,-22.031944444444445,152.1511111111111
St_Crispin_Reef,-16.10346388888889,145.84443333333334
Taylor_Reef,-17.823888888888888,14.0
Tern_Island,-37.0,150.0327777777778
Thetford_Reef,-22.0,146.1963888888889
Turner_Cay,-21.718152777777775,152.5587388888889
Wade_Reef,-16.03,152.64710277777777
Wreck_Island,-23.332583333333332,151.95841666666666
Yonge_Reef,-42.95,145.6209166666667
