Agincourt_Reef_No_1,"16бу03'08.20""S 145бу52'09.76""E"
Arlington_Reef,"16бу40'12""S 146бу06'10""E"
Green_Island,"23бу09'31.41""S 151бу04'33.49""E"
Border_Island,"20бу09'48.59""S 149бу01'57.33""E"
Boult_Reef,"23бу45'27""S 152бу16'33""E"
Broomfield_Reef,"23бу16'01.25""S 151бу56'08.00""E"
Carter_Reef,"14бу31'56""S 145бу35'12""E"
Centipede_Reef,"18бу44'31""S 147бу32'36""E"
Chicken_Reef,"18бу39'43.03""S 147бу42'55.48""E"
Chinaman_Reef_22_102,"22бу01'02.50""S 152бу39'32.02""E"
Corbett_Reef,"13бу59'32""S 144бу09'38""E"
Davie_Reef,"13бу58бф37""S 144бу27'06""E"
Davies_Reef,"18бу48'51""S 147бу39'23""E"
Dip_Reef,"18бу24'34""S 147бу27'19""E"
East_Cay,"21бу28'59""S 152бу33'51""E"
Erskine_Island,"23бу30'09.00""S 151бу46'19.95""E"
Fairfax_Island,"23бу51'09""S 152бу22'22""E"
Farquharson_Reef,"17бу47'42""S 146бу31'13""E"
Feather_Reef,"17бу31'45""S 146бу23'33""E"
Fitzroy_Island,"16бу56'02.32""S 145бу59бф38.36""E"
Fore_and_Aft_Reef,"18бу30'04бхS 147бу02'17""E"
Fork_Reef,"18бу36'51""S 147бу34'11""E"
Frankland_Islands,"17бу12'26.38""S 146бу04'31.40""E"
Gannet_Cay,"21бу58'52""S 152бу28'39""E"
Green_Island,"16бу45'56""S 145бу58'32""E"
Grub_Reef_18_077,"18бу39'02.87""S 147бу25'43.68""E"
Hastings_Reef,"16бу31'37.35""S 146бу01'22.96""E"
Havannah_Island,"18бу50'23.98""S 146бу32'36.09""E"
Hayman_Island,"20бу03'45.81""S 148бу53'52.73""E"
Helix_Reef,"18бу37'25""S 147бу17'46""E"
Horseshoe_Reef,"22бу01'53""S 152бу36'32""E"
Hoskyn_Island,"23бу48бф19.11""S 152бу17'41.40""E"
Hyde_Reef,"19бу45бф15.80""S 150бу05бф13.58""E"
Jenkins_Reef,"21бу57бф19""S 152бу36'05""E"
John_Brewer_Reef,"18бу37'39""S 147бу04бф26""E"
Kelso_Reef,"18бу26'08.95""S 146бу59бф39.11""E"
Knife_Reef,"18бу34'48""S 147бу34'28""E"
Low_Isles,"16бу23'06""S 145бу34бф13""E"
Lynchs_Reef,"18бу44'09.48""S 147бу43'28.26""E"
Macgillivray_Reef,"14бу39'07""S 145бу29бф32""E"
Mackay_Reef,"16бу02'41""S 145бу38'52""E"
Mantis_Reef,"12бу20'02.41""S 143бу51'53.49""E"
Masthead_Island,"23бу32'25.28""S 151бу45'04.18""E"
McCulloch_Reef,"17бу17бф30.13""S 146бу26'43.72""E"
McSweeney_Reef,"11бу01'27""S 143бу14'59""E"
Michaelmas_Cay,"16бу33'56""S 146бу03'03""E"
Monsoon_Reef,"11бу07'55""S 143бу15'44""E"
Moore_Reef,"16бу51'46""S 146бу14'37""E"
Myrmidon_Reef,"18бу15'55.31""S 147бу23'05.64""E"
North_Barnard_Islands,"14бу44'38.05""S 145бу30бф26.00""E"
North_Direction_Island,"14бу44'36""S 145бу30'27""E"
North_Island,"23бу11бф02.74""S 151бу54'23.91""E"
One_Tree_Island,"23бу29'42""S 152бу05'13""E"
Opal_Reef,"16бу12'55""S 145бу54бф05""E"
Pandora_Reef,"18бу48бф45.41""S 146бу26'00.82""E"
Peart_Reef,"17бу28'29""S 146бу24бф17""E"
Pompey_Reef_No_1,"20бу56'05.86""S 150бу32'40.57""E"
Pompey_Reef_No_2,"20бу59'19.11""S 150бу31'42.25""E"
Rebe_Reef,"19бу47'53.16""S 150бу09'19.84""E"
Reef_11_049,"11бу21бф39.13""S 143бу20бф00.41""E"
