variable,target,n,pearson_r,spearman_rho
cots_lag_3yr,rel_loss,118,0.11721960408741018,0.3110580316021614
cots_lag_3yr,recovery_pct,90,-0.06464756569225419,-0.09179607315640702
initial_cots,rel_loss,118,0.22059458127928466,0.24343294975222698
initial_cots,recovery_pct,90,-0.07428625923023814,-0.16264217592695887
initial_herbivore,rel_loss,70,-0.1372529204913177,0.020918307342227476
initial_herbivore,recovery_pct,58,0.5310921772200861,0.4511673690362669
baseline_algae,rel_loss,111,-0.02589721309561593,-0.06772414703861888
baseline_algae,recovery_pct,84,0.3142632521893645,0.07281563227700719
algae_change_nadir,rel_loss,93,0.20198211087902787,0.34002005932353857
algae_change_nadir,recovery_pct,76,-0.3076121088531589,-0.05911141490088858
algae_change_final,rel_loss,74,0.36500937746672396,0.5198643627966485
algae_change_final,recovery_pct,74,-0.2603387745228383,-0.03988152536097741
