master_reef_name,reef_key,composition_reef_name,status
Agincourt_Reef_No_1,agincourt reef no 1,Agincourt Reef No.1,matched
Arlington_Reef,arlington reef,Arlington Reef,matched
Border_Island,border island,Border Island,matched
Boult_Reef,boult reef,Boult Reef,matched
Broomfield_Reef,broomfield reef,Broomfield Reef,matched
Carter_Reef,carter reef,Carter Reef,matched
Centipede_Reef,centipede reef,Centipede Reef,matched
Chicken_Reef,chicken reef,Chicken Reef,matched
Chinaman_Reef_22_102,chinaman reef 22 102,Chinaman Reef (22-102),matched
Corbett_Reef,corbett reef,Corbett Reef,matched
Davie_Reef,davie reef,Davie Reef,matched
Davies_Reef,davies reef,Davies Reef,matched
Dip_Reef,dip reef,Dip Reef,matched
East_Cay,east cay,East Cay,matched
Erskine_Island,erskine island,Erskine Island,matched
Fairfax_Island,fairfax island,Fairfax Island,matched
Farquharson_Reef,farquharson reef,Farquharson Reef,matched
Feather_Reef,feather reef,Feather Reef,matched
Fitzroy_Island,fitzroy island,Fitzroy Island,matched
Fore_and_Aft_Reef,fore and aft reef,Fore and Aft Reef,matched
Fork_Reef,fork reef,Fork Reef,matched
Gannet_Cay,gannet cay,Gannet Cay,matched
Green_Island,green island,Green Island,matched
Grub_Reef_18_077,grub reef 18 077,Grub Reef (18-077),matched
Hastings_Reef,hastings reef,Hastings Reef,matched
Havannah_Island,havannah island,Havannah Island,matched
Hayman_Island,hayman island,Hayman Island,matched
Helix_Reef,helix reef,Helix Reef,matched
Horseshoe_Reef,horseshoe reef,Horseshoe Reef,matched
Hoskyn_Island,hoskyn island,Hoskyn Island,matched
Hyde_Reef,hyde reef,Hyde Reef,matched
Jenkins_Reef,jenkins reef,Jenkins Reef,matched
John_Brewer_Reef,john brewer reef,John Brewer Reef,matched
Kelso_Reef,kelso reef,Kelso Reef,matched
Knife_Reef,knife reef,Knife Reef,matched
Low_Isles,low isles,Low Isles,matched
Lynchs_Reef,lynchs reef,Lynchs Reef,matched
Macgillivray_Reef,macgillivray reef,Macgillivray Reef,matched
Mackay_Reef,mackay reef,Mackay Reef,matched
Mantis_Reef,mantis reef,Mantis Reef,matched
Masthead_Island,masthead island,Masthead Island,matched
McCulloch_Reef,mcculloch reef,McCulloch Reef,matched
McSweeney_Reef,mcsweeney reef,McSweeney Reef,matched
Michaelmas_Cay,michaelmas cay,Michaelmas Cay,matched
Monsoon_Reef,monsoon reef,Monsoon Reef,matched
Moore_Reef,moore reef,Moore Reef,matched
Myrmidon_Reef,myrmidon reef,Myrmidon Reef,matched
North_Direction_Island,north direction island,North Direction Island,matched
North_Island,north island,North Island,matched
One_Tree_Island,one tree island,One Tree Island,matched
Opal_Reef,opal reef,Opal Reef,matched
Pandora_Reef,pandora reef,Pandora Reef,matched
Peart_Reef,peart reef,Peart Reef,matched
Pompey_Reef_No_1,pompey reef no 1,Pompey Reef No.1,matched
Pompey_Reef_No_2,pompey reef no 2,Pompey Reef No.2,matched
Rebe_Reef,rebe reef,Rebe Reef,matched
Reef_11_049,reef 11 049,Reef 11-049,matched
Reef_11_162,reef 11 162,Reef 11-162,matched
Reef_13_124,reef 13 124,Reef 13-124,matched
Reef_19_131,reef 19 131,Reef 19-131,matched
Reef_19_138,reef 19 138,Reef 19-138,matched
Reef_20_104,reef 20 104,Reef 20-104,matched
Reef_20_348,reef 20 348,Reef 20-348,matched
Reef_20_353,reef 20 353,Reef 20-353,matched
Reef_21_060,reef 21 060,Reef 21-060,matched
Reef_21_062,reef 21 062,Reef 21-062,matched
Reef_21_064,reef 21 064,Reef 21-064,matched
Reef_21_139,reef 21 139,Reef 21-139,matched
Reef_21_187,reef 21 187,Reef 21-187,matched
Reef_21_245,reef 21 245,Reef 21-245,matched
Reef_21_278,reef 21 278,Reef 21-278,matched
Reef_21_296,reef 21 296,Reef 21-296,matched
Reef_21_302,reef 21 302,Reef 21-302,matched
Reef_21_529,reef 21 529,Reef 21-529,matched
Reef_21_550,reef 21 550,Reef 21-550,matched
Reef_21_558,reef 21 558,Reef 21-558,matched
Reef_21_591,reef 21 591,Reef 21-591,matched
Reef_22_084,reef 22 084,Reef 22-084,matched
Rib_Reef,rib reef,Rib Reef,matched
Roxburgh_Reef,roxburgh reef,Roxburgh Reef,matched
Sand_bank_No_1,sand bank no 1,Sand bank No.1,matched
Slate_Reef,slate reef,Slate Reef,matched
Small_Lagoon_Reef,small lagoon reef,Small Lagoon Reef,matched
Snake_Reef,snake reef,Snake Reef,matched
St_Crispin_Reef,st crispin reef,St. Crispin Reef,matched
Taylor_Reef,taylor reef,Taylor Reef,matched
Tern_Island,tern island,Tern Island,matched
Thetford_Reef,thetford reef,Thetford Reef,matched
Turner_Cay,turner cay,Turner Cay,matched
Wade_Reef,wade reef,Wade Reef,matched
Wreck_Island,wreck island,Wreck Island,matched
Yonge_Reef,yonge reef,Yonge Reef,matched
