variable,scope,seq_category_main,non_missing_rows,non_missing_reefs,mean,median
baseline_juv,overall,ALL,77,62,18.053037675365808,17.340266666399057
baseline_juv,by_sequence,H_to_H,31,31,21.831140727430643,20.84444694298104
baseline_juv,by_sequence,Isolated_Heatwave,12,10,20.588376070851922,19.332996175190164
baseline_juv,by_sequence,Isolated_Storm,15,15,14.614562578681818,11.498975988583888
baseline_juv,by_sequence,S_to_H,8,8,10.740191877126142,9.493160160919025
baseline_juv,by_sequence,S_to_S,11,10,14.64709562775982,14.661095110521016
nadir_juv,overall,ALL,71,54,14.088542405778592,12.696370921878312
nadir_juv,by_sequence,H_to_H,22,21,13.751771464313215,11.463145030074758
nadir_juv,by_sequence,Isolated_Heatwave,11,10,18.508260556595687,15.931803384987958
nadir_juv,by_sequence,Isolated_Storm,16,16,13.595858581952776,8.276053364833366
nadir_juv,by_sequence,S_to_H,9,9,15.345596962288063,15.750822886854367
nadir_juv,by_sequence,S_to_S,13,12,10.65481250007691,9.33210561978326
final_juv,overall,ALL,64,44,19.270669038029887,16.052040150837165
final_juv,by_sequence,H_to_H,11,11,23.02991406748866,22.35707745244986
final_juv,by_sequence,Isolated_Heatwave,5,5,21.706946139627917,18.77861682334165
final_juv,by_sequence,Isolated_Storm,26,23,18.350726427242503,15.517878874460703
final_juv,by_sequence,S_to_H,7,7,14.649522554042255,12.983621695717614
final_juv,by_sequence,S_to_S,15,14,19.45289920045314,17.04148985607962
juv_loss,overall,ALL,64,52,0.27804009419792836,0.25871414781325575
juv_loss,by_sequence,H_to_H,21,21,0.3467037783095235,0.4240665441184558
juv_loss,by_sequence,Isolated_Heatwave,11,10,0.21915909282700996,0.0446800528730152
juv_loss,by_sequence,Isolated_Storm,15,15,0.30249001357850497,0.1888247590713452
juv_loss,by_sequence,S_to_H,7,7,0.0,0.0
juv_loss,by_sequence,S_to_S,10,9,0.3565686459392737,0.45271917195954164
juv_change_nadir,overall,ALL,64,52,-0.004313564623973452,-0.25871414781325575
juv_change_nadir,by_sequence,H_to_H,21,21,-0.20951305345985377,-0.4240665441184558
juv_change_nadir,by_sequence,Isolated_Heatwave,11,10,-0.01074172729912213,-0.0446800528730152
juv_change_nadir,by_sequence,Isolated_Storm,15,15,0.22966753571875545,-0.1888247590713452
juv_change_nadir,by_sequence,S_to_H,7,7,0.49141661490547256,0.3868857990696003
juv_change_nadir,by_sequence,S_to_S,10,9,-0.26430643531066667,-0.45271917195954164
juv_recovery_rate,overall,ALL,39,34,0.6176494243895544,0.3563116152842823
juv_recovery_rate,by_sequence,H_to_H,7,7,0.42636774173779085,0.4854611442783406
juv_recovery_rate,by_sequence,Isolated_Heatwave,5,5,-0.04716513067766796,0.0463001656429933
juv_recovery_rate,by_sequence,Isolated_Storm,13,13,1.0042305587460345,0.6106260051504677
juv_recovery_rate,by_sequence,S_to_H,4,4,0.24572206101149796,0.35396798248333317
juv_recovery_rate,by_sequence,S_to_S,10,9,0.7301693504671978,0.41788220073277726
