,Coefficient,StdErr,P-value,CI_lower,CI_upper,P-value_FDR,Significant_FDR,model_name
Intercept,0.45418068286010727,0.24923903770859032,0.06841411204092904,-0.034318854590150216,0.9426802203103648,,,main_model
"C(seq_category_model, Treatment(reference='Isolated_Heatwave'))[T.H_to_H]",-0.45205606353474387,0.25467817052628383,0.07589638899637964,-0.9512161054148105,0.04710397834532276,0.13661350019348334,False,main_model
"C(seq_category_model, Treatment(reference='Isolated_Heatwave'))[T.Isolated_Storm]",-0.12490198478090869,0.3217936397872823,0.6979101292155909,-0.7556059292180375,0.50580195965622,0.6979101292155909,False,main_model
"C(seq_category_model, Treatment(reference='Isolated_Heatwave'))[T.S_to_H]",-0.11885296238685013,0.29800158242058156,0.6900160192272454,-0.7029253312671345,0.46521940649343424,0.6979101292155909,False,main_model
"C(seq_category_model, Treatment(reference='Isolated_Heatwave'))[T.S_to_S]",-0.5976040821658494,0.46683928976689193,0.20050762806236289,-1.5125922766772157,0.317384112345517,0.28292829749483445,False,main_model
storm_exposure_seq_c,0.014061839472835645,0.005978418357395058,0.018667741654704077,0.0023443548078282226,0.02577932413784307,0.05600322496411223,False,main_model
heat_exposure_seq_c,0.06613713042088665,0.021993136297329293,0.0026369104021422706,0.023031375371040635,0.10924288547073266,0.011866096809640219,True,main_model
baseline_hc_c,0.021230536799785673,0.003352017443457529,2.3941371253807667e-10,0.01466070333505889,0.02780037026451246,2.15472341284269e-09,True,main_model
start_year_c,-0.014341812832346708,0.0072182863686879135,0.04693655621238978,-0.02848939414507143,-0.00019423151962198737,0.105607251477877,False,main_model
region_lat_c,0.01747539069219918,0.014249561162019822,0.22005534249598235,-0.010453235980860391,0.04540401736525875,0.28292829749483445,False,main_model
